match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_aerialLost,stat_duelWon,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_totalCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_accurateCross,stat_bigChanceCreated,player_lastName,stat_goalAssist,stat_goals,stat_errorLeadToAShot
11360050,home,TuS Bersenbrück,Nils Böhmann,Nils Böhmann,nils-bohmann,N. Böhmann,G,1,187.0,0,M,1518660,EUR,771206400.0,G,1,1,False,42.0,29.0,18.0,7.0,23.0,27.0,6.0,15.0,2.0,2.0,2.0,6.0,3.0,3.0,2.0,2.0,90.0,51.0,5.4,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11360050,home,TuS Bersenbrück,David Leinweber,David Leinweber,david-leinweber,D. Leinweber,D,18,183.0,0,M,1518758,EUR,829353600.0,D,18,18,False,13.0,12.0,1.0,1.0,7.0,7.0,5.0,6.0,5.0,,4.0,2.0,,,,,90.0,39.0,6.0,8.0,0,True,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11360050,home,TuS Bersenbrück,Leonard Hedemann,Leonard Hedemann,leonard-hedemann,L. Hedemann,D,4,,0,M,1518781,EUR,964656000.0,D,4,4,False,29.0,20.0,9.0,4.0,13.0,17.0,7.0,12.0,6.0,3.0,4.0,6.0,,,,,72.0,39.0,5.7,10.0,0,,3.0,4.0,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,
11360050,home,TuS Bersenbrück,Patrick Greten,Patrick Greten,patrick-greten,P. Greten,D,11,,0,M,1518788,EUR,794707200.0,D,11,11,False,54.0,32.0,15.0,4.0,29.0,36.0,3.0,19.0,3.0,1.0,2.0,9.0,,,,,90.0,64.0,5.5,24.0,1,,1.0,2.0,,,2.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
11360050,home,TuS Bersenbrück,Jules Reimerink,,jules-reimerink,J. Reimerink,F,,185.0,2,M,34594,EUR,623116800.0,D,7,7,False,35.0,18.0,,,2.0,4.0,16.0,39.0,4.0,,,2.0,,,,,90.0,46.0,5.6,26.0,0,,3.0,4.0,1.0,,1.0,,,,,,,1.0,4.0,8.0,,,,,,,,,,,,,
11360050,home,TuS Bersenbrück,Moritz Waldow,,moritz-waldow,M. Waldow,M,6,166.0,0,M,839946,EUR,882144000.0,M,6,6,False,13.0,8.0,,,1.0,3.0,7.0,10.0,8.0,1.0,1.0,2.0,,,,,70.0,23.0,6.1,10.0,1,,4.0,2.0,3.0,,,,,2.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,
11360050,home,TuS Bersenbrück,Enes Muric,,enes-muric,E. Muric,M,25,,1,M,839686,EUR,870739200.0,M,25,25,False,21.0,13.0,2.0,,5.0,5.0,8.0,16.0,2.0,,1.0,5.0,,,,,45.0,29.0,6.6,9.0,0,,,5.0,,,3.0,2.0,2.0,1.0,,3.0,,,2.0,,1.0,1.0,,,,,,,,,,,
11360050,home,TuS Bersenbrück,Alexander Bannink,,alexander-bannink,A. Bannink,M,,185.0,5,M,70941,EUR,635990400.0,M,14,14,False,24.0,18.0,1.0,1.0,7.0,7.0,11.0,18.0,7.0,3.0,,9.0,,,,,90.0,38.0,6.0,13.0,0,,,4.0,2.0,,,1.0,,3.0,,1.0,,,,1.0,4.0,3.0,,,,,,,,,,,
11360050,home,TuS Bersenbrück,Saikouba Manneh,Saikouba Manneh,saikouba-manneh,S. Manneh,F,24,,5,M,1518789,EUR,944870400.0,F,24,24,False,6.0,4.0,,,1.0,1.0,3.0,5.0,3.0,1.0,,4.0,,,,,45.0,19.0,6.6,5.0,1,,1.0,7.0,1.0,,,2.0,1.0,2.0,3.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,
11360050,home,TuS Bersenbrück,Markus Lührmann,Markus Lührmann,markus-luhrmann,M. Lührmann,F,10,,0,M,1518783,EUR,953424000.0,F,10,10,False,10.0,8.0,,,5.0,5.0,3.0,5.0,2.0,,,,,,,,60.0,13.0,6.5,4.0,0,,2.0,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,
11360050,home,TuS Bersenbrück,Patrick Papachristodoulou,,patrick-papachristodoulou,P. Papachristodoulou,D,15,175.0,6,M,844621,EUR,871257600.0,F,15,15,False,28.0,20.0,6.0,,8.0,10.0,12.0,19.0,5.0,2.0,3.0,9.0,,,,,90.0,49.0,6.6,13.0,0,,1.0,4.0,,,1.0,3.0,3.0,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,
11360050,home,TuS Bersenbrück,Denis Müller,Denis Müller,denis-muller,D. Müller,M,,178.0,0,M,1518777,EUR,847411200.0,M,8,8,True,19.0,15.0,2.0,,12.0,14.0,3.0,5.0,3.0,2.0,,,,,,,45.0,23.0,6.0,6.0,1,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
11360050,home,TuS Bersenbrück,Nick Claushallmann,Nick Claushallmann,nick-claushallmann,N. Claushallmann,M,29,,0,M,1518786,EUR,855792000.0,M,29,29,True,8.0,5.0,2.0,,1.0,1.0,4.0,7.0,2.0,1.0,1.0,,,,,,45.0,14.0,6.3,5.0,1,,1.0,1.0,,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,
