match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyConceded,stat_totalOffside,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_punches,player_sofascoreId,stat_penaltyMiss,stat_hitWoodwork,stat_penaltyWon
12499674,home,VfL Bochum 1848,Patrick Drewes,patrick-drewes,P. Drewes,G,30,194,349,M,132607,EUR,728784000,G,27,27,False,39.0,24.0,30.0,16.0,0.0,11.0,14.0,13.0,25.0,1.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,90.0,45.0,7.0,15.0,0.00415629,0,0.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499674,home,VfL Bochum 1848,Felix Passlack,passlack-felix,F. Passlack,M,25,170,280,M,795000,EUR,896400000,D,15,15,False,36.0,25.0,10.0,2.0,0.0,10.0,13.0,15.0,31.0,,5.0,,,,,,,90.0,71.0,6.5,26.0,0.0623576,1,,8.0,7.0,6.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0136,,,,,,,,,,,,,,,,,,,,,,
12499674,home,VfL Bochum 1848,Jakov Medić,jakov-medic,J. Medić,D,5,194,859,M,872307,EUR,905126400,D,13,13,False,37.0,31.0,7.0,3.0,0.0,22.0,23.0,9.0,14.0,,2.0,,,,,,,90.0,44.0,6.5,9.0,0.00888362,0,,,5.0,2.0,,1.0,,,,3.0,,,,,,,,,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12499674,home,VfL Bochum 1848,Ivan Ordets,ivan-ordets,I. Ordets,D,,194,123,M,137673,EUR,710553600,D,20,20,False,56.0,39.0,8.0,3.0,0.0,28.0,33.0,11.0,23.0,3.0,4.0,,,,,,,88.0,67.0,6.9,18.0,0.128444,1,,,2.0,8.0,,,,,,1.0,1.0,,,2.0,,0.0535,,,2.0,6.0,,,1.0,,,,,,,,,,,,,,,
12499674,home,VfL Bochum 1848,Maximilian Wittek,maximilian-wittek,M. Wittek,D,32,173,158,M,254125,EUR,808963200,D,32,32,False,45.0,37.0,4.0,3.0,0.0,16.0,18.0,23.0,37.0,1.0,5.0,,,,,,,90.0,75.0,6.8,22.0,0.202563,4,,10.0,7.0,5.0,1.0,,1.0,,1.0,,,2.0,1.0,1.0,1.0,0.0752,,,4.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0588,,,,,,,,,,,,
12499674,home,VfL Bochum 1848,Ibrahima Sissoko,ibrahima-sissoko,I. Sissoko,M,28,193,1219,M,829093,EUR,877910400,M,6,6,False,34.0,29.0,4.0,2.0,0.0,19.0,20.0,10.0,16.0,1.0,4.0,,,,,,,90.0,52.0,6.9,9.0,0.016321,1,,2.0,3.0,6.0,,,2.0,2.0,,,3.0,3.0,2.0,,3.0,0.0603,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,
12499674,home,VfL Bochum 1848,Anthony Losilla,anthony-losilla,A. Losilla,M,,185,68,M,119179,EUR,510796800,M,8,8,False,21.0,19.0,1.0,,0.0,10.0,11.0,10.0,11.0,,2.0,,,,,,,60.0,27.0,6.8,3.0,0.153759,0,,1.0,3.0,1.0,,,,,,1.0,2.0,,,,1.0,,,,2.0,1.0,1.0,1.0,,1.0,,,,,True,1.0,,,,,,,,
12499674,home,VfL Bochum 1848,Matúš Bero,matus-bero,M. Bero,M,19,181,413,M,187207,EUR,810345600,M,19,19,False,43.0,36.0,3.0,2.0,0.0,19.0,22.0,17.0,21.0,,4.0,,,,,,,90.0,62.0,6.9,12.0,0.0325565,0,,,7.0,7.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,3.0,2.0,,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,
12499674,home,VfL Bochum 1848,Dani de Wit,dani-de-wit,D. de Wit,M,20,183,552,M,855854,EUR,885945600,M,10,10,False,28.0,26.0,,,0.0,15.0,15.0,12.0,14.0,1.0,4.0,,,,,,,60.0,40.0,6.4,5.0,0.0801573,2,,1.0,8.0,3.0,,,1.0,,1.0,,,2.0,2.0,,1.0,0.2544,,,6.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,
12499674,home,VfL Bochum 1848,Philipp Hofmann,philipp-hofmann,P. Hofmann,F,33,195,413,M,340719,EUR,733449600,F,33,33,False,30.0,14.0,,,0.0,2.0,2.0,12.0,28.0,4.0,,,,,,,,90.0,46.0,7.4,21.0,0.00876969,1,,,13.0,18.0,,4.0,,,1.0,,,2.0,2.0,2.0,1.0,0.032,,,8.0,14.0,,1.0,,,,,,,,1.0,,,,,,,,
