match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,stat_interceptionWon,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_accurateCross,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,captain,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_hitWoodwork,player_sofascoreId
10408307,home,Elche,Édgar Badía,,,edgar-badia,É. Badía,G,13,181,194,M,811557,EUR,697852800,G,13,13,False,33.0,28.0,6.0,1.0,28.0,32.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,90.0,39.0,6.7,5.0,0.0,0.0,9.297e-05,0,-0.1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408307,home,Elche,Josan,,,josan,Josan,M,17,175,169,M,808955,EUR,628646400,D,17,17,False,49.0,40.0,4.0,,21.0,22.0,29.0,,6.0,1.0,5.0,,,,,,90.0,69.0,6.7,17.0,0.0,0.0,0.00861631,0,,19.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10408307,home,Elche,Lisandro Magallán,,,lisandro-magallan,L. Magallán,D,16,185,272,M,248125,EUR,749088000,D,7,7,False,70.0,63.0,5.0,4.0,44.0,48.0,22.0,3.0,6.0,2.0,6.0,,,,,,87.0,81.0,7.1,9.0,0.0163,0.0873,0.0776905,1,,19.0,,3.0,4.0,,,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10408307,home,Elche,Enzo Roco,,,enzo-roco,E. Roco,D,3,191,401,M,105971,EUR,713923200,D,3,3,False,63.0,57.0,7.0,5.0,36.0,37.0,26.0,3.0,5.0,3.0,7.0,,,,,,71.0,70.0,7.3,6.0,0.0,0.0,0.00737122,0,,21.0,,,1.0,,,,2.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
10408307,home,Elche,Lautaro Blanco,,,lautaro-blanco,L. Blanco,D,3,176,1085,M,989865,EUR,919382400,D,2,2,False,33.0,21.0,8.0,3.0,8.0,14.0,31.0,,3.0,,4.0,,,,,,90.0,58.0,6.7,23.0,0.0,0.0,0.104553,0,,15.0,12.0,1.0,3.0,,1.0,1.0,2.0,2.0,,,,,1.0,,,2.0,1.0,,,,,,,,,,,
10408307,home,Elche,John Donald,John Donald,,john-nwankwo,J. Donald,D,18,185,201,M,1094758,EUR,969840000,M,26,26,False,35.0,26.0,,,14.0,17.0,18.0,1.0,6.0,1.0,9.0,,,,,,90.0,53.0,6.6,13.0,0.0,0.0,0.00267477,0,,12.0,,3.0,7.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,
10408307,home,Elche,Tete Morente,,,tete-morente,T. Morente,F,15,180,435,M,605374,EUR,849657600,M,11,11,False,23.0,17.0,,,6.0,6.0,18.0,,3.0,1.0,1.0,,,,,,90.0,36.0,6.5,9.0,0.7678,0.6564,0.026754,2,,11.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,2.0,1.0,3.0,,,,,,,,
10408307,home,Elche,Fidel,,,fidel,Fidel,F,10,179,132,M,116607,EUR,625449600,M,16,16,False,50.0,34.0,3.0,,9.0,12.0,40.0,,3.0,,6.0,,,,,,84.0,58.0,6.4,20.0,0.0764,0.0,0.0186547,1,,25.0,2.0,,4.0,,3.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,True,,,,,,,
10408307,home,Elche,Gerard Gumbau,,,gerard-gumbau,G. Gumbau,M,15,187,380,M,326471,EUR,787708800,M,20,20,False,61.0,53.0,6.0,4.0,22.0,24.0,45.0,,,,2.0,,,,,,90.0,72.0,7.7,11.0,0.0277,0.0,0.682426,1,,36.0,8.0,2.0,5.0,,,,,,,,,,3.0,4.0,,5.0,,,1.0,,,1.0,2.0,,,,,
10408307,home,Elche,Randy Nteka,,,randy-nteka,R. Nteka,F,11,190,949,M,932764,EUR,881366400,M,18,18,False,24.0,18.0,,,8.0,10.0,14.0,,5.0,1.0,4.0,,,,,,84.0,39.0,6.9,10.0,0.0853,0.1242,0.464253,2,,10.0,,,7.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,3.0,2.0,1.0,,1.0,,,,,,1.0,1.0,,,,
