match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,captain,stat_onTargetScoringAttempt,stat_penaltyConceded,stat_keyPass,player_firstName,player_lastName,stat_accurateCross,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_penaltyMiss,stat_penaltyWon,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,player_sofascoreId
10434107,home,MKE Ankaragücü,Gökhan Akkan,gokhan-akkan,G. Akkan,G,22,188,109,M,225012,EUR,788918400,G,32,32,False,34.0,26.0,11.0,3.0,26.0,29.0,5.0,1.0,10.0,1.0,2.0,1.0,2.0,90.0,41.0,6.4,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434107,home,MKE Ankaragücü,Firatcan Üzüm,firatcan-uzum,F. Üzüm,D,88,178,23,M,904112,EUR,928454400,D,88,88,False,45.0,36.0,6.0,2.0,17.0,17.0,36.0,9.0,2.0,2.0,,,,90.0,83.0,6.7,23.0,1,19.0,8.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10434107,home,MKE Ankaragücü,Uroš Radaković,uros-radakovic,U. Radaković,D,26,194,313,M,151900,EUR,765072000,D,26,26,False,73.0,65.0,6.0,5.0,55.0,60.0,13.0,5.0,7.0,1.0,,,,90.0,82.0,7.1,8.0,1,10.0,,2.0,3.0,4.0,,,,1.0,1.0,1.0,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
10434107,home,MKE Ankaragücü,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189,775,M,858004,EUR,892598400,D,18,18,False,79.0,67.0,12.0,9.0,50.0,57.0,22.0,1.0,6.0,,,,,90.0,89.0,6.4,16.0,1,17.0,,2.0,1.0,5.0,1.0,,,,,,,3.0,2.0,,,2.0,True,1.0,1.0,1.0,,,,,,,,,,,,,,,
10434107,home,MKE Ankaragücü,Marlon,marlon,Marlon,D,23,178,1921,M,870787,EUR,864086400,D,3,3,False,33.0,27.0,4.0,4.0,16.0,18.0,22.0,4.0,2.0,,,,,75.0,63.0,7.2,13.0,1,13.0,7.0,,,1.0,,1.0,1.0,1.0,,3.0,2.0,1.0,,1.0,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,
10434107,home,MKE Ankaragücü,Lamine Diack,lamine-diack,L. Diack,M,25,186,193,M,982317,EUR,974246400,M,14,14,False,57.0,47.0,3.0,1.0,22.0,24.0,33.0,5.0,14.0,,,,,90.0,69.0,6.9,13.0,1,25.0,,,2.0,5.0,2.0,3.0,2.0,,3.0,1.0,1.0,,2.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,
10434107,home,MKE Ankaragücü,Taylan Antalyalı,taylan-antalyali,T. Antalyalı,M,14,180,286,M,190197,EUR,789523200,M,48,48,False,46.0,40.0,6.0,4.0,16.0,19.0,29.0,1.0,6.0,1.0,,,,75.0,57.0,6.5,12.0,0,25.0,2.0,1.0,,3.0,1.0,1.0,,,2.0,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,
10434107,home,MKE Ankaragücü,Emre Kılınç,emre-kilinc,E. Kılınç,M,11,174,320,M,202032,EUR,777600000,M,54,54,False,42.0,37.0,5.0,5.0,11.0,11.0,39.0,2.0,2.0,2.0,,,,90.0,67.0,6.7,17.0,1,28.0,8.0,1.0,,8.0,1.0,1.0,,,,,,4.0,3.0,2.0,1.0,,,1.0,,3.0,,,2.0,,,,,,,,,,,,
10434107,home,MKE Ankaragücü,Pedrinho,pedrinho,Pedrinho,M,14,170,130,M,182385,EUR,724809600,M,8,8,False,36.0,31.0,9.0,9.0,17.0,18.0,23.0,3.0,7.0,1.0,,,,58.0,48.0,6.6,11.0,2,15.0,5.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
10434107,home,MKE Ankaragücü,Giorgi Beridze,giorgi-beridze,G. Beridze,F,7,174,144,M,798377,EUR,863395200,M,21,21,False,17.0,14.0,,,3.0,4.0,13.0,2.0,2.0,1.0,,,,68.0,23.0,6.8,6.0,1,11.0,,,,1.0,1.0,,,,,1.0,,2.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,
