match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_keyPass,stat_shotOffTarget,player_sofascoreId,stat_dispossessed,stat_accurateCross,stat_hitWoodwork,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals
11391294,home,Le Havre,Arthur Desmas,arthur-desmas,A. Desmas,G,16,196,105,M,798306,EUR,765676800,G,30,30,False,25.0,20.0,10.0,5.0,19.0,20.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,90.0,29.0,6.5,6.0,0.00030921,0,-0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391294,home,Le Havre,Arouna Sangante,arouna-sangante,A. Sangante,D,93,189,741,M,1035988,EUR,1018569600,D,93,93,False,64.0,48.0,10.0,2.0,13.0,20.0,35.0,47.0,4.0,,8.0,2.0,,,90.0,95.0,7.7,23.0,0.0366311,2,,,,True,3.0,3.0,5.0,12.0,1.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0,0.0854,0.3194,,,,,,,,,,,,,,,
11391294,home,Le Havre,Étienne Youte Kinkoue,etienne-youte-kinkoue,É. Y. Kinkoue,D,6,195,254,M,980406,EUR,1010966400,D,6,6,False,40.0,37.0,2.0,,16.0,17.0,21.0,23.0,,,1.0,,,,61.0,45.0,6.7,3.0,0.0159085,0,,,,,,,,2.0,,,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
11391294,home,Le Havre,Yoann Salmier,yoann-salmier,Y. Salmier,D,21,188,61,M,785518,EUR,722304000,D,22,22,False,59.0,48.0,7.0,1.0,26.0,29.0,22.0,30.0,,,4.0,,,,90.0,65.0,7.0,11.0,0.114061,1,,,,,,,3.0,4.0,1.0,,2.0,,1.0,,,1.0,0.0357,0.2073,,,1.0,1.0,,,,,,,,,,,
11391294,home,Le Havre,Oualid El Hajjam,oualid-el-hajjam,O. E. Hajjam,D,2,180,439,M,363532,EUR,666921600,D,17,17,False,57.0,46.0,5.0,1.0,25.0,30.0,21.0,29.0,,,5.0,3.0,,,90.0,84.0,7.5,18.0,0.0163887,1,,,,,2.0,,1.0,7.0,,,3.0,1.0,5.0,4.0,1.0,,0.0966,,,,,1.0,1.0,,,,,,,,,,
11391294,home,Le Havre,Oussama Targhalline,oussama-targhalline,O. Targhalline,M,28,186,7779,M,1095731,EUR,1021852800,M,5,5,False,75.0,63.0,2.0,1.0,25.0,28.0,38.0,48.0,8.0,2.0,6.0,1.0,,,90.0,95.0,6.9,17.0,0.108257,2,,Oussama Targhalline,,,1.0,3.0,3.0,11.0,,,,,2.0,,6.0,,0.0964,,2.0,,1.0,,2.0,targhaoussama,1.0,,,,,,,,
11391294,home,Le Havre,Yassine Kechta,yassine-kechta,Y. Kechta,M,8,166,2008,M,1000442,EUR,1014595200,M,8,8,False,50.0,40.0,6.0,3.0,11.0,13.0,29.0,37.0,3.0,,2.0,,,,81.0,55.0,6.8,13.0,0.0280343,0,,,,,,1.0,2.0,4.0,,,,,,,2.0,,,,1.0,,,3.0,,,1.0,,,,,,,,
11391294,home,Le Havre,Emmanuel Sabbi,emmanuel-sabbi,E. Sabbi,F,11,175,311,M,880765,EUR,882921600,M,11,11,False,31.0,24.0,,,9.0,11.0,16.0,26.0,7.0,1.0,9.0,3.0,,,90.0,63.0,7.5,21.0,0.0909111,3,,,,,6.0,1.0,3.0,11.0,,,,2.0,4.0,4.0,2.0,1.0,0.1533,,6.0,2.0,,1.0,3.0,,,1.0,1.0,,,,,,
11391294,home,Le Havre,Daler Kuzyaev,daler-kuzyaev,D. Kuzyaev,M,14,182,744,M,541426,EUR,727056000,M,14,14,False,30.0,23.0,,,3.0,5.0,20.0,25.0,6.0,1.0,3.0,,,,69.0,35.0,6.8,8.0,0.0403557,0,,,,,,2.0,,3.0,,,,,1.0,1.0,2.0,3.0,,,,,,1.0,,,,,,,,,,,
11391294,home,Le Havre,Josué Casimir,josue-casimir,J. Casimir,M,7,178,9086,M,1035986,EUR,1001289600,M,23,23,False,27.0,18.0,2.0,1.0,7.0,10.0,11.0,17.0,5.0,1.0,6.0,1.0,,,61.0,36.0,6.5,12.0,0.0258031,2,,,,,,2.0,,,1.0,,,1.0,,,,1.0,0.0582,0.1599,2.0,,,1.0,1.0,,,,,1.0,,,,,
