match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_lastManTackle,stat_accurateCross,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12504384,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,True,20.0,17.0,8.0,5.0,0.0,14.0,15.0,3.0,5.0,1.0,1.0,1.0,9.0,1.0,2.0,1.0,90.0,32.0,7.2,4.0,0.00562586,0,0.6844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504384,home,Milan,Kyle Walker,kyle-walker,K. Walker,D,2,183,26779,M,KyleWalker2,44614,EUR,643852800,D,32,32,False,,34.0,32.0,2.0,2.0,0.0,15.0,16.0,17.0,22.0,2.0,5.0,2.0,2.0,,,,45.0,51.0,7.2,7.0,0.0104871,1,,,,4.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0119,,,,,,,,,,,,,,,,,,,,,
12504384,home,Milan,Matteo Gabbia,matteo-gabbia,M. Gabbia,D,46,185,3401,M,,826195,EUR,940464000,D,46,46,False,,87.0,82.0,6.0,3.0,0.0,46.0,48.0,36.0,39.0,2.0,4.0,2.0,5.0,,,,90.0,95.0,7.2,6.0,0.0129702,0,,,,,,,,1.0,1.0,,,4.0,6.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
12504384,home,Milan,Malick Thiaw,malick-thiaw,M. Thiaw,D,12,194,6237,M,MThiaw,1014286,EUR,997228800,D,28,28,False,,72.0,64.0,4.0,3.0,0.0,29.0,31.0,35.0,41.0,4.0,8.0,1.0,6.0,,,,90.0,81.0,7.7,9.0,0.0189848,2,,,,,,,1.0,,2.0,2.0,0.2408,2.0,4.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12504384,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26616,M,TheoHdez,788027,EUR,876096000,D,19,19,False,,48.0,43.0,,,0.0,10.0,14.0,36.0,43.0,2.0,4.0,4.0,1.0,,,,90.0,71.0,7.6,12.0,0.342052,0,,,,9.0,1.0,1.0,,,,,,3.0,4.0,,1.0,1.0,,1.0,,,3.0,3.0,,,,,,,,,,
12504384,home,Milan,Youssouf Fofana,youssouf-fofana,Y. Fofana,M,19,185,6182,M,YFofana19_,945062,EUR,915926400,M,29,29,False,,45.0,42.0,,,0.0,10.0,10.0,32.0,36.0,1.0,5.0,,2.0,,,,68.0,53.0,7.0,5.0,0.0387399,1,,,,1.0,1.0,1.0,,,1.0,,0.0278,,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,
12504384,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38485,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,,51.0,46.0,3.0,3.0,0.0,11.0,11.0,35.0,41.0,,4.0,,3.0,,,,90.0,65.0,7.7,10.0,0.0438978,2,,,,1.0,3.0,2.0,,,1.0,,0.0347,,1.0,1.0,1.0,1.0,,,1.0,,,2.0,1.0,0.2426,,,,,,,,
12504384,home,Milan,Yunus Musah,yunus-musah,Y. Musah,M,6,178,4211,M,yunusmusah8,983815,EUR,1038528000,M,80,80,False,,41.0,36.0,,,0.0,10.0,10.0,26.0,32.0,2.0,2.0,,3.0,,,,90.0,53.0,6.7,13.0,0.0707404,4,,,,1.0,,,,,,,0.4969,,4.0,,5.0,,3.0,,3.0,,,,1.0,0.1605,1.0,1.0,,,,,,
12504384,home,Milan,João Félix,joao-felix,J. Félix,F,79,181,127180,M,JFélix,851671,EUR,942192000,M,79,79,False,,43.0,37.0,2.0,2.0,0.0,8.0,10.0,29.0,35.0,1.0,7.0,1.0,6.0,,,,88.0,63.0,7.1,13.0,0.147628,1,,,,2.0,2.0,2.0,1.0,,,,0.0424,1.0,6.0,,2.0,4.0,2.0,1.0,,,,1.0,,,2.0,,,,,,,
12504384,home,Milan,Riccardo Sottil,riccardo-sottil,R. Sottil,M,23,180,1381,M,,893640,EUR,928368000,M,99,99,False,,7.0,5.0,,,0.0,2.0,4.0,3.0,6.0,1.0,3.0,,1.0,,,,45.0,14.0,6.7,7.0,0.00551518,0,,,,3.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,
12504384,home,Milan,Santiago Giménez,santiago-gimenez,S. Giménez,F,7,182,32556,M,sant.gimenez,892141,EUR,987552000,F,7,7,False,,11.0,8.0,,,0.0,2.0,2.0,6.0,9.0,3.0,5.0,3.0,1.0,,,,82.0,23.0,7.5,7.0,0.146465,3,,,,,4.0,1.0,1.0,,,,0.9699,2.0,6.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,0.9924,,,1.0,1.0,2.0,,,
