match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_keyPass,stat_hitWoodwork,player_sofascoreId,stat_totalOffside,stat_bigChanceMissed,stat_goals
11406726,home,Frosinone,Michele Cerofolini,michele-cerofolini,M. Cerofolini,G,31,191,126,M,869273,EUR,915408000,G,31,31,False,13.0,12.0,4.0,3.0,0.0,11.0,11.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,4.0,1.0,1.0,1.0,90.0,22.0,7.2,2.0,0.00018929,0,-0.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406726,home,Frosinone,Pol Lirola,pol-lirola,P. Lirola,D,14,183,660,M,844480,EUR,871430400,D,20,20,False,27.0,24.0,2.0,1.0,0.0,13.0,14.0,11.0,14.0,,2.0,1.0,2.0,,,,,,85.0,36.0,6.2,8.0,0.00540601,0,,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11406726,home,Frosinone,Simone Romagnoli,simone-romagnoli,S. Romagnoli,D,4,193,92,M,111487,EUR,634521600,D,6,6,False,46.0,35.0,6.0,2.0,0.0,28.0,33.0,7.0,13.0,4.0,7.0,1.0,4.0,,,,,,90.0,54.0,6.8,11.0,0.00448617,1,,,2.0,,,,2.0,1.0,,,True,1.0,1.0,1.0,1.0,0.0399,,,,,,,,,,,,,,,
11406726,home,Frosinone,Caleb Okoli,caleb-okoli,C. Okoli,D,5,191,938,M,967722,EUR,994982400,D,5,5,False,44.0,35.0,8.0,4.0,0.0,22.0,26.0,13.0,18.0,1.0,8.0,7.0,2.0,,,,,,90.0,62.0,7.2,10.0,0.00375137,2,,,2.0,1.0,,,4.0,2.0,,1.0,,1.0,,3.0,,0.0459,,,1.0,1.0,0.1388,,,,,,,,,,
11406726,home,Frosinone,Nadir Zortea,zortea-nadir,N. Zortea,M,20,187,1108,M,928104,EUR,929750400,M,19,19,False,26.0,18.0,5.0,1.0,0.0,4.0,7.0,16.0,27.0,1.0,2.0,1.0,4.0,,,,,,89.0,57.0,7.1,21.0,0.0601074,2,,8.0,4.0,,,,,,,3.0,,1.0,,,,0.0693,,,2.0,,0.3249,2.0,4.0,1.0,1.0,2.0,,,,,
11406726,home,Frosinone,Marco Brescianini,marco-brescianini,M. Brescianini,M,4,188,1111,M,928800,EUR,948326400,M,4,4,False,27.0,21.0,4.0,2.0,0.0,8.0,11.0,14.0,17.0,,5.0,,4.0,,,,,,88.0,44.0,6.8,12.0,0.0986211,1,,1.0,5.0,,3.0,,1.0,,,1.0,,,,2.0,1.0,0.0406,,,,1.0,,1.0,4.0,2.0,,4.0,1.0,,,,
11406726,home,Frosinone,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186,6499,M,1087316,EUR,990489600,M,45,45,False,63.0,58.0,7.0,5.0,0.0,28.0,28.0,30.0,35.0,2.0,5.0,2.0,6.0,,,,,,90.0,78.0,6.9,8.0,0.0216716,1,,,4.0,2.0,,1.0,2.0,1.0,,1.0,,,,1.0,,0.0115,,,,1.0,,,2.0,,,2.0,,,,,
11406726,home,Frosinone,Emanuele Valeri,emanuele-valeri,E. Valeri,D,14,180,818,M,891346,EUR,912988800,M,32,32,False,25.0,13.0,6.0,1.0,0.0,6.0,8.0,9.0,24.0,,6.0,1.0,4.0,,,,,,90.0,66.0,6.4,30.0,0.00567816,3,,7.0,10.0,3.0,1.0,,3.0,2.0,,3.0,,,1.0,2.0,1.0,0.0874,,,2.0,,0.0572,2.0,6.0,1.0,,,,,,,
11406726,home,Frosinone,Matías Soulé,matias-soule,M. Soulé,F,18,182,12526,M,1082406,EUR,1050364800,F,18,18,False,40.0,34.0,2.0,,0.0,12.0,12.0,22.0,29.0,,6.0,,5.0,,,,,,85.0,57.0,7.1,13.0,0.0437793,3,,1.0,6.0,1.0,2.0,,,,,,,,2.0,2.0,,0.1646,,,,1.0,,,7.0,4.0,,3.0,1.0,matiassoule11,,,
11406726,home,Frosinone,Abdou Harroui,abdou-harroui,A. Harroui,M,21,181,1064,M,915812,EUR,884649600,F,21,21,False,32.0,26.0,1.0,,0.0,6.0,9.0,20.0,23.0,3.0,7.0,1.0,3.0,,,,,,85.0,54.0,6.8,15.0,0.038104,3,,,5.0,,2.0,1.0,3.0,2.0,,3.0,,,2.0,,1.0,0.0832,,,,1.0,,,3.0,1.0,,,,,,,
