match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_accurateCross,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10390125,home,Nantes,Alban Lafont,alban-lafont,A. Lafont,G,40,195,2914,M,826201,EUR,917049600,G,1,1,False,True,25.0,13.0,21.0,9.0,8.0,9.0,5.0,16.0,1.0,14.0,2.0,4.0,6.0,1.0,90.0,41.0,8.4,12.0,0.0,0.0,0.00354594,0,0.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390125,home,Nantes,Fabien Centonze,fabien-centonze,F. Centonze,D,18,182,177,M,802034,EUR,821750400,D,28,28,False,,38.0,30.0,,,19.0,20.0,11.0,19.0,2.0,1.0,,,,,90.0,61.0,7.3,12.0,0.0,0.0,0.00748257,0,,1.0,5.0,1.0,8.0,8.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
10390125,home,Nantes,Jean-Charles Castelletto,jean-charles-castelletto,J.-C. Castelletto,D,21,186,1499,M,191204,EUR,791078400,D,21,21,False,,45.0,41.0,5.0,2.0,28.0,28.0,13.0,18.0,2.0,7.0,,,,,90.0,60.0,7.5,5.0,0.0131,0.0,0.024446,1,,1.0,4.0,2.0,4.0,7.0,,,1.0,1.0,,2.0,3.0,2.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,
10390125,home,Nantes,Nicolas Pallois,nicolas-pallois,N. Pallois,D,5,190,248,M,106496,EUR,559008000,D,4,4,False,,61.0,49.0,14.0,6.0,33.0,35.0,16.0,27.0,5.0,4.0,,,,,90.0,69.0,6.9,13.0,0.0,0.0,0.0228463,0,,1.0,2.0,1.0,3.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10390125,home,Nantes,Charles Traoré,charles-traore,C. Traoré,D,,180,144,M,816115,EUR,694224000,D,93,93,False,,41.0,36.0,2.0,1.0,16.0,18.0,20.0,24.0,2.0,3.0,,,,,87.0,68.0,7.1,8.0,0.0,0.0,0.0299405,0,,1.0,1.0,2.0,1.0,4.0,,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,
10390125,home,Nantes,Evann Guessand,evann-guessand,E. Guessand,F,29,185,5228,M,930245,EUR,993945600,M,7,7,False,,12.0,9.0,1.0,,1.0,2.0,8.0,11.0,,6.0,,,,,64.0,33.0,6.7,12.0,0.2105,0.0,0.0833397,1,,1.0,,2.0,4.0,9.0,,1.0,6.0,4.0,,,1.0,,4.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,
10390125,home,Nantes,Samuel Moutoussamy,moutoussamy-samuel,S. Moutoussamy,M,92,178,6604,M,892624,EUR,839808000,M,8,8,False,,46.0,40.0,2.0,2.0,20.0,21.0,20.0,25.0,,2.0,,,,,90.0,61.0,7.1,8.0,0.0,0.0,0.0089923,0,,,6.0,6.0,7.0,10.0,,,1.0,1.0,,2.0,2.0,,1.0,1.0,1.0,,Samuel,Moutoussamy,,,,,,,,,,,,,
10390125,home,Nantes,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186,273,M,794836,EUR,698284800,M,3,3,False,,61.0,52.0,9.0,7.0,32.0,34.0,20.0,28.0,6.0,4.0,,,,,90.0,75.0,7.1,12.0,0.0,0.0,0.013944,0,,1.0,,3.0,5.0,6.0,2.0,,1.0,,,1.0,3.0,,,,2.0,,,,,,,,,,,,,,,,
10390125,home,Nantes,Moses Simon,moses-simon,M. Simon,F,27,168,4098,M,330051,EUR,805507200,M,27,27,False,,22.0,14.0,,,8.0,9.0,7.0,16.0,,6.0,,,,,64.0,41.0,6.6,17.0,0.0,0.0,0.0199098,0,,3.0,2.0,,8.0,7.0,2.0,1.0,4.0,3.0,,,1.0,,5.0,3.0,2.0,,,,,,,1.0,,,,,,,,,
10390125,home,Nantes,Ignatius Ganago,ignatius-ganago,I. Ganago,F,37,176,477,M,890329,EUR,919123200,F,14,14,False,,13.0,6.0,1.0,,,2.0,6.0,12.0,1.0,1.0,,,,,79.0,27.0,7.6,11.0,0.3355,0.0,0.217015,4,,1.0,4.0,6.0,4.0,10.0,,,,,,,,,3.0,4.0,,1.0,,,1.0,,3.0,,1.0,1.0,1.0,1.0,,,,,
