match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotOffTarget,stat_unsuccessfulTouch,captain,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAShot
14025192,home,Chelsea,Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,18379,M,RS1,920546,EUR,879811200,G,1,1,False,36.0,24.0,17.0,5.0,0.0,21.0,23.0,3.0,13.0,1.0,1.0,7.0,2.0,2.0,2.0,90.0,47.0,7.4,12.0,0.0024256,29.483060199831,6.0,10.185,4.305,0.322,1.0,0,0.7303,0.12,0.01,0.29,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025192,home,Chelsea,Malo Gusto,gusto-malo,M. Gusto,D,27,179,19313,M,malogst,996958,EUR,1053302400,D,27,27,False,67.0,60.0,6.0,4.0,1.0,31.0,31.0,29.0,36.0,1.0,4.0,4.0,,,,90.0,79.0,8.7,7.0,0.13395,165.49959276103,21.0,71.61,17.955,,2.0,2,,0.4,0.13,-0.01,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.3257,0.3848,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
14025192,home,Chelsea,Wesley Fofana,wesley-fofana,W. Fofana,D,29,186,14604,M,wesley_fofana3,923894,EUR,977011200,D,29,29,False,61.0,59.0,1.0,,0.0,48.0,49.0,11.0,12.0,,12.0,5.0,,,,90.0,86.0,7.6,3.0,0.0029418,211.64920541208,23.0,95.865,22.995,,,0,,0.1,0.15,0.71,,4.0,7.0,7.0,1.0,,,3.0,,,,,,,4.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,23.035182330513,1.0,,,,,,,,,,,,,
14025192,home,Chelsea,Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,23,23,False,69.0,67.0,3.0,1.0,0.0,63.0,64.0,4.0,5.0,,8.0,4.0,,,,90.0,85.0,7.5,4.0,0.00123293,72.509575467368,11.0,22.26,14.28,,,1,,0.06,0.03,0.45,,1.0,2.0,5.0,1.0,,,,,0.0517,,-0.25,,,,1.0,,,1.0,4.0,2.0,,,,1.0,1.0,,,,,,,,,,,
14025192,home,Chelsea,Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37239,M,cucurella3,794939,EUR,901065600,D,3,3,False,71.0,67.0,1.0,1.0,0.0,44.0,45.0,23.0,26.0,,3.0,3.0,,,,90.0,88.0,7.1,4.0,0.0273966,145.51982995491,20.0,134.19,14.805,,1.0,0,,0.36,0.12,-0.01,,,4.0,1.0,1.0,,,2.0,,,,,,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
14025192,home,Chelsea,Reece James,reece-james,R. James,D,24,180,49594,M,ReeceJ,885908,EUR,944611200,M,24,24,False,69.0,60.0,6.0,4.0,0.0,41.0,45.0,19.0,24.0,,,6.0,,,,90.0,86.0,7.1,14.0,0.0470654,154.62711642126,23.0,67.2,18.9,,1.0,2,,0.3,0.17,-0.03,,1.0,6.0,5.0,1.0,1.0,,2.0,3.0,0.0935,0.2093,-0.17,,,2.0,2.0,1.0,,,1.0,,,19.951633116114,1.0,,1.0,True,2.0,1.0,1.0,,,,,,,
14025192,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,121227,M,Enzo8,974505,EUR,979689600,M,8,8,False,43.0,36.0,5.0,5.0,0.0,21.0,23.0,15.0,20.0,1.0,1.0,7.0,,,,90.0,59.0,7.6,13.0,0.550031,152.18002244505,18.0,1.785,13.65,,1.0,2,,0.72,0.09,0.16,,1.0,5.0,4.0,,1.0,,2.0,2.0,0.3258,0.0893,-0.56,,,,1.0,2.0,,,1.0,1.0,2.0,,,,3.0,,1.0,1.0,1.0,,,,,,,
14025192,home,Chelsea,Pedro Neto,pedro-neto,P. Neto,M,7,172,39913,M,pedroneto_30,879349,EUR,952560000,M,7,7,False,27.0,23.0,2.0,2.0,1.0,7.0,9.0,16.0,18.0,1.0,1.0,4.0,,,,90.0,48.0,7.5,12.0,0.269511,291.77894779801,23.0,135.87,35.175,,2.0,2,,0.39,0.39,0.15,,,7.0,6.0,,,,,2.0,0.0397,,-0.35,,,2.0,1.0,4.0,2.0,,2.0,1.0,2.0,189.06346352698,9.0,1.0,1.0,,5.0,1.0,1.0,,,,,,,
14025192,home,Chelsea,Cole Palmer,cole-palmer,C. Palmer,M,10,185,363781,M,ColdPalmer,982780,EUR,1020643200,M,10,10,False,29.0,23.0,2.0,,0.0,13.0,15.0,10.0,14.0,,,1.0,,,,58.0,37.0,7.6,10.0,0.0440183,176.90391389786,18.0,39.1,17.85,,2.0,1,,0.16,0.32,-0.02,,,5.0,1.0,,1.0,1.0,,1.0,0.4931,0.5289,0.51,,,,,3.0,,,,,2.0,32.915973799727,2.0,,,,1.0,,,,,,,,,
14025192,home,Chelsea,Alejandro Garnacho,alejandro-garnacho,A. Garnacho,F,49,180,138483,M,AleGarnacho,1135873,EUR,1088640000,M,49,49,False,20.0,16.0,,,0.0,6.0,7.0,10.0,13.0,,1.0,4.0,,,,65.0,33.0,6.1,7.0,0.00569403,119.27281852148,14.0,74.97,14.595,,,4,,-0.45,0.43,0.16,,,2.0,,,,,1.0,,0.6114,,-0.7,,,,,1.0,,,,,1.0,64.419808815989,5.0,4.0,2.0,,,,,3.0,,,,,,
