match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_fouls,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_interceptionWon,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wasFouled,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_shotOffTarget,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_bigChanceCreated,stat_penaltyWon,stat_goals,stat_lastManTackle,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork
14109605,home,Gaziantep FK,Mustafa Burak Bozan,bozan-mustafa-burak,M. B. Bozan,G,71,196.0,106,M,934201,EUR,966988800,G,71,71,False,25.0,18.0,10.0,3.0,0.0,16.0,19.0,2.0,6.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,64.0,29.0,5.4,7.0,0.00043158,-0.0001,0.0,-0.8567,-0.04,-0.02,-0.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109605,home,Gaziantep FK,Salem M'Bakata,salem-mbakata,S. M'Bakata,D,22,177.0,65,M,940367,EUR,892944000,D,22,22,False,7.0,6.0,1.0,,0.0,4.0,4.0,2.0,3.0,,2.0,,,,,,35.0,13.0,6.0,2.0,0.00024271,,0.0,,-0.02,0.01,-0.34,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109605,home,Gaziantep FK,Myenty Abena,myenty-abena,M. Abena,D,14,191.0,241,M,555422,EUR,787190400,D,14,14,False,33.0,32.0,3.0,2.0,0.0,29.0,30.0,3.0,3.0,6.0,2.0,,,,,,90.0,42.0,6.5,1.0,0.00395445,,0.0,,0.06,0.14,-0.24,,,,,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109605,home,Gaziantep FK,Arda Kızıldağ,arda-kizildag,A. Kızıldağ,D,4,187.0,127,M,904228,EUR,908409600,D,4,4,False,41.0,38.0,3.0,2.0,0.0,35.0,36.0,3.0,5.0,8.0,2.0,,,,,,90.0,54.0,6.7,3.0,0.0056786,,1.0,,0.07,0.02,-0.18,,,,,,2.0,1.0,4.0,2.0,,1.0,1.0,1.0,1.0,0.0359,0.0,,,,,,,,,,,,,,,,,,,,,
14109605,home,Gaziantep FK,Kévin Rodrigues,kevin-rodrigues,K. Rodrigues,D,77,169.0,248,M,234232,EUR,762825600,D,77,77,False,22.0,19.0,1.0,1.0,0.0,14.0,15.0,5.0,7.0,1.0,1.0,2.0,,,,,90.0,38.0,5.7,8.0,0.0035085,,0.0,,0.0,0.03,-0.74,,,,1.0,,,7.0,5.0,4.0,,3.0,,,2.0,,,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
14109605,home,Gaziantep FK,Juninho Bacuna,juninho-bacuna,J. Bacuna,M,4,178.0,543,M,788971,EUR,870912000,M,7,7,False,46.0,35.0,7.0,4.0,0.0,20.0,25.0,15.0,21.0,1.0,5.0,3.0,,,,,90.0,59.0,5.6,16.0,0.0109877,,0.0,,0.0,0.14,-0.58,,,,2.0,,,8.0,1.0,1.0,,1.0,,,1.0,,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,
14109605,home,Gaziantep FK,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,10,182.0,3151,M,984602,EUR,1066262400,M,10,10,False,12.0,10.0,1.0,1.0,0.0,2.0,2.0,8.0,10.0,,2.0,2.0,,,,,90.0,28.0,6.8,8.0,0.0175151,,1.0,,0.2,0.05,-0.17,,,,,,,4.0,7.0,,6.0,,,,,0.023,0.0,1.0,,3.0,1.0,1.0,,1.0,0.0386,1.0,,,,,,,,,,,,
14109605,home,Gaziantep FK,Deian Sorescu,deian-sorescu,D. Sorescu,M,18,175.0,704,M,797602,EUR,872812800,M,18,18,False,18.0,10.0,,,0.0,5.0,6.0,5.0,12.0,,2.0,1.0,,,,,79.0,25.0,5.8,12.0,0.00924219,,1.0,,-0.38,0.42,-0.24,,,,,,,3.0,2.0,,,1.0,1.0,,,0.0486,-0.22,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,
14109605,home,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,44,177.0,793,M,180511,EUR,647395200,M,44,44,False,41.0,38.0,9.0,7.0,0.0,20.0,20.0,18.0,21.0,,6.0,,,,,,67.0,48.0,6.8,6.0,0.0582562,,0.0,,0.26,0.07,-0.18,,,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,3.0,,,,1.0,1.0,,,,,,,,,,,
14109605,home,Gaziantep FK,Christophe Lungoyi,christophe-lungoyi,C. Lungoyi,F,11,180.0,196,M,883355,EUR,962668800,M,11,11,False,7.0,5.0,1.0,,0.0,2.0,2.0,3.0,5.0,,1.0,2.0,,,,,45.0,20.0,6.3,6.0,0.00324254,,0.0,,-0.16,0.19,-0.13,,,,,2.0,,5.0,4.0,1.0,1.0,,,,1.0,,,,,3.0,2.0,2.0,,,,,,,,,,,,,,,,
