match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_clearanceOffLine,player_sofascoreId,stat_hitWoodwork,stat_goals
12904467,home,Preston North End,Freddie Woodman,freddie-woodman,F. Woodman,G,28,187,5393,M,284417,EUR,857433600,G,1,1,False,25.0,16.0,14.0,5.0,0.0,15.0,18.0,1.0,7.0,11.0,1.0,5.0,6.0,90.0,40.0,7.2,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12904467,home,Preston North End,Kaine Kesler-Hayden,kaine-hayden,K. Kesler-Hayden,M,20,175,289,M,1099074,EUR,1035331200,D,29,29,False,13.0,11.0,3.0,1.0,0.0,7.0,8.0,4.0,6.0,4.0,,,,60.0,19.0,6.1,3.0,0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12904467,home,Preston North End,Jack Whatmough,jack-whatmough,J. Whatmough,D,6,184,45,M,255073,EUR,835574400,D,5,5,False,24.0,20.0,1.0,1.0,0.0,16.0,19.0,4.0,5.0,2.0,,,,90.0,40.0,6.3,8.0,0,,,,2.0,6.0,3.0,1.0,,2.0,3.0,3.0,,3.0,2.0,2.0,,,,,,,,,,,,,,,,,
12904467,home,Preston North End,Liam Lindsay,liam-lindsay,L. Lindsay,D,6,193,77,M,331219,EUR,813456000,D,6,6,False,38.0,29.0,7.0,1.0,0.0,28.0,34.0,1.0,4.0,,,,,77.0,48.0,6.5,10.0,2,,,,,,6.0,,,,2.0,2.0,,,2.0,,4.0,1.0,2.0,1.0,,,,,,,,,,,,,
12904467,home,Preston North End,Andrew Hughes,andrew-hughes,A. Hughes,D,16,188,50,M,78368,EUR,707702400,D,16,16,False,17.0,16.0,2.0,1.0,0.0,13.0,13.0,3.0,4.0,2.0,,,,68.0,32.0,6.5,2.0,0,,,,1.0,2.0,5.0,2.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
12904467,home,Preston North End,Stefán Teitur Þórðarson,stefan-teitur-thordarson,S. T. Þórðarson,M,23,187,144,M,858282,EUR,908496000,M,22,22,False,20.0,18.0,,,0.0,13.0,13.0,5.0,7.0,3.0,,,,90.0,33.0,6.3,6.0,0,,,,1.0,6.0,4.0,1.0,,1.0,2.0,2.0,1.0,2.0,3.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,
12904467,home,Preston North End,Ryan Ledson,ryan-ledson,R. Ledson,M,4,175,59,M,361322,EUR,871948800,M,18,18,False,25.0,16.0,3.0,1.0,0.0,8.0,14.0,8.0,11.0,6.0,,,,90.0,33.0,6.4,11.0,0,,,,1.0,5.0,1.0,,,1.0,,,1.0,1.0,,2.0,1.0,,,,,,2.0,True,,,,,,,,,
12904467,home,Preston North End,Josh Bowler,bowler-josh,J. Bowler,M,19,175,147,M,879800,EUR,920592000,M,40,40,False,6.0,5.0,1.0,,0.0,2.0,2.0,3.0,4.0,2.0,,,,59.0,15.0,6.1,6.0,0,,,,2.0,8.0,3.0,3.0,2.0,,,,1.0,1.0,,,,,,1.0,1.0,,3.0,,,,,,,,,,
12904467,home,Preston North End,Duane Holmes,duane-holmes,D. Holmes,M,14,173,85,M,309290,EUR,784080000,M,25,25,False,25.0,20.0,1.0,1.0,0.0,13.0,16.0,7.0,9.0,3.0,,,,90.0,35.0,6.7,9.0,0,,,,,5.0,3.0,2.0,2.0,,1.0,1.0,2.0,2.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,
12904467,home,Preston North End,Jeppe Okkels,jeppe-okkels,J. Okkels,M,19,183,183,M,826066,EUR,933033600,M,23,23,False,12.0,8.0,,,0.0,6.0,7.0,2.0,6.0,,,,,90.0,25.0,6.8,8.0,2,,,1.0,,4.0,5.0,,,1.0,3.0,2.0,3.0,,1.0,,1.0,,,2.0,1.0,,1.0,,1.0,1.0,,,,,,,
