match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,captain,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_penaltyWon,stat_wonContest,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
14083120,home,Sevilla,Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2909,M,138149,EUR,767318400,G,1,1,False,22.0,11.0,13.0,2.0,0.0,9.0,9.0,2.0,13.0,1.0,7.0,1.0,2.0,3.0,1.0,90.0,34.0,7.3,12.0,0.00044221,0.3226,0,1.1357,0.02,-0.03,0.21,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083120,home,Sevilla,José Ángel Carmona,,,jose-angel-carmona,J. Á. Carmona,D,2,183,1021,M,1015240,EUR,1012262400,D,2,2,False,44.0,40.0,4.0,3.0,0.0,26.0,26.0,14.0,18.0,4.0,6.0,,,,,90.0,73.0,7.4,9.0,0.0213489,,0,,0.13,0.15,0.3,,1.0,1.0,3.0,5.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14083120,home,Sevilla,Tanguy Nianzou,,,tanguy-nianzou,T. Nianzou,D,5,192,1231,M,1003007,EUR,1023408000,D,5,5,False,47.0,40.0,11.0,6.0,0.0,29.0,31.0,11.0,16.0,10.0,2.0,,,,,90.0,64.0,7.3,9.0,0.00453715,,1,,0.12,0.05,0.3,,,2.0,3.0,4.0,,,,2.0,1.0,2.0,3.0,,1.0,0.0184,-0.08,,,,,,,,,,,,,,,,,,,
14083120,home,Sevilla,Marcão,,,marcao,Marcão,D,23,185,1053,M,840951,EUR,833932800,D,23,23,False,31.0,26.0,5.0,2.0,0.0,21.0,22.0,5.0,9.0,3.0,1.0,,,,,90.0,45.0,7.6,6.0,0.00288867,,1,,0.12,0.04,0.43,,4.0,3.0,6.0,8.0,,,1.0,2.0,2.0,1.0,3.0,,,0.009,-0.13,True,1.0,2.0,3.0,0.0527,,,,,,,,,,,,,,
14083120,home,Sevilla,Gabriel Suazo,,,gabriel-suazo,G. Suazo,M,12,178,3981,M,818986,EUR,871084800,D,12,12,False,34.0,28.0,8.0,4.0,0.0,16.0,19.0,12.0,15.0,2.0,4.0,,,,,90.0,68.0,7.5,18.0,0.0615859,,0,,0.23,0.06,0.29,,1.0,1.0,6.0,6.0,2.0,,1.0,5.0,5.0,,1.0,4.0,,,,,,1.0,,,6.0,2.0,1.0,1.0,,,,,,,,,,
14083120,home,Sevilla,Djibril Sow,,,djibril-sow,D. Sow,M,20,184,1941,M,799054,EUR,855187200,M,20,20,False,20.0,18.0,1.0,1.0,0.0,10.0,12.0,8.0,8.0,,3.0,,,,,65.0,22.0,6.3,4.0,0.0176378,,0,,-0.05,0.14,-0.04,,1.0,,6.0,,1.0,,,,,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14083120,home,Sevilla,Batista Mendy,,,batista-mendy,B. Mendy,M,19,191,1300,M,859021,EUR,947635200,M,19,19,False,35.0,24.0,8.0,3.0,0.0,13.0,19.0,11.0,16.0,2.0,6.0,,,,,90.0,48.0,6.7,13.0,0.0103882,,0,,0.08,0.13,0.15,,1.0,2.0,9.0,6.0,1.0,,,4.0,3.0,1.0,6.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
14083120,home,Sevilla,Juanlu Sánchez,,,juanlu-sanchez,J. Sánchez,M,16,186,1123,M,1010655,EUR,1060905600,M,16,16,False,17.0,13.0,2.0,,0.0,5.0,7.0,8.0,10.0,1.0,4.0,,,,,86.0,34.0,7.3,10.0,0.204439,,0,,0.25,0.21,0.14,,2.0,1.0,7.0,6.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,3.0,,1.0,,1.0,3.0,1.0,,,,,,,,,
14083120,home,Sevilla,Peque Fernández,,,peque-fernandez,P. Fernández,M,14,168,904,M,997033,EUR,1033689600,M,14,14,False,19.0,17.0,1.0,1.0,0.0,7.0,7.0,10.0,12.0,,3.0,,,,,76.0,46.0,7.5,13.0,0.0697396,,2,,0.27,0.38,0.14,,1.0,3.0,4.0,13.0,,,,1.0,1.0,4.0,,1.0,,0.1078,-0.35,,,,5.0,,5.0,1.0,,7.0,,4.0,2.0,,,,,,,
14083120,home,Sevilla,Ruben Vargas,,,ruben-vargas,R. Vargas,M,11,179,2690,M,872919,EUR,902275200,M,11,11,False,25.0,18.0,1.0,1.0,0.0,9.0,11.0,9.0,14.0,1.0,4.0,,,,,86.0,42.0,7.0,16.0,0.0277428,,2,,0.01,0.27,0.13,,1.0,,7.0,3.0,1.0,,,2.0,2.0,2.0,1.0,,,0.8329,0.3,,1.0,,,0.8501,2.0,,1.0,4.0,,1.0,1.0,1.0,,,,,,
