match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_interceptionWon,stat_fouls,stat_goalAssist,stat_accurateCross,stat_keyPass,stat_outfielderBlock,stat_unsuccessfulTouch,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalContest,stat_wonContest,stat_dispossessed,player_firstName,player_lastName,stat_goals,stat_goodHighClaim,stat_totalOffside
11396239,home,VfL Bochum 1848,Manuel Riemann,manuel-riemann,M. Riemann,G,1,186,218,M,24937,EUR,589766400,G,1,1,False,50.0,37.0,31.0,19.0,22.0,24.0,15.0,26.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,2.0,2.0,90.0,55.0,6.2,13.0,0.00857183,0,-1.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396239,home,VfL Bochum 1848,Felix Passlack,passlack-felix,F. Passlack,M,25,170,280,M,795000,EUR,896400000,D,15,15,False,25.0,14.0,6.0,2.0,6.0,9.0,8.0,22.0,1.0,6.0,2.0,4.0,,,,,,72.0,49.0,7.0,18.0,0.0318247,4,,6.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,0.1358,,,,,,,,,,,,,,,,,,,,
11396239,home,VfL Bochum 1848,Erhan Mašović,erhan-masovic,E. Mašović,D,4,189,232,M,833213,EUR,911692800,D,4,4,False,32.0,28.0,1.0,,23.0,24.0,5.0,8.0,2.0,4.0,2.0,3.0,,,,,,90.0,41.0,6.2,4.0,0.00343428,1,,,6.0,2.0,1.0,,1.0,1.0,1.0,0.0122,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
11396239,home,VfL Bochum 1848,Keven Schlotterbeck,keven-schlotterbeck,K. Schlotterbeck,D,31,189,405,M,891651,EUR,862185600,D,31,31,False,54.0,47.0,1.0,,39.0,39.0,10.0,17.0,4.0,7.0,2.0,7.0,,,,,,90.0,62.0,6.9,7.0,0.118864,0,,2.0,5.0,,,,1.0,,2.0,,3.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,
11396239,home,VfL Bochum 1848,Bernardo,bernardo,Bernardo,D,13,186,580,M,828571,EUR,800409600,D,5,5,False,46.0,38.0,6.0,5.0,21.0,24.0,17.0,22.0,6.0,11.0,2.0,7.0,,,,,,90.0,71.0,7.6,10.0,0.0203236,1,,,2.0,,1.0,,4.0,2.0,1.0,0.0307,2.0,2.0,,,,,2.0,1.0,,,,,,,,,,,,
11396239,home,VfL Bochum 1848,Anthony Losilla,anthony-losilla,A. Losilla,M,,185,68,M,119179,EUR,510796800,M,8,8,False,35.0,24.0,4.0,1.0,14.0,19.0,10.0,16.0,7.0,10.0,2.0,5.0,,,,,,90.0,48.0,7.4,11.0,0.117697,3,,,1.0,,1.0,1.0,1.0,,2.0,0.5105,,1.0,1.0,,,3.0,1.0,,True,1.0,1.0,1.0,,,,,,,,
11396239,home,VfL Bochum 1848,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,74.0,59.0,7.0,5.0,12.0,14.0,53.0,72.0,1.0,6.0,,6.0,,,,,,90.0,100.0,8.9,24.0,0.48334,0,,12.0,2.0,,,,3.0,1.0,1.0,,,,1.0,,6.0,10.0,,2.0,,2.0,,,2.0,1.0,,,,,,
11396239,home,VfL Bochum 1848,Patrick Osterhage,osterhage-patrick,P. Osterhage,M,6,183,261,M,914755,EUR,949363200,M,6,6,False,40.0,36.0,1.0,1.0,20.0,20.0,16.0,21.0,1.0,4.0,2.0,5.0,,,,,,83.0,52.0,7.0,5.0,0.0173258,2,,1.0,4.0,1.0,1.0,1.0,3.0,2.0,,0.1049,3.0,2.0,,,,,,,,,,,,,,,,,,
11396239,home,VfL Bochum 1848,Takuma Asano,takuma-asano,T. Asano,M,11,173,2035,M,309546,EUR,784425600,F,11,11,False,20.0,14.0,1.0,1.0,1.0,2.0,13.0,18.0,,4.0,,1.0,,,,,,84.0,31.0,6.9,9.0,0.0378616,3,,,5.0,1.0,1.0,,3.0,2.0,,0.2866,2.0,,,,,2.0,,1.0,,,1.0,2.0,1.0,1.0,2.0,,,,,
11396239,home,VfL Bochum 1848,Philipp Hofmann,philipp-hofmann,P. Hofmann,F,33,195,413,M,340719,EUR,733449600,F,33,33,False,19.0,9.0,1.0,,3.0,3.0,6.0,16.0,6.0,7.0,,1.0,,,,,,72.0,25.0,8.3,10.0,0.00695204,3,,,2.0,,,,,,1.0,0.4994,2.0,,,,,,,,,,1.0,3.0,,,,,,2.0,,
