match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,player_id,player_name,from,playerName,reason,rescinded,confirmed,length
10388412,FT,5.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
10388412,,,,,87,,,4,,,substitution,121378607.0,False,True,regular,,,,,,,,
10388412,,5.0,1.0,,86,,,5,,,goal,166724446.0,,True,regular,249893.0,Lucas Alario,,,,,,
10388412,,,,,80,,,11,,,substitution,121378516.0,False,False,regular,,,,,,,,
10388412,,,,,80,,,11,,,substitution,121378517.0,False,False,regular,,,,,,,,
10388412,,,,,80,,,11,,,substitution,121378515.0,False,True,regular,,,,,,,,
10388412,,,,,77,,,14,,,substitution,121378492.0,False,True,regular,,,,,,,,
10388412,,,,,77,,,14,,,substitution,121378491.0,False,True,regular,,,,,,,,
10388412,,,,,76,,,15,,,substitution,121378490.0,False,True,regular,,,,,,,,
10388412,,,,,73,,,18,,,substitution,121378432.0,False,False,regular,,,,,,,,
10388412,,4.0,1.0,,72,,,19,,,goal,166723824.0,,True,penalty,794338.0,Daichi Kamada,penalty,,,,,
10388412,,,,,71,,,20,,,card,120503207.0,,False,yellowRed,1002837.0,Piero Hincapié,,Piero Hincapié,Foul,False,,
10388412,,,,,71,,,20,,,varDecision,13779.0,,True,penaltyNotAwarded,871706.0,Randal Kolo Muani,,,,,False,
10388412,,3.0,1.0,,65,,,26,,,goal,166723485.0,,True,regular,947929.0,Jesper Lindstrøm,,,,,,
10388412,,2.0,1.0,,58,,,33,,,goal,166723285.0,,True,regular,871706.0,Randal Kolo Muani,,,,,,
10388412,,1.0,1.0,,56,,,35,,,goal,166723184.0,,False,regular,1002837.0,Piero Hincapié,,,,,,
10388412,,,,,46,,,45,,,substitution,121378213.0,False,False,regular,,,,,,,,
10388412,,,,,46,,,45,,,substitution,121378212.0,False,False,regular,,,,,,,,
10388412,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
10388412,,1.0,0.0,,45,5.0,,1,,,goal,166722015.0,,True,penalty,794338.0,Daichi Kamada,penalty,,,,,
10388412,,,,,45,4.0,,1,,,varDecision,13777.0,,True,review,871706.0,Randal Kolo Muani,,,,,False,
10388412,,,,,45,2.0,,1,,,card,120502864.0,,False,yellow,883262.0,Edmond Tapsoba,,Edmond Tapsoba,Foul,False,,
10388412,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,,,2.0
10388412,,,,,42,,,4,,,card,120502837.0,,False,yellow,1002837.0,Piero Hincapié,,Piero Hincapié,Foul,False,,
10388412,,,,,11,,,35,,,card,120502602.0,,False,yellow,168903.0,Robert Andrich,,Robert Andrich,Foul,False,,
