match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,captain,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_shotOffTarget,stat_accurateCross,stat_dispossessed,stat_goals,stat_errorLeadToAShot,stat_totalOffside,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_errorLeadToAGoal
11352535,home,West Ham United,Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3046,M,96531,EUR,730771200,G,23,23,False,27.0,14.0,21.0,8.0,10.0,12.0,4.0,15.0,5.0,1.0,1.0,3.0,90.0,34.0,7.3,14.0,0.00117785,0,0.6842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352535,home,West Ham United,Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1722,M,138024,EUR,714441600,D,5,5,False,29.0,23.0,2.0,,9.0,12.0,14.0,22.0,4.0,,,,90.0,53.0,7.2,15.0,0.0105184,0,,,,5.0,1.0,3.0,4.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11352535,home,West Ham United,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2680,M,829022,EUR,881798400,D,15,15,False,34.0,29.0,8.0,5.0,18.0,20.0,11.0,14.0,3.0,,,,90.0,48.0,6.9,8.0,0.00277066,0,,,,,2.0,3.0,2.0,,1.0,,4.0,3.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,
11352535,home,West Ham United,Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2248,M,139227,EUR,783216000,D,4,4,False,28.0,25.0,5.0,2.0,17.0,17.0,8.0,11.0,,,,,90.0,39.0,7.0,3.0,0.00148552,0,,,,,,5.0,,,,,6.0,2.0,,,,3.0,2.0,True,1.0,,,,,,,,,,,,,,,,,
11352535,home,West Ham United,Emerson Palmieri,emerson-palmieri,Emerson,D,33,176,2398,M,155997,EUR,775872000,D,33,33,False,34.0,26.0,2.0,,9.0,12.0,17.0,23.0,3.0,,,,90.0,56.0,7.5,11.0,0.0114704,2,,,,1.0,,2.0,5.0,,2.0,,4.0,,4.0,4.0,,,,,,1.0,1.0,1.0,0.0557,0.1423,,,,,,,,,,,,
11352535,home,West Ham United,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10872,M,847151,EUR,877651200,M,19,19,False,35.0,31.0,4.0,3.0,18.0,19.0,13.0,16.0,5.0,,,,90.0,44.0,6.9,6.0,0.00713687,0,,,,,,4.0,1.0,,1.0,1.0,1.0,,,,2.0,2.0,3.0,,,,,,,,EdsonAlvarez19,,,,,,,,,,,
11352535,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,799041,EUR,793843200,M,28,28,False,17.0,12.0,3.0,1.0,6.0,6.0,6.0,11.0,4.0,,,,90.0,28.0,7.1,5.0,0.00255231,1,,,,,5.0,3.0,9.0,,,,1.0,1.0,2.0,1.0,,2.0,2.0,,1.0,,,2.0,0.0442,,,1.0,,,,,,,,,,
11352535,home,West Ham United,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89524,M,905163,EUR,965174400,M,14,14,False,23.0,21.0,5.0,3.0,10.0,12.0,12.0,13.0,9.0,,,,89.0,56.0,7.9,11.0,0.0209756,2,,,,2.0,,7.0,14.0,,9.0,6.0,1.0,,5.0,4.0,4.0,1.0,2.0,,,1.0,,3.0,0.1899,0.7648,Kudus,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
11352535,home,West Ham United,James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,161717,EUR,783648000,M,7,7,False,29.0,26.0,3.0,,9.0,10.0,19.0,27.0,5.0,,,,90.0,47.0,7.0,13.0,0.146386,1,,,,8.0,,4.0,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,1.0,,,,,,0.041,,prowsey16,1.0,2.0,1.0,,,,3.0,,,,
11352535,home,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180,63569,M,839981,EUR,872640000,M,10,10,False,46.0,33.0,5.0,2.0,9.0,10.0,24.0,36.0,7.0,,,,90.0,80.0,7.5,26.0,0.371795,2,,,,,2.0,13.0,12.0,1.0,2.0,1.0,1.0,,2.0,2.0,6.0,2.0,4.0,,,,2.0,7.0,0.0626,,Paqueta,,,6.0,,,,3.0,1.0,2.0,,
