match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_accurateCross,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,captain,stat_goalAssist,stat_hitWoodwork
11401978,home,AFC Ajax,Diant Ramaj,ramaj-diant,D. Ramaj,G,41,189,935,M,981562,EUR,1000857600,G,40,40,False,50.0,40.0,25.0,15.0,32.0,35.0,8.0,15.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,2.0,90.0,61.0,7.6,10.0,0.00448488,0,0.3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401978,home,AFC Ajax,Tristan Gooijer,tristan-gooijer,T. Gooijer,D,6,185,452,M,1142572,EUR,1094083200,D,47,47,False,32.0,27.0,4.0,1.0,12.0,14.0,15.0,20.0,,7.0,4.0,4.0,,,,,80.0,54.0,6.9,9.0,0.0149214,0,,Tristan,Gooijer,2.0,3.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11401978,home,AFC Ajax,Josip Šutalo,josip-sutalo,J. Šutalo,D,37,190,4308,M,954836,EUR,951696000,D,37,37,False,45.0,44.0,4.0,4.0,32.0,33.0,12.0,13.0,4.0,6.0,3.0,7.0,,,,,90.0,61.0,7.6,2.0,0.0686687,2,,,,1.0,3.0,,,,,1.0,,1.0,1.0,josip.sutalo,2.0,1.0,2.0,6.0,1.0,0.2276,,,,,,,,,,,,
11401978,home,AFC Ajax,Jorrel Hato,jorrel-hato,J. Hato,D,21,182,15501,M,1153079,EUR,1141689600,D,4,4,False,70.0,68.0,3.0,2.0,53.0,54.0,15.0,16.0,,3.0,2.0,4.0,,,,,90.0,88.0,6.8,8.0,0.131041,1,,,,,6.0,,2.0,,,1.0,,2.0,,,3.0,,,2.0,1.0,0.1092,1.0,1.0,1.0,3.0,0.0223,,,,,,,
11401978,home,AFC Ajax,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,982778,EUR,1042848000,D,2,2,False,14.0,10.0,3.0,,3.0,4.0,7.0,10.0,,3.0,,2.0,,,,,28.0,24.0,6.6,7.0,0.0049791,0,,,,,2.0,,1.0,,,2.0,2.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,
11401978,home,AFC Ajax,Jordan Henderson,jordan-henderson,J. Henderson,M,6,183,6342,M,42694,EUR,645580800,M,6,6,False,61.0,55.0,7.0,4.0,27.0,28.0,29.0,34.0,1.0,1.0,1.0,6.0,,,,,90.0,65.0,7.1,6.0,0.274154,0,,,,1.0,2.0,2.0,,,,,,,,jordanhenderson,,,,,,,,,1.0,,,1.0,,,,,,
11401978,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3631,M,959806,EUR,1021507200,M,8,8,False,24.0,18.0,5.0,4.0,8.0,10.0,10.0,14.0,1.0,8.0,,4.0,,,,,90.0,44.0,7.9,9.0,0.0161918,3,,,,,1.0,,,,,5.0,1.0,2.0,,,,,1.0,1.0,1.0,0.3121,1.0,2.0,3.0,2.0,0.1817,,,,,,,
11401978,home,AFC Ajax,Steven Berghuis,steven-berghuis,S. Berghuis,F,23,182,1909,M,100386,EUR,693100800,M,23,23,False,24.0,17.0,5.0,3.0,5.0,5.0,15.0,23.0,,3.0,,2.0,,,,,74.0,39.0,7.7,10.0,0.184634,4,,,,4.0,3.0,1.0,,2.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,,1.0,0.3124,,1.0,,1.0,0.2402,3.0,2.0,1.0,1.0,,,
11401978,home,AFC Ajax,Kristian Hlynsson,hlynsson-kristian,K. Hlynsson,M,14,176,998,M,1160026,EUR,1074816000,M,38,38,False,22.0,13.0,2.0,,3.0,6.0,11.0,17.0,,3.0,1.0,3.0,,,,,90.0,34.0,6.8,13.0,0.0845215,0,,,,1.0,3.0,2.0,1.0,,,1.0,,2.0,2.0,,,1.0,,1.0,,,,,,2.0,,1.0,,,,,,
11401978,home,AFC Ajax,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178,5149,M,361798,EUR,876268800,M,7,7,False,33.0,24.0,2.0,1.0,10.0,11.0,14.0,22.0,3.0,9.0,,5.0,,,,,90.0,46.0,7.5,12.0,0.14795,1,,,,,3.0,2.0,,2.0,2.0,3.0,3.0,1.0,2.0,StevenBergwijn,,,1.0,1.0,1.0,0.1503,1.0,,,3.0,,,,,,True,,
