match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_errorLeadToAShot,stat_fouls,stat_totalCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,stat_unsuccessfulTouch,stat_wasFouled,player_lastName,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_clearanceOffLine,stat_hitWoodwork
11396229,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,24.0,21.0,9.0,6.0,16.0,16.0,5.0,8.0,4.0,10.0,1.0,2.0,5.0,1.0,1.0,1.0,90.0,43.0,7.7,3.0,0.00138916,0,0.0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396229,home,TSG Hoffenheim,Ozan Kabak,ozan-kabak,O. Kabak,D,5,185,2402,M,857740,EUR,953942400,D,5,5,False,,53.0,46.0,5.0,3.0,28.0,32.0,18.0,21.0,4.0,,,,,,,,64.0,60.0,6.7,7.0,0.0216246,0,,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396229,home,TSG Hoffenheim,Florian Grillitsch,florian-grillitsch,F. Grillitsch,M,27,187,755,M,186719,EUR,807753600,D,11,11,False,,82.0,72.0,12.0,6.0,45.0,47.0,27.0,36.0,5.0,4.0,,,,,,,90.0,100.0,7.3,12.0,0.0268958,0,,2.0,1.0,5.0,5.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11396229,home,TSG Hoffenheim,Tim Drexler,drexler-tim,T. Drexler,D,21,185,185,M,1152499,EUR,1110067200,D,35,35,False,,43.0,40.0,3.0,1.0,30.0,30.0,10.0,13.0,1.0,4.0,,,,,,,90.0,53.0,6.5,5.0,0.00312014,0,,5.0,,7.0,1.0,3.0,,,,1.0,1.0,,,,,,Tim Drexler,1.0,1.0,,,,,,,,,,,,,,,,
11396229,home,TSG Hoffenheim,Pavel Kadeřábek,pavel-kaderabek,P. Kadeřábek,M,3,182,266,M,109296,EUR,704160000,M,3,3,False,,32.0,25.0,4.0,1.0,11.0,12.0,16.0,25.0,2.0,3.0,,,,,,,90.0,55.0,8.4,12.0,1.09553,1,,2.0,4.0,5.0,6.0,2.0,,1.0,5.0,,,,,1.0,,5.0,,,1.0,,2.0,2.0,2.0,3.0,1.0,0.0229,,,,,,,,,
11396229,home,TSG Hoffenheim,Grischa Prömel,grischa-promel,G. Prömel,M,6,182,280,M,253993,EUR,789609600,M,6,6,False,,50.0,43.0,1.0,1.0,24.0,25.0,19.0,25.0,1.0,3.0,,,,,,,87.0,63.0,7.0,10.0,0.0410932,1,,1.0,,3.0,4.0,2.0,,1.0,,,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,,,,1.0,,,0.0597,1.0,,,,,,,,
11396229,home,TSG Hoffenheim,Anton Stach,anton-stach,A. Stach,M,18,192,1470,M,889861,EUR,911088000,M,16,16,False,,57.0,49.0,5.0,3.0,21.0,21.0,30.0,44.0,3.0,8.0,,,,,,,90.0,87.0,7.3,19.0,0.183125,2,,1.0,3.0,4.0,7.0,2.0,,1.0,8.0,,3.0,1.0,,1.0,,2.0,,2.0,2.0,,,2.0,1.0,,1.0,0.0364,1.0,,,,,,,,
11396229,home,TSG Hoffenheim,David Jurásek,david-jurasek,D. Jurásek,D,39,183,1517,M,1030711,EUR,965606400,M,19,19,False,,41.0,27.0,6.0,,9.0,12.0,18.0,34.0,5.0,2.0,,,,,,,75.0,72.0,6.5,26.0,0.0311828,2,,1.0,2.0,4.0,6.0,,1.0,,5.0,1.0,2.0,,1.0,3.0,2.0,1.0,,5.0,1.0,,,,,,2.0,0.0398,,,,,,,,,
11396229,home,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,F,27,27,False,,40.0,35.0,1.0,,18.0,20.0,17.0,21.0,1.0,4.0,,,,,,,75.0,48.0,7.5,8.0,0.0942751,1,,,1.0,2.0,2.0,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,,,0.0955,,andrejkramaric,1.0,1.0,0.2585,,,,
11396229,home,TSG Hoffenheim,Maximilian Beier,maximilian-beier,M. Beier,F,14,183,4887,M,980628,EUR,1034812800,F,14,14,False,,16.0,9.0,1.0,1.0,3.0,6.0,7.0,11.0,1.0,1.0,,,,,,,88.0,38.0,6.6,14.0,0.0730464,4,,1.0,2.0,6.0,6.0,1.0,,,1.0,,3.0,,,1.0,,1.0,,2.0,3.0,,,1.0,2.0,,1.0,0.2183,1.0,,2.0,,0.423,1.0,1.0,,
