match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_wonContest,stat_outfielderBlock,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_clearanceOffLine,stat_keyPass,stat_onTargetScoringAttempt,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goalAssist,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_punches
11067615,home,Vasco da Gama,Léo Jardim,leo-jardim,L. Jardim,G,1,188,5904,M,leocjardim,595598,EUR,795657600,G,1,1,False,20.0,17.0,10.0,7.0,13.0,14.0,4.0,6.0,4.0,2.0,1.0,3.0,90.0,28.0,7.4,4.0,0.0,0.0,0.00044726,0,0.4472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067615,home,Vasco da Gama,Robson Bambu,robson-bambu,R. Bambu,D,3,184,359,M,,923186,EUR,879292800,D,30,30,False,39.0,32.0,5.0,1.0,14.0,16.0,19.0,26.0,3.0,,,,64.0,69.0,7.1,14.0,0.0,0.0,0.0118769,0,,,,3.0,1.0,3.0,6.0,12.0,4.0,2.0,3.0,1.0,8.0,7.0,3.0,1.0,,,,,,,,,,,,,,,,,
11067615,home,Vasco da Gama,Gary Medel,gary-medel,G. Medel,D,17,171,1841,M,,22975,EUR,554947200,D,17,17,False,49.0,43.0,7.0,2.0,29.0,32.0,14.0,17.0,9.0,,,,90.0,65.0,7.1,8.0,0.0,0.0,0.00499895,0,,,,,,3.0,5.0,6.0,4.0,1.0,6.0,1.0,2.0,1.0,2.0,,True,1.0,2.0,1.0,,,,,,,,,,,,,
11067615,home,Vasco da Gama,Léo,leo,Léo,D,3,183,707,M,,360940,EUR,826070400,D,3,3,False,56.0,45.0,8.0,2.0,21.0,26.0,24.0,30.0,5.0,,,,90.0,72.0,7.5,12.0,0.0,0.0,0.0152194,0,,,,,,1.0,3.0,6.0,,2.0,7.0,1.0,2.0,2.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,
11067615,home,Vasco da Gama,Lucas Piton,lucas-piton,L. Piton,D,6,176,3645,M,,982174,EUR,971049600,D,6,6,False,39.0,33.0,3.0,,14.0,17.0,19.0,26.0,4.0,,,,90.0,68.0,7.6,15.0,0.0576,0.0,0.0738281,1,,,,4.0,,1.0,2.0,2.0,,1.0,1.0,2.0,,,4.0,,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,
11067615,home,Vasco da Gama,Zé Gabriel,ze-gabriel,Zé Gabriel,M,35,184,375,M,,988852,EUR,916876800,M,23,23,False,50.0,45.0,1.0,1.0,19.0,21.0,26.0,29.0,4.0,,,,90.0,63.0,6.8,7.0,0.1085,0.0,0.023926,1,,,,,,,7.0,3.0,2.0,,3.0,2.0,1.0,,2.0,2.0,,,1.0,4.0,1.0,,,,1.0,,,,,,,,
11067615,home,Vasco da Gama,Luca Orellano,luca-orellano,L. Orellano,M,11,170,1144,M,,965764,EUR,953683200,M,14,14,False,38.0,33.0,2.0,,15.0,15.0,19.0,25.0,6.0,,,,64.0,52.0,6.7,11.0,0.0423,0.1493,0.0985755,3,,,,2.0,1.0,,4.0,2.0,,3.0,1.0,,,,1.0,,,2.0,,1.0,,1.0,,,1.0,2.0,1.0,,,,,,
11067615,home,Vasco da Gama,Bruno Praxedes,bruno-praxedes,B. Praxedes,M,25,186,445,M,,1018093,EUR,1013126400,M,21,21,False,40.0,35.0,3.0,2.0,16.0,19.0,19.0,21.0,6.0,,,,72.0,49.0,7.0,5.0,0.0,0.0,0.020856,0,,,,,,,4.0,7.0,2.0,2.0,,,3.0,3.0,,2.0,,2.0,,2.0,,,,1.0,,,,,,,,,
11067615,home,Vasco da Gama,Paulinho Paula,paulinho-paula,Paulinho,M,18,173,1795,M,,879902,EUR,852681600,M,18,18,False,55.0,44.0,5.0,3.0,8.0,11.0,36.0,46.0,9.0,,,,90.0,72.0,6.9,23.0,0.0,0.0,0.381583,0,,,,2.0,,3.0,11.0,6.0,1.0,2.0,,1.0,2.0,1.0,5.0,1.0,,,,5.0,,,,2.0,,3.0,,2.0,,,,,
11067615,home,Vasco da Gama,Gabriel Pec,gabriel-pec,G. Pec,F,11,172,4603,M,GabrielPec,995072,EUR,981849600,M,11,11,False,31.0,26.0,3.0,2.0,6.0,8.0,21.0,28.0,7.0,,,,87.0,60.0,6.9,13.0,0.2245,0.0,0.610021,2,,,,5.0,1.0,,7.0,5.0,2.0,,,,1.0,,2.0,4.0,,,,2.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,
