match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_fouls,player_sofascoreId,stat_aerialLost,stat_totalCross,stat_accurateCross,stat_unsuccessfulTouch,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_keyPass,captain,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated,stat_goodHighClaim,stat_penaltyFaced,stat_errorLeadToAShot,stat_lastManTackle,stat_errorLeadToAGoal,stat_penaltyConceded
14566919,home,Qarabağ FK,Mateusz Kochalski,,,kochalski-mateusz,M. Kochalski,G,99,190.0,11043,M,851249,EUR,964483200,G,99,99,False,37.0,25.0,17.0,5.0,0.0,23.0,25.0,2.0,12.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,90.0,43.0,6.3,12.0,0.00085713,19.728,5.54579,0.0,0.3903,0,-0.2814,0.05,0.01,-0.28,0.18,3.59,1.79,0.15,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566919,home,Qarabağ FK,Matheus Silva,,,matheus-silva,M. Silva,D,2,182.0,4356,M,931496,EUR,875836800,D,2,2,False,29.0,22.0,4.0,,0.0,10.0,13.0,12.0,16.0,2.0,9.0,6.0,1.0,,,,90.0,57.0,6.9,13.0,0.0198293,31.032,10.73788,24.0,,0,,0.19,0.34,-0.15,,2.91,4.94,1.51,0.88,0.5,4.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14566919,home,Qarabağ FK,Bahlul Mustafazada,,,bahlul-mustafazada,B. Mustafazada,D,13,190.0,6865,M,865434,EUR,857001600,D,13,13,False,33.0,30.0,4.0,1.0,0.0,28.0,29.0,2.0,4.0,,,2.0,,,,,90.0,38.0,6.2,3.0,0.00031455,29.988,10.15933,13.0,,0,,0.05,-0.02,-0.14,,3.0,4.76,1.5,0.64,0.25,2.0,,,,,1.0,1.0,,,,,bahlul27,2.0,,,,,,,,,,,,,,,,,,,,,,
14566919,home,Qarabağ FK,Kevin Medina,,,kevin-medina,K. Medina,D,81,185.0,6485,M,939724,EUR,731635200,D,81,81,False,30.0,24.0,6.0,2.0,0.0,19.0,21.0,5.0,9.0,,7.0,2.0,5.0,,,,90.0,52.0,6.8,10.0,0.00329759,31.644,10.19581,16.0,,0,,0.08,0.12,-0.15,,2.93,4.74,1.52,0.66,0.35,1.0,,1.0,,,,4.0,7.0,2.0,1.0,,KMedina,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
14566919,home,Qarabağ FK,Elvin Jafarguliyev,,,elvin-cafarquliyev,E. Cafarquliyev,D,44,180.0,7692,M,1017996,EUR,972518400,D,44,44,False,25.0,22.0,1.0,,0.0,12.0,14.0,10.0,11.0,,2.0,2.0,,,,,75.0,42.0,6.1,8.0,0.0173969,32.76,8.56381,18.0,,1,,0.13,0.02,-0.4,,2.29,3.97,1.22,0.61,0.47,2.0,1.0,,3.0,2.0,,2.0,3.0,,,,elvinjafarguliyev,,3.0,1.0,2.0,1.0,0.1622,-0.32,,,,,,,,,,,,,,,,
14566919,home,Qarabağ FK,Pedro Bicalho,,,bicalho-pedro,P. Bicalho,M,35,178.0,3678,M,966133,EUR,987984000,M,35,35,False,36.0,26.0,4.0,2.0,0.0,17.0,23.0,9.0,13.0,,4.0,4.0,2.0,,,,90.0,51.0,6.7,11.0,0.00757803,27.792,11.6744,8.0,,0,,-0.07,-0.09,0.32,,2.64,5.8,2.18,0.87,0.19,5.0,1.0,,1.0,,1.0,3.0,3.0,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
14566919,home,Qarabağ FK,Marko Janković,,,marko-jankovic,M. Janković,M,8,172.0,8159,M,189009,EUR,805248000,M,8,8,False,33.0,25.0,9.0,4.0,0.0,16.0,19.0,9.0,14.0,,5.0,3.0,1.0,,,,90.0,58.0,7.1,15.0,0.00808401,28.584,11.68478,10.0,,1,,0.06,0.13,-0.05,,2.76,5.5,2.21,0.98,0.24,7.0,1.0,2.0,,,,2.0,7.0,4.0,3.0,3.0,marko10j,1.0,1.0,,3.0,,0.7884,0.32,1.0,1.0,0.8449,,,,,,,,,,,,,
14566919,home,Qarabağ FK,Kady Borges,,,kady-borges,K. Borges,M,20,173.0,14779,M,1194442,EUR,830995200,M,20,20,False,6.0,4.0,1.0,1.0,0.0,4.0,5.0,,1.0,,3.0,,3.0,,,,31.0,13.0,6.5,4.0,3.805e-05,26.784,3.35127,3.0,,1,,-0.04,0.02,-0.07,,0.82,1.54,0.66,0.28,0.05,2.0,,,2.0,,,,1.0,,,,,,,,,,0.0278,-0.15,,,,1.0,,,,,,,,,,,,
14566919,home,Qarabağ FK,Leandro Andrade,,,andrade-leandro,L. Andrade,M,15,176.0,7913,M,1048905,EUR,938131200,M,15,15,False,9.0,6.0,1.0,,0.0,3.0,3.0,3.0,6.0,,4.0,,2.0,,,,61.0,19.0,7.2,7.0,0.0132218,29.916,7.60456,10.0,,1,,0.0,0.17,-0.06,,1.73,3.79,1.31,0.55,0.23,1.0,,,1.0,1.0,,,6.0,1.0,1.0,1.0,,,2.0,,2.0,,0.0647,0.32,1.0,1.0,0.5981,,1.0,,,,,,,,,,,
14566919,home,Qarabağ FK,Abdellah Zoubir,,,abdellah-zoubir,A. Zoubir,M,10,180.0,11604,M,214080,EUR,691891200,M,10,10,False,29.0,25.0,1.0,1.0,0.0,8.0,9.0,17.0,20.0,,1.0,,,,,,75.0,39.0,6.7,8.0,0.0480571,30.096,9.49795,12.0,,0,,0.27,0.25,-0.12,,2.05,4.77,1.69,0.72,0.28,2.0,,2.0,,,,,2.0,1.0,1.0,,AZ10,,,,2.0,,,,,,,,,True,1.0,,,,,,,,,
