match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_totalClearance,player_firstName,player_lastName,stat_penaltyConceded,stat_accurateCross,stat_onTargetScoringAttempt,stat_wasFouled,stat_keyPass,stat_bigChanceCreated,stat_shotOffTarget,stat_hitWoodwork,stat_aerialLost,stat_bigChanceMissed,captain,player_sofascoreId,stat_goodHighClaim,stat_blockedScoringAttempt,stat_goals,stat_penaltyWon,stat_totalOffside
10411404,home,Spezia,Bartłomiej Drągowski,bartlomiej-dragowski,B. Drągowski,G,1,191,2915,M,329519,EUR,871948800,G,69,69,False,40.0,35.0,8.0,3.0,33.0,33.0,2.0,7.0,4.0,2.0,1.0,4.0,90.0,47.0,6.5,5.0,0.0,0.0,0.00057401,0,0.6012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411404,home,Spezia,Kelvin Amian,kelvin-amian,K. Amian,D,98,179,199,M,802143,EUR,886896000,D,27,27,False,37.0,30.0,3.0,,16.0,18.0,14.0,20.0,2.0,,,,90.0,63.0,5.5,15.0,0.0,0.0,0.00985665,0,,1.0,9.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
10411404,home,Spezia,Przemysław Wiśniewski,przemyslaw-wisniewski,P. Wiśniewski,D,25,195,1284,M,931266,EUR,901497600,D,55,55,False,94.0,86.0,11.0,6.0,68.0,70.0,18.0,24.0,6.0,,,,90.0,103.0,6.4,8.0,0.0,0.0,0.00945742,0,,,3.0,3.0,2.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
10411404,home,Spezia,Ethan Ampadu,ethan-ampadu,E. Ampadu,D,4,182,2540,M,847097,EUR,968889600,D,4,4,False,123.0,115.0,11.0,6.0,95.0,97.0,20.0,26.0,10.0,,,,84.0,134.0,6.3,10.0,0.0,0.0,0.00873862,0,,,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,3.0,,,1.0,,,,,,,,,,,,,,,,
10411404,home,Spezia,Dimitrios Nikolaou,dimitris-nikolaou,D. Nikolaou,D,43,188,244,M,788185,EUR,902966400,D,43,43,False,47.0,40.0,3.0,1.0,27.0,27.0,13.0,23.0,3.0,,,,62.0,61.0,6.3,11.0,0.0,0.0,0.00851853,0,,3.0,2.0,3.0,1.0,,,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10411404,home,Spezia,Albin Ekdal,albin-ekdal,A. Ekdal,M,8,186,177,M,21992,EUR,617587200,M,8,8,False,49.0,37.0,5.0,,10.0,11.0,28.0,39.0,4.0,,,,90.0,61.0,6.6,15.0,0.129,0.0288,0.118997,1,,1.0,4.0,3.0,1.0,1.0,,,,,2.0,,2.0,2.0,,2.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,
10411404,home,Spezia,Salvatore Esposito,salvatore-esposito,S. Esposito,M,5,178,1888,M,931267,EUR,970876800,M,25,25,False,74.0,66.0,9.0,4.0,37.0,38.0,29.0,38.0,6.0,,,,90.0,85.0,6.8,10.0,0.0,0.0,0.0191845,0,,2.0,1.0,4.0,,,1.0,1.0,,2.0,1.0,1.0,,1.0,,2.0,,,,,,2.0,,,,,,,,,,,,,
10411404,home,Spezia,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,404,M,98003,EUR,681523200,M,6,6,False,32.0,27.0,,,11.0,14.0,17.0,21.0,4.0,,,,61.0,44.0,7.5,9.0,0.1217,0.0,0.106074,1,,3.0,1.0,4.0,,,3.0,2.0,,2.0,2.0,1.0,1.0,,,,,,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,
10411404,home,Spezia,Daniele Verde,daniele-verde,D. Verde,F,7,168,327,M,605580,EUR,835228800,F,10,10,False,37.0,34.0,1.0,,10.0,10.0,27.0,32.0,5.0,,,,76.0,50.0,6.9,6.0,0.049,0.051,0.0531258,1,,5.0,2.0,2.0,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,3.0,1.0,,,,,,,,,,,,,,
10411404,home,Spezia,M'Bala Nzola,mbala-nzola,M. Nzola,F,8,185,2430,M,788061,EUR,840326400,F,18,18,False,16.0,14.0,,,2.0,2.0,12.0,14.0,,,,,90.0,24.0,6.2,5.0,0.3415,0.0,0.0886089,2,,,6.0,2.0,,,2.0,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,,2.0,,2.0,1.0,,,,,,,
