match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_aerialLost,stat_bigChanceCreated,stat_shotOffTarget,stat_fouls,stat_keyPass,stat_outfielderBlock,player_firstName,player_lastName,stat_errorLeadToAShot,captain,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,player_sofascoreId,stat_wonContest,stat_goals,stat_goalAssist
11396327,home,Darmstadt 98,Marcel Schuhen,marcel-schuhen,M. Schuhen,G,1,188,101,M,132654,EUR,726883200,G,1,1,False,34.0,19.0,23.0,8.0,16.0,18.0,3.0,16.0,1.0,2.0,14.0,1.0,2.0,4.0,5.0,2.0,2.0,90.0,55.0,7.5,18.0,0.00138675,0,1.1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396327,home,Darmstadt 98,Matthias Bader,matthias-bader,M. Bader,M,26,176,59,M,800444,EUR,866505600,D,26,26,False,17.0,12.0,2.0,1.0,7.0,9.0,5.0,9.0,,4.0,5.0,1.0,,,,,,45.0,40.0,6.4,13.0,0.00589606,2,,1.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,0.0351,,,,,,,,,,,,,,,,,,,
11396327,home,Darmstadt 98,Clemens Riedel,clemens-riedel,C. Riedel,D,38,186,359,M,1129360,EUR,1058572800,D,38,38,False,52.0,42.0,9.0,4.0,30.0,35.0,12.0,18.0,,5.0,9.0,,,,,,,90.0,73.0,6.8,12.0,0.0231638,3,,1.0,6.0,2.0,,,2.0,4.0,2.0,5.0,3.0,,0.1884,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
11396327,home,Darmstadt 98,Christoph Klarer,christoph-klarer,C. Klarer,D,4,191,230,M,865554,EUR,960940800,D,14,14,False,32.0,29.0,5.0,3.0,24.0,25.0,5.0,7.0,,,3.0,,,,,,,90.0,42.0,6.3,3.0,0.00418923,0,,,2.0,1.0,,,,5.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
11396327,home,Darmstadt 98,Matej Maglica,matej-maglica,M. Maglica,D,5,196,199,M,1082797,EUR,906681600,D,5,5,False,67.0,57.0,8.0,3.0,39.0,40.0,18.0,27.0,1.0,2.0,5.0,,,,,,,90.0,74.0,6.1,11.0,0.0146948,1,,,1.0,1.0,,,,2.0,,1.0,1.0,1.0,0.0247,,,1.0,,,,,,1.0,,,,,,,,,,
11396327,home,Darmstadt 98,Emir Karić,emir-karic,E. Karić,D,17,186,635,M,796032,EUR,865814400,D,19,19,False,59.0,46.0,7.0,2.0,23.0,27.0,23.0,33.0,1.0,6.0,8.0,1.0,,,,,,90.0,79.0,6.5,15.0,0.0854907,0,,1.0,4.0,3.0,,,,,,4.0,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
11396327,home,Darmstadt 98,Bartol Franjić,bartol-franjic,B. Franjić,D,4,188,631,M,880742,EUR,947808000,M,28,28,False,33.0,27.0,1.0,1.0,12.0,15.0,15.0,18.0,1.0,3.0,7.0,,,,,,,90.0,47.0,7.0,8.0,0.0235756,0,,,2.0,,,,,1.0,6.0,2.0,2.0,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,
11396327,home,Darmstadt 98,Fabian Holland,fabian-holland,F. Holland,M,32,172,44,M,39718,EUR,647654400,M,32,32,False,50.0,38.0,7.0,2.0,22.0,24.0,18.0,29.0,1.0,10.0,3.0,3.0,,,,,,90.0,69.0,7.3,15.0,0.139828,0,,3.0,4.0,,1.0,,,1.0,2.0,6.0,3.0,1.0,,1.0,,,2.0,2.0,,,,,True,2.0,,,,,,,,
11396327,home,Darmstadt 98,Tim Skarke,tim-skarke,T. Skarke,M,21,179,194,M,800252,EUR,842054400,M,27,27,False,36.0,25.0,2.0,,10.0,15.0,17.0,26.0,1.0,4.0,4.0,2.0,,,,,,87.0,56.0,6.5,18.0,0.173359,2,,5.0,5.0,,1.0,1.0,1.0,,,1.0,,,0.1524,1.0,,1.0,2.0,1.0,,,,,,2.0,,,,,,,,
11396327,home,Darmstadt 98,Tobias Kempe,tobias-kempe,T. Kempe,M,,184,86,M,37630,EUR,614908800,F,11,11,False,32.0,28.0,3.0,2.0,9.0,11.0,19.0,24.0,,,2.0,,,,,,,87.0,47.0,6.4,12.0,0.0201563,0,,3.0,6.0,1.0,,3.0,,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,
