match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_wonTackle,stat_expectedGoalsOnTarget,stat_totalCross,stat_penaltyConceded,stat_accurateCross,stat_totalOffside,stat_goals,player_sofascoreId,captain,stat_bigChanceMissed,stat_punches,stat_errorLeadToAShot
14065123,home,VfB Stuttgart,Alexander Nübel,,,alexander-nubel,A. Nübel,G,33,193,2048,M,584722,EUR,844041600,G,33,33,False,32.0,24.0,20.0,12.0,1.0,16.0,18.0,8.0,14.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,90.0,44.0,7.9,8.0,0.0116417,0.4001,1.0,0,-0.0036,0.15,-0.07,0.2,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065123,home,VfB Stuttgart,Finn Jeltsch,Finn Jeltsch,,jeltsch-finn,F. Jeltsch,D,29,188,1205,M,1418649,EUR,1153094400,D,29,29,False,55.0,51.0,1.0,,0.0,24.0,26.0,27.0,29.0,5.0,,4.0,2.0,1.0,,,,,,,90.0,70.0,6.8,7.0,0.0299032,,1.0,1,,0.05,0.19,0.15,,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0111,-0.06,,,,,,,,,,,,,,,
14065123,home,VfB Stuttgart,Dan-Axel Zagadou,,,dan-axel-zagadou,D. Zagadou,D,23,196,1086,M,826205,EUR,928368000,D,23,23,False,74.0,65.0,8.0,2.0,0.0,32.0,34.0,33.0,40.0,7.0,,6.0,5.0,,,,,,,,75.0,88.0,6.8,9.0,0.022064,,,3,,0.25,0.2,-0.12,,1.0,5.0,5.0,2.0,,,,,,2.0,,2.0,0.219,-0.55,2.0,1.0,1.0,1.0,0.0324,,,,,,,,,,
14065123,home,VfB Stuttgart,Ameen Al-Dakhil,Ameen,Al-Dakhil,al-dhakil,A. Al-Dakhil,D,2,185,567,M,1979970,EUR,1015372800,D,2,2,False,71.0,63.0,4.0,2.0,0.0,27.0,30.0,36.0,41.0,2.0,,1.0,2.0,1.0,,,,,,,90.0,83.0,6.4,8.0,0.0212463,,1.0,1,,0.05,0.16,-0.24,,1.0,1.0,3.0,2.0,,1.0,1.0,,,,,,0.0647,-0.41,1.0,,2.0,,,,,,,,,,,,
14065123,home,VfB Stuttgart,Pascal Stenzel,,,pascal-stenzel,P. Stenzel,D,15,184,266,M,352562,EUR,827280000,M,15,15,False,31.0,24.0,4.0,3.0,0.0,9.0,11.0,15.0,20.0,,,1.0,3.0,,,,,,,,62.0,52.0,6.3,16.0,0.0139635,,,2,,-0.1,0.05,-0.08,,1.0,,2.0,,,,,,,,,1.0,0.2875,0.04,1.0,1.0,2.0,,0.1761,5.0,,,,,,,,,
14065123,home,VfB Stuttgart,Chema Andrés,Chema Andrés,,chema-andres,C. Andrés,M,30,193,8497,M,1464641,EUR,1114387200,M,30,30,False,50.0,37.0,7.0,3.0,0.0,9.0,16.0,28.0,34.0,6.0,,4.0,5.0,,,,,,,,90.0,62.0,7.0,17.0,0.0262655,,,0,,-0.07,0.13,0.18,,,4.0,,,,,,,1.0,2.0,2.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,
14065123,home,VfB Stuttgart,Nikolas Nartey,,,nartey-nikolas,N. Nartey,M,28,185,699,M,861981,EUR,951177600,M,28,28,False,33.0,28.0,2.0,1.0,0.0,10.0,11.0,18.0,22.0,3.0,,1.0,3.0,,,,,,,,62.0,48.0,6.9,10.0,0.179926,,2.0,1,,0.35,0.0,-0.06,,,2.0,2.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,0.063,0.01,,,1.0,,,4.0,,2.0,,,,,,,
14065123,home,VfB Stuttgart,Josha Vagnoman,,,josha-vagnoman,J. Vagnoman,D,4,186,549,M,906278,EUR,976492800,M,4,4,False,30.0,24.0,3.0,1.0,1.0,7.0,8.0,17.0,22.0,7.0,,3.0,1.0,1.0,,,,,,,90.0,54.0,7.0,10.0,0.018209,,2.0,1,,0.08,0.15,0.19,,,1.0,6.0,,2.0,2.0,1.0,,1.0,4.0,,3.0,0.0228,-0.18,1.0,,,2.0,,1.0,,,,,,,,,
14065123,home,VfB Stuttgart,Jamie Leweling,,,leweling-jamie,J. Leweling,M,18,184,1954,M,990201,EUR,983145600,F,18,18,False,12.0,9.0,,,0.0,3.0,3.0,6.0,9.0,6.0,,,2.0,4.0,,,,,,,72.0,22.0,7.2,5.0,0.091226,,1.0,3,,0.09,0.16,-0.01,,,2.0,1.0,,,1.0,,2.0,,,1.0,,0.2852,0.04,,1.0,,,0.6095,1.0,,1.0,2.0,,,,,,
14065123,home,VfB Stuttgart,Chris Führich,,,chris-fuhrich,C. Führich,M,10,178,1574,M,891510,EUR,884304000,F,10,10,False,22.0,14.0,2.0,1.0,0.0,2.0,2.0,12.0,20.0,2.0,,1.0,2.0,,,,,,,,72.0,33.0,7.7,12.0,0.0582578,,,2,,-0.2,0.35,0.14,,1.0,,3.0,,,1.0,,1.0,,2.0,2.0,1.0,0.0655,0.54,,1.0,,,0.2926,2.0,,1.0,,1.0,,,,,
