match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_clearanceOffLine,stat_dispossessed,stat_totalOffside,stat_keyPass,stat_hitWoodwork,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11050601,home,Ümraniyespor,Orkun Özdemir,,,orkun-ozdemir,O. Özdemir,G,190,20,M,953335,EUR,798595200,G,13,13,False,34.0,18.0,26.0,10.0,11.0,16.0,7.0,18.0,1.0,1.0,1.0,11.0,4.0,8.0,1.0,90.0,51.0,8.3,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050601,home,Ümraniyespor,Valentin Gheorghe,,,gheorghe-valentin,V. Gheorghe,M,175,86,M,845365,EUR,855878400,D,7,7,False,29.0,20.0,3.0,1.0,13.0,16.0,8.0,18.0,,5.0,1.0,12.0,,,,90.0,57.0,6.6,18.0,2,11,5.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
11050601,home,Ümraniyespor,Mustafa Eser,,,eser-mustafa,M. Eser,D,185,9,M,1033248,EUR,999043200,D,4,4,False,26.0,25.0,2.0,2.0,23.0,24.0,2.0,2.0,,2.0,4.0,2.0,,,,83.0,34.0,6.7,2.0,0,4,,,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,
11050601,home,Ümraniyespor,Tomislav Glumac,,,tomislav-glumac,T. Glumac,D,194,39,M,93736,EUR,674179200,D,44,44,False,45.0,39.0,6.0,3.0,34.0,38.0,5.0,7.0,1.0,3.0,7.0,11.0,,,,90.0,61.0,7.0,6.0,1,44,,,7.0,2.0,,,,1.0,2.0,1.0,,,1.0,3.0,True,3.0,2.0,,,,,,,,,,,,,
11050601,home,Ümraniyespor,Alexandru Epureanu,,,alexandru-epureanu,A. Epureanu,D,187,54,,18577,EUR,528163200,D,24,24,False,38.0,33.0,5.0,2.0,26.0,28.0,7.0,10.0,3.0,6.0,5.0,2.0,,,,90.0,52.0,7.0,6.0,1,6,,,4.0,1.0,,,,,1.0,2.0,1.0,,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,
11050601,home,Ümraniyespor,Onur Atasayar,,,atasayar-onur,O. Atasayar,D,184,9,M,785819,EUR,788918400,D,16,16,False,26.0,19.0,3.0,2.0,8.0,9.0,11.0,19.0,1.0,3.0,4.0,4.0,,,,90.0,42.0,7.1,10.0,1,16,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,
11050601,home,Ümraniyespor,Geraldo,,,geraldo,Geraldo,M,170,192,M,244089,EUR,690854400,M,29,29,False,27.0,19.0,2.0,2.0,7.0,8.0,13.0,22.0,,3.0,,4.0,,,,77.0,45.0,6.4,18.0,1,29,3.0,1.0,10.0,3.0,5.0,2.0,,1.0,,1.0,1.0,3.0,,1.0,,1.0,,,,,2.0,1.0,6.0,,,,,,,
11050601,home,Ümraniyespor,Oğuz Gürbulak,,,oguz-gurbulak,O. Gürbulak,M,178,15,M,139439,EUR,713404800,M,20,20,False,35.0,28.0,9.0,8.0,15.0,17.0,14.0,19.0,1.0,6.0,1.0,6.0,,,,84.0,49.0,7.0,10.0,1,20,1.0,1.0,11.0,4.0,1.0,1.0,,,1.0,3.0,3.0,1.0,1.0,4.0,,1.0,,1.0,,,2.0,,2.0,,,,,,,
11050601,home,Ümraniyespor,Isaac Sackey,,,isaac-sackey,I. Sackey,M,190,64,M,292965,EUR,765417600,M,5,5,False,31.0,24.0,5.0,3.0,12.0,12.0,12.0,19.0,,4.0,,8.0,,,,87.0,44.0,6.7,11.0,1,,,,7.0,3.0,2.0,2.0,,,1.0,2.0,2.0,1.0,,1.0,,,,1.0,,,3.0,,1.0,1.0,,,,,,
11050601,home,Ümraniyespor,Jesse Sekidika,,,jesse-sekidika,J. Sekidika,M,174,285,M,840663,EUR,837302400,M,77,77,False,16.0,14.0,3.0,2.0,5.0,6.0,9.0,15.0,,3.0,,2.0,,,,84.0,30.0,6.8,8.0,3,70,5.0,,4.0,1.0,2.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,
11050601,home,Ümraniyespor,Umut Nayir,,,mehmet-umut-nayir,U. Nayir,F,191,738,M,284767,EUR,741225600,F,18,18,False,24.0,17.0,3.0,2.0,8.0,11.0,9.0,14.0,4.0,7.0,,2.0,,,,90.0,43.0,7.3,15.0,2,18,1.0,,5.0,,1.0,,,1.0,,1.0,1.0,6.0,3.0,1.0,,3.0,2.0,1.0,,,,2.0,2.0,,1.0,,,,,
11050601,home,Ümraniyespor,Adel Bettaieb,,,adel-bettaieb,A. Bettaieb,F,184,290,M,987832,EUR,854409600,F,27,27,True,4.0,3.0,1.0,,3.0,3.0,,1.0,,1.0,1.0,2.0,,,,13.0,7.0,6.5,1.0,0,21,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
11050601,home,Ümraniyespor,Onur Ayık,,,onur-ayik,O. Ayık,F,183,5,M,67140,EUR,633484800,M,11,11,True,6.0,5.0,,,1.0,2.0,4.0,4.0,,2.0,,1.0,,,,16.0,10.0,6.8,2.0,1,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
