match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_possessionLostCtrl,stat_expectedGoals,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keyPass,stat_shotValueNormalized,stat_dribbleValueNormalized,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_wasFouled,stat_fouls,captain,stat_dispossessed,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_goals,stat_blockedScoringAttempt,stat_punches,stat_errorLeadToAShot,stat_totalOffside
14131981,home,Sporting CP,Rui Silva,Rui,Silva,rui-silva,R. Silva,G,1,191,3299,M,253809,EUR,760579200,G,1,1,False,6.0,6.0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,10.0,1.0,3.0,3.0,90.0,16.0,8.2,0.00119353,0.7904,0,1.2616,0.05,0.37,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131981,home,Sporting CP,Giorgos Vagiannidis,,,vagiannidis-giorgos,G. Vagiannidis,D,13,181,2782,M,1166952,EUR,1000252800,D,13,13,False,54.0,47.0,3.0,,2.0,21.0,24.0,26.0,30.0,6.0,,,,90.0,81.0,8.9,0.659026,,1,,0.76,0.18,,4.0,3.0,9.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,11.0,0.0833,222.45675574133,23.0,122.955,20.79,2.0,-0.03,0.15,,,,,,,,,,,,,,,,,,
14131981,home,Sporting CP,Ousmane Diomande,Ousmane,Diomande,diomande-ousmane,O. Diomande,D,26,190,4976,M,1394342,EUR,1070496000,D,26,26,False,59.0,56.0,4.0,4.0,0.0,23.0,23.0,33.0,36.0,5.0,,,,90.0,66.0,7.6,0.0255917,,1,,0.35,0.33,,,4.0,5.0,,,,1.0,1.0,1.0,,,3.0,0.2317,323.91212305104,35.0,182.91,24.78,,-0.54,0.36,ousdiomande,3.0,5.0,1.0,2.0,1.0,2.0,,,,,,,,,,,
14131981,home,Sporting CP,Gonçalo Inácio,Gonçalo,Inácio,goncalo-inacio,G. Inácio,D,25,186,6686,M,1001196,EUR,998697600,D,25,25,False,46.0,38.0,4.0,2.0,0.0,16.0,21.0,22.0,25.0,2.0,,,,45.0,51.0,7.1,0.210981,,0,,0.31,0.16,,,3.0,3.0,,,,,2.0,,,,8.0,,184.96027369788,19.0,153.615,25.725,,,0.19,goncaloinacio_25,3.0,3.0,,,,,True,,,,,,,,,,
14131981,home,Sporting CP,Ricardo Mangas,Ricardo,Mangas,mangas-ricardo,R. Mangas,D,91,179,1156,M,878496,EUR,890179200,D,91,91,False,23.0,19.0,,,0.0,6.0,6.0,13.0,17.0,3.0,,,,55.0,40.0,6.2,0.0451384,,1,,-0.55,-0.03,,3.0,1.0,5.0,3.0,2.0,,1.0,,,2.0,2.0,11.0,0.0998,84.148807193641,12.0,12.6,16.485,,-0.48,0.04,,1.0,6.0,1.0,,,2.0,,1.0,2.0,,,,,,,,
14131981,home,Sporting CP,Giorgi Kochorashvili,,,giorgi-kochorashvili,G. Kochorashvili,M,14,176,3699,M,886402,EUR,930528000,M,14,14,False,88.0,79.0,7.0,5.0,1.0,25.0,26.0,54.0,62.0,1.0,,,,90.0,97.0,7.4,0.0738863,,2,,0.17,0.18,,2.0,1.0,2.0,,,,1.0,2.0,,,,11.0,0.0707,255.41779225714,39.0,117.705,22.155,2.0,0.04,0.3,,1.0,2.0,,,1.0,1.0,,,,1.0,0.1521,,,,,,
14131981,home,Sporting CP,Hidemasa Morita,Hidemasa,Morita,hidemasa-morita,H. Morita,M,5,177,3106,M,926560,EUR,800064000,M,5,5,False,50.0,42.0,2.0,,0.0,17.0,19.0,25.0,31.0,3.0,,,,73.0,63.0,6.5,0.0549747,,0,,0.26,-0.03,,1.0,,3.0,,,,,,2.0,2.0,,9.0,,110.08436411579,13.0,51.24,24.99,1.0,,0.04,,4.0,7.0,1.0,,1.0,2.0,,,1.0,,,1.0,,,,,
14131981,home,Sporting CP,Geny Catamo,,,geny-catamo,G. Catamo,M,10,172,10919,M,1001140,EUR,980467200,M,10,10,False,43.0,34.0,2.0,1.0,0.0,11.0,11.0,23.0,32.0,9.0,,,,90.0,68.0,9.3,0.0501071,,4,,-0.46,0.13,,4.0,2.0,10.0,9.0,3.0,,,,1.0,2.0,2.0,19.0,0.2936,258.07259810985,27.0,138.075,31.815,,0.91,0.49,,1.0,9.0,1.0,,3.0,,,1.0,,4.0,0.9484,1.0,2.0,,,,
14131981,home,Sporting CP,Francisco Trincão,Francisco,Trincão,francisco-trincao,F. Trincão,F,17,184,11949,M,830431,EUR,946425600,M,17,17,False,44.0,38.0,3.0,1.0,1.0,6.0,6.0,32.0,38.0,2.0,,,,90.0,66.0,7.6,0.564095,,2,,0.64,0.14,,10.0,,3.0,4.0,2.0,,1.0,1.0,1.0,,,17.0,0.1615,208.01073622487,28.0,84.21,20.265,5.0,-0.31,0.29,trincao,,5.0,,,1.0,1.0,,2.0,,1.0,0.0547,3.0,,,,,
14131981,home,Sporting CP,Maximiliano Araújo,Maximiliano,Araújo,maximiliano-araujo,M. Araújo,M,20,179,3576,M,929193,EUR,950572800,M,20,20,False,18.0,15.0,,,0.0,5.0,6.0,10.0,12.0,1.0,,,,55.0,26.0,8.2,0.0299924,,2,,-0.04,-0.04,,,,2.0,2.0,1.0,,,1.0,,1.0,1.0,6.0,0.7215,63.265482832739,8.0,18.375,10.08,,0.74,0.11,,1.0,6.0,2.0,,,2.0,,,2.0,2.0,1.7091,,2.0,,,,
