match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_challengeLost,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,player_firstName,player_lastName,player_sofascoreId,stat_hitWoodwork,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_dispossessed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11409100,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,27.0,14.0,19.0,6.0,10.0,14.0,4.0,13.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,90.0,31.0,6.9,13.0,0.00115094,0,0.9232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409100,home,SC Farense,Pastor,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,D,28,28,False,46.0,35.0,8.0,3.0,22.0,26.0,13.0,21.0,,4.0,1.0,9.0,,,,90.0,81.0,7.3,15.0,0.147895,1,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0223,2.0,,,,,,,,,,,,,,,,,,,
11409100,home,SC Farense,Gonçalo Silva,goncalo-silva,G. Silva,D,37,184,75,M,169729,EUR,675993600,D,37,37,False,74.0,57.0,19.0,9.0,46.0,50.0,11.0,24.0,2.0,3.0,9.0,5.0,,,,90.0,92.0,7.6,17.0,0.011916,0,,,3.0,3.0,,,3.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
11409100,home,SC Farense,Zach Muscat,zach-muscat,Z. Muscat,D,22,184,90,M,97622,EUR,745977600,D,6,6,False,68.0,60.0,13.0,6.0,47.0,47.0,13.0,21.0,,1.0,4.0,4.0,,,,90.0,77.0,7.0,9.0,0.0118974,1,,,1.0,2.0,,1.0,,,,1.0,1.0,,0.0682,,,1.0,,,,,,,,,,,,,,,,,
11409100,home,SC Farense,Talocha,talocha,Talocha,D,31,180,43,M,778216,EUR,620438400,D,31,31,False,50.0,34.0,10.0,5.0,21.0,24.0,15.0,32.0,3.0,5.0,6.0,4.0,,,,90.0,86.0,8.0,21.0,0.243826,1,,6.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,,0.0661,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
11409100,home,SC Farense,Claudio Falcão,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,M,29,29,False,42.0,29.0,5.0,2.0,16.0,22.0,13.0,20.0,4.0,6.0,2.0,6.0,,,,90.0,54.0,6.8,14.0,0.0107218,1,,,2.0,8.0,2.0,1.0,2.0,1.0,,,,2.0,0.0671,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,
11409100,home,SC Farense,Mohamed Belloumi,mohamed-belloumi,M. Belloumi,F,10,174,4940,M,1125839,EUR,1022889600,M,62,62,False,25.0,17.0,4.0,2.0,3.0,7.0,14.0,20.0,2.0,5.0,2.0,9.0,,,,75.0,44.0,7.2,14.0,0.102697,2,,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,,,0.0996,,,,,1.0,,1.0,,,b.m.belooumi.10,,,,,,,,,,
11409100,home,SC Farense,Vítor Gonçalves,vitor-goncalves,V. Gonçalves,M,8,174,14,M,170483,EUR,701827200,M,80,80,False,18.0,11.0,2.0,,5.0,5.0,6.0,13.0,,4.0,,3.0,,,,68.0,29.0,6.9,8.0,0.0100064,1,,,,2.0,1.0,1.0,,1.0,,,2.0,2.0,0.0227,,,,,1.0,,,,,,,,,,,,,,,
11409100,home,SC Farense,Mattheus,mattheus,Mattheus,M,,182,151,M,243575,EUR,773539200,M,27,27,False,27.0,24.0,4.0,2.0,10.0,10.0,15.0,25.0,1.0,2.0,,6.0,,,,75.0,42.0,6.6,14.0,0.0445872,1,,8.0,,2.0,1.0,,,1.0,1.0,2.0,,2.0,0.0124,2.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,
11409100,home,SC Farense,Marco Matias,marco-matias,M. Matias,F,77,177,35,M,77929,EUR,610761600,M,77,77,False,11.0,9.0,2.0,2.0,3.0,3.0,6.0,9.0,1.0,6.0,,3.0,,,,68.0,21.0,7.1,4.0,0.00706396,0,,1.0,,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,True,,,,,,,,
