match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_expectedGoals,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_penaltyWon,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_clearanceOffLine
11391345,away,Stade de Reims,Teddy Teuma,teddy-teuma,T. Teuma,M,80,176,885,M,829643,EUR,749347200,M,10,10,False,48.0,36.0,6.0,3.0,21.0,24.0,15.0,25.0,3.0,,,,,,63.0,61.0,6.8,15.0,0.111708,1,,,,,1.0,,2.0,8.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,3.0,,,,0.0485,1.0,2.0,1.0,,,1.0,,0.0547,,,,,,
11391345,away,Stade de Reims,Thibault De Smet,thibault-de-smet,T. D. Smet,D,28,182,215,M,844744,EUR,897004800,M,25,25,False,28.0,20.0,3.0,,9.0,13.0,11.0,15.0,,,,,,,90.0,52.0,6.8,14.0,0.0273663,0,,,,,,,1.0,4.0,3.0,,2.0,,,2.0,2.0,1.0,,1.0,1.0,,,,,2.0,,,,1.0,,,,,,,,,
11391345,away,Stade de Reims,Reda Khadra,reda-khadra,R. Khadra,M,30,175,253,M,995671,EUR,994204800,F,14,14,False,19.0,14.0,1.0,1.0,5.0,5.0,11.0,16.0,2.0,,,,,,70.0,30.0,7.3,7.0,0.161062,3,,,,,2.0,2.0,,3.0,3.0,1.0,,,,1.0,,,,,,3.0,,2.0,0.4755,1.0,3.0,2.0,1.0,,,,,1.0,,1.0,,,
11391345,away,Stade de Reims,Oumar Diakité,oumar-diakite,O. Diakité,F,10,181,8439,M,1188191,EUR,1071878400,F,22,22,False,11.0,10.0,,,6.0,6.0,4.0,5.0,5.0,,,,,,80.0,31.0,5.5,11.0,0.0797001,3,,,,,,,4.0,10.0,6.0,,,,,1.0,,5.0,,4.0,1.0,1.0,1.0,,1.2759,2.0,3.0,,2.0,,1.0,,0.7102,,cheick_diakite,3.0,2.0,,
11391345,away,Stade de Reims,Keito Nakamura,keito-nakamura,K. Nakamura,M,17,180,3846,M,905352,EUR,964742400,F,17,17,False,13.0,11.0,,,4.0,4.0,7.0,11.0,,,,,,,63.0,22.0,6.7,6.0,0.0128614,1,,,,,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,,,1.0,,,,0.1289,,,,1.0,,,,,,,,,,
11391345,away,Stade de Reims,Amir Richardson,amir-richardson,A. Richardson,M,25,195,11630,M,1121333,EUR,1011830400,M,8,8,True,5.0,5.0,,,2.0,2.0,3.0,3.0,2.0,,,,,,27.0,9.0,6.9,1.0,0.0195968,1,,Amir Richardson,,,,,,3.0,2.0,,1.0,,,1.0,,,,,2.0,2.0,1.0,,0.118,1.0,,,1.0,,,,,1.0,ami2r,,,,
11391345,away,Stade de Reims,Mohamed Daramy,mohamed-daramy,M. Daramy,F,9,180,1589,M,957279,EUR,1010361600,F,9,9,True,6.0,6.0,,,2.0,2.0,4.0,4.0,2.0,,,,,,27.0,12.0,8.0,,0.0097379,3,,,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,1.0525,,1.0,1.0,,,2.0,2.0,1.8472,,,1.0,,1.0,
11391345,away,Stade de Reims,Thérence Koudou,koudou-therence,T. Koudou,D,7,178,224,M,1392080,EUR,1102896000,D,45,45,True,3.0,3.0,,,2.0,2.0,1.0,1.0,1.0,,,,,,20.0,11.0,6.9,,0.00047242,0,,,,,,,,1.0,,,2.0,2.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0
11391345,away,Stade de Reims,Valentin Atangana Edoa,atangana-edoa-valentin,V. A. Edoa,M,6,173,1036,M,1154611,EUR,1124928000,M,6,6,True,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,10.0,7.0,6.5,2.0,0.00068557,1,,Valentin Atangana Edoa,,,,,,1.0,1.0,,2.0,,,,,,,1.0,,,,1.0,0.0516,,1.0,,,,,,,,,,,,
11391345,away,Stade de Reims,Alexandre Olliero,olliero-alexandre,A. Olliero,G,20,193,64,M,814358,EUR,824342400,G,96,96,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,away,Stade de Reims,Sergio Akieme,sergio-akieme,S. Akieme,D,18,175,293,M,827942,EUR,882230400,D,18,18,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,away,Stade de Reims,Killian Prouchet,killian-prouchet,K. Prouchet,D,36,185,48,M,1537182,EUR,1106438400,D,56,56,True,,,,,,,,,,,,,,,,,,,,0,,Killian,Prouchet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,away,Stade de Reims,Benjamin Stambouli,benjamin-stambouli,B. Stambouli,M,21,180,168,M,105951,EUR,650505600,M,26,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,away,Stade de Reims,Mamadou Diakhon,diakhon-mamadou,M. Diakhon,F,67,180,1701,M,1495876,EUR,1127347200,F,67,67,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
