match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,captain,stat_accurateCross,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_bigChanceCreated,player_firstName,player_lastName,stat_dispossessed,stat_challengeLost,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_outfielderBlock,stat_clearanceOffLine
12499607,home,FC Augsburg,Nediljko Labrović,nediljko-labrovic,N. Labrović,G,22,196,1320,M,947986,EUR,939513600,G,22,22,False,20.0,14.0,9.0,3.0,0.0,12.0,14.0,2.0,6.0,1.0,6.0,1.0,1.0,90.0,26.0,5.9,6.0,0.00033574,0,-1.2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499607,home,FC Augsburg,Maximilian Bauer,maximilian-bauer,M. Bauer,D,5,189,96,M,940393,EUR,950054400,D,23,23,False,24.0,20.0,3.0,2.0,0.0,5.0,7.0,15.0,18.0,,1.0,,,45.0,29.0,6.7,5.0,0.0110176,0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499607,home,FC Augsburg,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,J. Gouweleeuw,D,6,187,229,M,146853,EUR,679104000,D,6,6,False,73.0,62.0,9.0,4.0,1.0,21.0,26.0,44.0,54.0,3.0,2.0,,,90.0,88.0,7.2,18.0,0.691452,0,,7.0,1.0,4.0,2.0,5.0,1.0,1.0,,2.0,True,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499607,home,FC Augsburg,Keven Schlotterbeck,keven-schlotterbeck,K. Schlotterbeck,D,31,189,405,M,891651,EUR,862185600,D,31,31,False,87.0,78.0,9.0,5.0,0.0,31.0,34.0,47.0,53.0,1.0,4.0,,,90.0,95.0,7.6,10.0,0.0762384,2,,,,2.0,,3.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,0.0968,0.1327,,,,,,,,,,,,,,,,,
12499607,home,FC Augsburg,Marius Wolf,marius-wolf,M. Wolf,M,27,187,537,M,254119,EUR,801532800,M,11,11,False,48.0,38.0,5.0,,0.0,12.0,14.0,30.0,47.0,,1.0,,,80.0,78.0,7.1,22.0,0.440955,0,,13.0,,1.0,1.0,1.0,,,,5.0,,4.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
12499607,home,FC Augsburg,Frank Onyeka,frank-onyeka,F. Onyeka,M,16,183,4634,M,885864,EUR,883612800,M,19,19,False,65.0,54.0,9.0,5.0,0.0,11.0,14.0,43.0,51.0,,8.0,,,90.0,78.0,7.1,13.0,0.228298,1,,,1.0,1.0,4.0,6.0,2.0,2.0,3.0,1.0,,,,1.0,1.0,,,2.0,0.0347,,1.0,,,,1.0,,,,,,,,,,,,
12499607,home,FC Augsburg,Kristijan Jakić,kristijan-jakic,K. Jakić,M,17,181,2258,M,796206,EUR,863568000,M,17,17,False,35.0,31.0,3.0,3.0,0.0,9.0,9.0,22.0,26.0,,2.0,,,61.0,44.0,6.6,6.0,0.253276,0,,,,,2.0,3.0,2.0,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,
12499607,home,FC Augsburg,Dimitrios Giannoulis,dimitrios-giannoulis,D. Giannoulis,M,13,178,1037,M,354878,EUR,813888000,M,13,13,False,49.0,43.0,3.0,2.0,1.0,12.0,13.0,33.0,45.0,,4.0,,,90.0,83.0,7.9,16.0,0.683683,4,,9.0,1.0,,3.0,2.0,1.0,,,2.0,,2.0,1.0,,2.0,1.0,,2.0,0.1972,0.098,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,
12499607,home,FC Augsburg,Elvis Rexhbeçaj,elvis-rexhbecaj,E. Rexhbeçaj,M,8,178,483,M,842188,EUR,878342400,F,8,8,False,31.0,26.0,2.0,1.0,0.0,4.0,4.0,23.0,34.0,1.0,2.0,,,80.0,53.0,7.5,12.0,0.155528,4,,7.0,1.0,1.0,2.0,5.0,1.0,,3.0,2.0,,1.0,,,1.0,1.0,,1.0,0.1661,0.3913,2.0,,,,,,1.0,2.0,,,,,,,,,
12499607,home,FC Augsburg,Ruben Vargas,ruben-vargas,R. Vargas,M,11,179,2677,M,872919,EUR,902275200,F,16,16,False,32.0,29.0,1.0,1.0,0.0,1.0,1.0,28.0,32.0,,,,,72.0,45.0,7.1,6.0,0.0993904,5,,1.0,3.0,1.0,6.0,3.0,,,1.0,1.0,,,1.0,1.0,4.0,1.0,,,0.4408,0.3229,2.0,,,,,1.0,1.0,,1.0,,,,,,,,
