match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_keyPass,stat_shotValueNormalized,stat_hitWoodwork,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,captain,stat_totalOffside,player_firstName,player_lastName,stat_clearanceOffLine,stat_outfielderBlock,stat_ownGoals,stat_errorLeadToAShot
13981671,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12727,M,yannsommer,16206,EUR,598320000,G,1,1,False,27.0,25.0,6.0,4.0,0.0,23.0,24.0,2.0,3.0,2.0,10.0,1.0,4.0,6.0,1.0,90.0,41.0,7.6,3.0,0.00027239,23.938222984727,6.0,15.761201481152,0.0,0.548,0,0.4791,0.03,0.01,-0.13,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981671,home,Inter,Yann Bisseck,yann-bisseck,Y. Bisseck,D,31,194,5511,M,,906275,EUR,975456000,D,31,31,False,53.0,48.0,2.0,1.0,1.0,22.0,23.0,26.0,30.0,3.0,4.0,,,,,90.0,70.0,6.9,8.0,0.154935,99.465221035274,13.0,36.907690085323,2.0,,1,,0.31,0.22,-0.28,,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.1622,0.3069,15.805356579903,44.115416513783,2.0,0.13,,,,,,,,,,,,,,,,,,,
13981671,home,Inter,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22626,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,86.0,79.0,9.0,4.0,0.0,35.0,37.0,44.0,49.0,3.0,6.0,,,,,90.0,90.0,6.3,7.0,0.0727579,328.88531701992,33.0,259.29719351109,4.0,,0,,0.3,0.27,-0.34,,,6.0,1.0,7.0,1.0,1.0,,,,,,,,,32.723624197412,94.815095609632,1.0,,,,,,,,,,,,,,,,,,,,
13981671,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15410,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,44.0,42.0,1.0,,0.0,28.0,30.0,14.0,14.0,1.0,3.0,,,,,45.0,52.0,6.4,4.0,0.010486,74.315751189582,11.0,49.134840094967,0.0,,1,,0.05,0.05,-0.19,,,,1.0,1.0,2.0,,,1.0,1.0,,,1.0,0.1936,,,,,0.03,1.0,1.0,,,,,,,,,,,,,,,,,
13981671,home,Inter,Luís Henrique,luis-henrique,L. Henrique,M,11,181,6186,M,,977679,EUR,1008288000,M,11,11,False,29.0,24.0,3.0,2.0,0.0,3.0,5.0,21.0,24.0,1.0,3.0,,,,,66.0,44.0,6.8,12.0,0.0770385,107.60028444204,13.0,6.2116040889891,1.0,,0,,0.25,-0.26,-0.02,,4.0,,,2.0,2.0,,,,2.0,2.0,1.0,,,,9.0584449820505,11.661646538976,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,
13981671,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21334,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,35.0,30.0,2.0,1.0,0.0,11.0,11.0,19.0,24.0,,2.0,,,,,54.0,37.0,6.2,5.0,0.0743104,52.924637201032,9.0,4.7322831788217,0.0,,1,,-0.26,-0.11,-0.08,,,,1.0,3.0,2.0,1.0,,,,,,2.0,0.0188,,,,,-0.02,,1.0,,,,1.0,,,,,,,,,,,,,
13981671,home,Inter,Piotr Zieliński,piotr-zielinski,P. Zieliński,M,7,180,18823,M,zielu_94,138605,EUR,769392000,M,7,7,False,77.0,75.0,2.0,2.0,0.0,17.0,18.0,58.0,59.0,2.0,2.0,,,,,90.0,90.0,8.3,5.0,0.268474,361.32257121209,33.0,229.52731485234,5.0,,3,,0.46,0.37,-0.04,,2.0,1.0,,3.0,2.0,,1.0,2.0,,,,1.0,0.4619,0.0985,33.404298315295,118.76813028539,2.0,0.53,,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,
13981671,home,Inter,Petar Sučić,petar-sucic,P. Sučić,M,8,184,8046,M,,1091303,EUR,1067040000,M,8,8,False,37.0,33.0,1.0,,0.0,9.0,10.0,24.0,27.0,,2.0,,,,,66.0,47.0,7.3,5.0,0.126826,133.91779632216,17.0,54.185212781097,1.0,,0,,0.29,0.33,-0.03,,,,,2.0,6.0,1.0,,,,3.0,3.0,,,,20.393593758261,23.003142589655,2.0,,,1.0,,1.0,,,2.0,2.0,,,,,,,,,,,
13981671,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15782,M,dimarco32,284361,EUR,879120000,M,32,32,False,68.0,57.0,6.0,3.0,1.0,10.0,16.0,47.0,52.0,,7.0,,,,,90.0,94.0,7.1,20.0,0.442386,118.20317302747,15.0,57.56514319758,1.0,,3,,0.56,0.01,-0.15,,14.0,,,2.0,1.0,,,,2.0,1.0,,2.0,0.1797,,17.821368621086,20.687794106671,4.0,-0.53,,,5.0,,,1.0,,,2.0,2.0,,,,,,,,,
13981671,home,Inter,Lautaro Martínez,lautaro-martinez,L. Martínez,F,10,175,121978,M,LautaroM,823984,EUR,872208000,F,10,10,False,20.0,17.0,,,0.0,7.0,7.0,10.0,13.0,1.0,3.0,,,,,90.0,31.0,6.5,7.0,0.0516793,91.404264982648,5.0,42.569888436875,2.0,,1,,0.03,0.11,0.0,,,,,6.0,4.0,1.0,,,,3.0,1.0,3.0,0.0771,,29.668076451899,59.973914211594,1.0,-0.51,,1.0,,3.0,,,,,,1.0,,True,,,,,,,
