match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_interceptionWon,stat_outfielderBlock,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,stat_keyPass,stat_totalOffside,stat_shotOffTarget,stat_hitWoodwork,stat_bigChanceMissed,stat_bigChanceCreated
13472612,home,Mirassol,Walter,walter,Walter,G,22,188,774,M,329055,EUR,564192000,G,22,22,False,44.0,40.0,6.0,2.0,0.0,40.0,40.0,4.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,49.0,7.2,4.0,9.479e-05,61.443544462055,11.0,26.46,9.135,0,0.2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472612,home,Mirassol,Lucas Ramon,lucas-ramon,L. Ramon,D,19,178,617,M,797225,EUR,762998400,D,19,19,False,23.0,22.0,,,0.0,18.0,18.0,5.0,7.0,2.0,,,,,,,90.0,45.0,7.0,8.0,0.00238182,40.720237177761,6.0,18.48,14.805,0,,4.0,3.0,2.0,1.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
13472612,home,Mirassol,João Victor,joao-victor,J. Victor,D,34,188,233,M,863297,EUR,873158400,D,34,34,False,72.0,68.0,2.0,,0.0,60.0,62.0,10.0,8.0,4.0,,,,,,,90.0,88.0,7.3,5.0,0.00341506,274.96138742315,27.0,185.01,19.95,0,,8.0,,2.0,,4.0,2.0,,1.0,,,1.0,1.0,,1.0,1.0,,,3.0,,,,,,,,,,,,,,
13472612,home,Mirassol,Jemmes,ribeiro-da-silva-jemmes-bruno,Jemmes,D,3,187,583,M,1527129,EUR,955238400,D,3,3,False,68.0,65.0,3.0,2.0,0.0,51.0,53.0,15.0,4.0,3.0,,,,,,,90.0,83.0,7.3,5.0,0.00552141,237.74400828629,30.0,146.58,18.9,0,,14.0,,2.0,3.0,3.0,5.0,,,,,,,2.0,2.0,1.0,Jemmes Ribeiro,,1.0,1.0,,,,,,,,,,,,,
13472612,home,Mirassol,Reinaldo,reinaldo,Reinaldo,D,6,178,2574,M,243109,EUR,622944000,D,6,6,False,37.0,28.0,4.0,1.0,0.0,14.0,18.0,19.0,3.0,1.0,,,,,,,90.0,56.0,7.7,13.0,0.0842248,118.58822343445,14.0,46.62,15.015,1,,14.0,5.0,,,2.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,0.0338,0.4181,,,,,,,,
13472612,home,Mirassol,Danielzinho,danielzinho,Danielzinho,M,94,166,1169,M,356514,EUR,783907200,M,8,8,False,73.0,70.0,6.0,4.0,0.0,55.0,57.0,16.0,3.0,4.0,,,,,,,90.0,79.0,7.0,3.0,0.0236335,219.10061964474,29.0,102.375,20.055,0,,15.0,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,True,,,,,,,
13472612,home,Mirassol,José Aldo,jose-aldo,J. Aldo,M,21,174,317,M,988851,EUR,901324800,M,21,21,False,38.0,34.0,4.0,2.0,0.0,25.0,27.0,11.0,2.0,5.0,,,,,,,67.0,51.0,6.5,12.0,0.00546155,109.56896610264,17.0,39.375,11.13,0,,9.0,1.0,,,5.0,,1.0,3.0,,,,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,
13472612,home,Mirassol,Negueba,negueba,Negueba,M,11,175,664,M,872007,EUR,944179200,M,11,11,False,23.0,17.0,2.0,1.0,0.0,12.0,15.0,8.0,1.0,2.0,,,,,,,67.0,39.0,7.7,11.0,0.0705389,78.563765302007,9.0,50.82,18.9,2,,5.0,5.0,1.0,,1.0,3.0,,,,,2.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,0.0574,0.0855,,1.0,,,,,,
13472612,home,Mirassol,Gabriel,gabriel,Gabriel,M,27,178,805,M,243459,EUR,631584000,M,27,27,False,23.0,20.0,1.0,1.0,1.0,12.0,13.0,10.0,,2.0,,,,,,,82.0,32.0,7.1,8.0,0.0312,121.85967202148,17.0,76.86,29.82,1,,8.0,1.0,,,,2.0,,,1.0,1.0,1.0,,3.0,,,,,,,,1.0,,0.0284,0.0124,,,1.0,,,,,
13472612,home,Mirassol,Carlos Eduardo,carlos-eduardo,Carlos Eduardo,F,96,173,354,M,795295,EUR,844905600,M,96,96,False,16.0,12.0,,,0.0,5.0,6.0,10.0,4.0,4.0,,,,,,,89.0,27.0,6.7,9.0,0.00754696,95.199713941654,10.0,74.025,16.065,0,,7.0,2.0,1.0,1.0,5.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,
