match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_blockedScoringAttempt,stat_hitWoodwork
12513669,home,Casa Pia,Patrick Sequeira,patrick-sequeira,P. Sequeira,G,1,190,969,M,821628,EUR,920246400,G,1,1,False,51.0,31.0,26.0,7.0,0.0,28.0,34.0,3.0,17.0,1.0,12.0,1.0,2.0,2.0,5.0,1.0,90.0,67.0,7.4,21.0,0.00060841,0,0.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513669,home,Casa Pia,André Geraldes,andre-geraldes,A. Geraldes,D,18,181,32,M,125039,EUR,673142400,D,18,18,False,37.0,32.0,7.0,3.0,0.0,26.0,26.0,7.0,12.0,4.0,3.0,,,,,,90.0,51.0,7.2,6.0,0.0179943,0,,True,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12513669,home,Casa Pia,João Goulart,joao-goulart,J. Goulart,D,4,191,68,M,1151667,EUR,948931200,D,4,4,False,26.0,21.0,8.0,4.0,0.0,16.0,19.0,5.0,7.0,5.0,2.0,,,,,,90.0,36.0,6.8,5.0,0.00124348,0,,,,,3.0,4.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
12513669,home,Casa Pia,Duplexe Tchamba,duplexe-tchamba,D. Tchamba,D,2,191,133,M,891792,EUR,900028800,D,2,2,False,43.0,28.0,12.0,4.0,0.0,21.0,32.0,7.0,11.0,4.0,3.0,,,,,,90.0,54.0,6.7,15.0,0.00196826,1,,,,,4.0,4.0,,,,1.0,1.0,,4.0,,,,,2.0,,1.0,2.0,1.0,0.0145,,,,,,,,,,
12513669,home,Casa Pia,Gaizka Larrazabal,gaizka-larrazabal,G. Larrazabal,M,72,179,117,M,849719,EUR,882316800,M,72,72,False,36.0,26.0,6.0,2.0,0.0,17.0,19.0,9.0,18.0,7.0,5.0,2.0,,,,,90.0,64.0,7.1,18.0,0.00885739,0,,,1.0,,,6.0,,1.0,1.0,,1.0,,,,,,,3.0,,,2.0,2.0,,,,,,,,,,,
12513669,home,Casa Pia,Andrian Kraev,andrian-kraev,A. Kraev,M,6,191,280,M,857374,EUR,918950400,M,89,89,False,37.0,32.0,1.0,1.0,0.0,24.0,27.0,8.0,11.0,3.0,4.0,1.0,,,,,90.0,53.0,6.9,9.0,0.00770313,0,,,1.0,,4.0,6.0,,1.0,,1.0,1.0,,3.0,,,,,3.0,,,3.0,2.0,,,,,,,,,,,
12513669,home,Casa Pia,Renato Nhaga,renato-nhaga,R. Nhaga,M,74,172,1735,M,2119726,EUR,1174953600,M,57,57,False,32.0,30.0,5.0,4.0,0.0,20.0,21.0,10.0,11.0,,4.0,2.0,,,,,82.0,46.0,6.4,9.0,0.00940006,0,,,,,8.0,6.0,3.0,2.0,2.0,,,3.0,1.0,1.0,Renato Nhaga,,2.0,1.0,2.0,,,,,1.0,,,,,,,,,
12513669,home,Casa Pia,Fahem Benaissa-Yahia,fahem-benaissa-yahia,F. Benaissa-Yahia,M,50,188,115,M,1529932,EUR,1020038400,M,12,12,False,19.0,14.0,2.0,1.0,0.0,10.0,12.0,4.0,8.0,2.0,1.0,2.0,,,,,89.0,51.0,7.7,12.0,0.0015107,1,,,1.0,,9.0,8.0,1.0,6.0,4.0,,5.0,,3.0,,,,2.0,3.0,1.0,,1.0,1.0,0.2513,,1.0,1.0,0.3532,,,,,,
12513669,home,Casa Pia,Jérémy Livolant,jeremy-livolant,J. Livolant,F,29,175,282,M,826054,EUR,884304000,F,29,29,False,22.0,16.0,2.0,1.0,1.0,8.0,10.0,11.0,18.0,,3.0,5.0,,,,,89.0,39.0,8.1,16.0,0.478955,1,,,6.0,3.0,6.0,4.0,,2.0,,,,1.0,,2.0,,,3.0,3.0,1.0,,,,0.3973,,1.0,1.0,0.2463,2.0,1.0,,,,
12513669,home,Casa Pia,Cassiano,cassiano,Cassiano,F,90,184,251,M,157023,EUR,613958400,F,90,90,False,16.0,10.0,1.0,,1.0,5.0,6.0,5.0,10.0,1.0,3.0,1.0,,,,,89.0,30.0,6.9,9.0,0.169475,1,,,,,8.0,9.0,,2.0,1.0,,,4.0,3.0,1.0,,,4.0,5.0,,1.0,,,0.1337,,,,,1.0,,1.0,,,
