match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_fouls,stat_keyPass,stat_wonContest,stat_bigChanceCreated,stat_wasFouled,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_goodHighClaim
11801751,home,Atalanta,Juan Musso,juan-musso,J. Musso,G,1,191,5827,M,juanmusso,263651,EUR,768182400,G,1,1,False,27.0,20.0,11.0,5.0,18.0,21.0,2.0,6.0,8.0,1.0,3.0,90.0,36.0,6.8,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11801751,home,Atalanta,Giorgio Scalvini,giorgio-scalvini,G. Scalvini,D,42,194,3402,M,,1012176,EUR,1071100800,D,42,42,False,44.0,40.0,5.0,3.0,21.0,22.0,19.0,22.0,7.0,,,74.0,60.0,7.7,7.0,2,,,2.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11801751,home,Atalanta,Berat Djimsiti,berat-djimsiti,B. Djimsiti,D,19,190,2164,M,,151003,EUR,730080000,D,19,19,False,67.0,63.0,8.0,7.0,54.0,57.0,9.0,10.0,3.0,,,90.0,72.0,6.7,4.0,0,,,2.0,2.0,4.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
11801751,home,Atalanta,Sead Kolašinac,sead-kolasinac,S. Kolašinac,D,23,183,3300,M,,142148,EUR,740534400,D,23,23,False,55.0,48.0,3.0,2.0,28.0,33.0,22.0,24.0,7.0,,,81.0,64.0,7.0,7.0,1,,,1.0,,4.0,1.0,1.0,,,1.0,,,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,
11801751,home,Atalanta,Emil Holm,emil-holm,E. Holm,D,2,191,1731,M,,965264,EUR,958176000,M,3,3,False,34.0,30.0,7.0,4.0,15.0,15.0,17.0,24.0,5.0,,,90.0,60.0,7.8,10.0,1,,,,,5.0,6.0,4.0,2.0,,1.0,,2.0,3.0,1.0,2.0,5.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,
11801751,home,Atalanta,Éderson,ederson,Éderson,M,13,183,7727,M,ederson99,946888,EUR,931305600,M,13,13,False,63.0,60.0,5.0,5.0,25.0,26.0,35.0,38.0,8.0,,,90.0,85.0,7.4,9.0,3,,,,1.0,4.0,5.0,1.0,4.0,,2.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,3.0,,,2.0,2.0,,,,,,,
11801751,home,Atalanta,Marten de Roon,marten-de-roon,M. de Roon,M,15,185,1875,M,,100389,EUR,670204800,M,15,15,False,68.0,60.0,5.0,2.0,35.0,38.0,25.0,30.0,3.0,,,90.0,77.0,6.8,8.0,1,,,,1.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,True,,,,,,
11801751,home,Atalanta,Davide Zappacosta,davide-zappacosta,D. Zappacosta,M,77,182,2129,M,,132318,EUR,708220800,M,77,77,False,56.0,51.0,,,19.0,20.0,32.0,38.0,7.0,,,90.0,84.0,6.8,12.0,1,,,1.0,,6.0,2.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,1.0,,,,,,,,
11801751,home,Atalanta,Mario Pašalić,mario-pasalic,M. Pašalić,M,8,189,7391,M,pasalicmario,190437,EUR,792288000,F,8,8,False,30.0,23.0,2.0,2.0,9.0,10.0,15.0,21.0,5.0,,,74.0,40.0,7.7,9.0,2,,,3.0,3.0,4.0,6.0,1.0,1.0,,,,,2.0,1.0,2.0,1.0,1.0,1.0,,4.0,1.0,,,,1.0,,1.0,,,,,
11801751,home,Atalanta,Aleksei Miranchuk,aleksei-miranchuk,A. Miranchuk,M,59,182,4262,M,Miranchuk,324353,EUR,813888000,F,59,59,False,41.0,33.0,5.0,5.0,5.0,6.0,36.0,44.0,1.0,,,87.0,70.0,9.9,13.0,7,,,,1.0,4.0,7.0,1.0,3.0,2.0,,,,2.0,1.0,,9.0,8.0,4.0,,7.0,2.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,,
