match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,player_firstName,stat_outfielderBlock,stat_dispossessed,stat_totalOffside,player_lastName,stat_penaltyWon,captain,stat_bigChanceCreated,stat_penaltyFaced,stat_errorLeadToAShot,stat_penaltyConceded
12437854,home,Valencia,Giorgi Mamardashvili,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,mamardashvili,930997,EUR,970185600,G,25,25,False,22.0,15.0,13.0,6.0,0.0,11.0,15.0,4.0,7.0,1.0,5.0,1.0,3.0,90.0,29.0,6.5,7.0,0.00082839,0,-1.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437854,home,Valencia,Thierry Correia,correia-thierry,T. Correia,D,12,176,798,M,,851282,EUR,920937600,D,12,12,False,32.0,22.0,1.0,,0.0,11.0,12.0,12.0,23.0,,3.0,,,75.0,49.0,6.6,13.0,0.0490936,2,,3.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.1562,0.124,1.0,,,,,,,,,,,,,,,,,,
12437854,home,Valencia,César Tárrega,cesar-tarrega,C. Tárrega,D,5,193,816,M,,996928,EUR,1014681600,D,15,15,False,58.0,46.0,8.0,3.0,0.0,28.0,31.0,18.0,27.0,,3.0,,,90.0,66.0,6.9,13.0,0.0103705,2,,,,5.0,3.0,,,,,,1.0,1.0,,,0.1127,0.5782,,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
12437854,home,Valencia,Cristhian Mosquera,cristhian-mosquera,C. Mosquera,D,3,191,15807,M,,1144630,EUR,1088294400,D,3,3,False,59.0,54.0,2.0,2.0,0.0,37.0,39.0,17.0,20.0,2.0,7.0,,,90.0,71.0,6.5,7.0,0.00685574,0,,,,3.0,6.0,,1.0,,,,,2.0,,1.0,,,,2.0,3.0,,,1.0,,,Cristhian Mosquera,1.0,,,,,,,,,
12437854,home,Valencia,Rodrigo Abajas,rodrigo-abajas,R. Abajas,D,3,186,101,M,,1657026,EUR,1070582400,D,39,39,False,20.0,11.0,4.0,,0.0,4.0,7.0,7.0,14.0,,2.0,,,66.0,40.0,6.2,14.0,0.00361755,1,,1.0,,5.0,4.0,,1.0,1.0,,1.0,,3.0,2.0,,0.0724,,,1.0,,,,1.0,,2.0,,,2.0,1.0,,,,,,,
12437854,home,Valencia,Sergi Canós,sergi-canos,S. Canós,M,7,173,366,M,,790833,EUR,854841600,M,7,7,False,18.0,10.0,3.0,1.0,0.0,3.0,3.0,8.0,18.0,,5.0,,,55.0,30.0,6.5,14.0,0.0670436,1,,3.0,1.0,5.0,2.0,,4.0,1.0,,1.0,,1.0,,,0.1531,,2.0,,,,,,1.0,2.0,,,,,,,,,,,
12437854,home,Valencia,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186,6499,M,,1087316,EUR,990489600,M,5,5,False,26.0,23.0,3.0,2.0,0.0,12.0,12.0,11.0,14.0,,3.0,,,55.0,31.0,6.9,4.0,0.00959621,0,,,,2.0,2.0,,,,,,,,,2.0,,,1.0,,,,,,1.0,2.0,,1.0,,,,1.0,,,,,
12437854,home,Valencia,Pepelu,pepelu,Pepelu,M,18,185,1838,M,,826948,EUR,902793600,M,18,18,False,49.0,41.0,7.0,6.0,0.0,20.0,21.0,23.0,32.0,2.0,6.0,,,69.0,63.0,7.3,10.0,0.0760725,2,,4.0,2.0,1.0,5.0,,,,,,2.0,2.0,2.0,1.0,0.8353,1.0653,,,2.0,,1.0,1.0,,1.0,,1.0,,,,,True,,,,
12437854,home,Valencia,Luis Rioja,luis-rioja,L. Rioja,M,11,173,860,M,,900433,EUR,750729600,M,22,22,False,23.0,16.0,2.0,1.0,0.0,6.0,7.0,10.0,28.0,1.0,6.0,,,90.0,47.0,6.6,24.0,0.0137137,0,,12.0,,4.0,4.0,,,,,,,2.0,2.0,2.0,,,,2.0,,,,,3.0,,,,2.0,,,,,,,,
12437854,home,Valencia,Dani Gómez,dani-gomez,D. Gómez,F,9,177,229,M,,888930,EUR,901756800,F,17,17,False,12.0,7.0,,,0.0,4.0,4.0,3.0,8.0,,1.0,,,75.0,17.0,6.5,8.0,0.00271628,1,,,,3.0,2.0,,1.0,,,,1.0,1.0,1.0,,0.0823,0.0557,,,1.0,,,,,,,,2.0,,,,,,,,
