match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_wonContest,stat_keyPass,stat_errorLeadToAShot,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,player_sofascoreId
12451067,home,Saint-Étienne,Gautier Larsonneur,,,gautier-larsonneur,G. Larsonneur,G,30,181,266,M,810526,EUR,856656000,G,30,30,False,True,41.0,26.0,20.0,6.0,0.0,21.0,24.0,5.0,17.0,1.0,8.0,1.0,3.0,3.0,90.0,52.0,7.4,16.0,0.00238403,0,0.2777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451067,home,Saint-Étienne,Yvann Maçon,,,yvann-macon,Y. Maçon,D,27,177,147,M,1006486,EUR,907200000,D,27,27,False,,26.0,21.0,3.0,1.0,0.0,12.0,13.0,9.0,14.0,,4.0,,,,62.0,34.0,6.8,7.0,0.00965817,0,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12451067,home,Saint-Étienne,Dylan Batubinsika,,,dylan-batubinsika,D. Batubinsika,D,28,184,4399,M,352912,EUR,824342400,D,21,21,False,,55.0,48.0,3.0,1.0,0.0,41.0,43.0,7.0,12.0,3.0,2.0,,,,90.0,69.0,7.5,8.0,0.00140496,0,,,,1.0,,,,,,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,
12451067,home,Saint-Étienne,Mickael Nade,,,mickael-nade,M. Nade,D,3,186,169,M,865847,EUR,920505600,D,3,3,False,,50.0,46.0,6.0,3.0,0.0,39.0,42.0,7.0,8.0,1.0,3.0,,,,90.0,59.0,7.4,7.0,0.00376467,1,,,3.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.3943,0.8432,,,,,,,,,,,
12451067,home,Saint-Étienne,Léo Pétrot,,,leo-petrot,L. Pétrot,D,21,188,232,M,827504,EUR,861062400,D,19,19,False,,14.0,10.0,1.0,,0.0,4.0,5.0,6.0,11.0,,3.0,,,,90.0,37.0,7.4,8.0,0.00660268,0,,2.0,6.0,7.0,2.0,5.0,5.0,1.0,2.0,1.0,,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,
12451067,home,Saint-Étienne,Pierre Ekwah,,,pierre-ekwah,P. Ekwah,M,4,187,490,M,996908,EUR,1011052800,M,4,4,False,,48.0,42.0,3.0,1.0,0.0,32.0,35.0,10.0,14.0,9.0,8.0,,,,90.0,65.0,7.1,7.0,0.0172728,0,,1.0,,5.0,,2.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,
12451067,home,Saint-Étienne,Augustine Boakye,Augustine Boakye,,augustine-boakye,A. Boakye,F,20,178,540,M,1138352,EUR,973209600,M,20,20,False,,15.0,12.0,2.0,1.0,0.0,4.0,4.0,8.0,12.0,,,,,,56.0,25.0,6.6,7.0,0.0688756,0,,1.0,4.0,1.0,1.0,,,,,,,2.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,
12451067,home,Saint-Étienne,Benjamin Bouchouari,,,benjamin-bouchouari,B. Bouchouari,M,8,165,2363,M,1046446,EUR,1005609600,M,6,6,False,,32.0,29.0,4.0,3.0,0.0,11.0,12.0,18.0,20.0,1.0,8.0,,,,90.0,40.0,6.9,5.0,0.0995115,0,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,2.0,,,,,2.0,1.0,,,,,,,
12451067,home,Saint-Étienne,Louis Mouton,Louis Mouton,,louis-mouton,L. Mouton,M,6,180,136,M,1172936,EUR,1023062400,M,14,14,False,,29.0,24.0,4.0,1.0,0.0,13.0,16.0,12.0,14.0,1.0,4.0,,,,72.0,44.0,6.6,8.0,0.0690128,2,,1.0,6.0,1.0,2.0,,,,2.0,,1.0,1.0,,2.0,,,1.0,0.0672,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,
12451067,home,Saint-Étienne,Zuriko Davitashvili,,,zuriko-davitashvili,Z. Davitashvili,F,22,175,4336,M,921369,EUR,982195200,M,22,22,False,,26.0,23.0,,,0.0,8.0,9.0,15.0,19.0,,3.0,,,,90.0,37.0,7.0,8.0,0.233532,3,,2.0,5.0,2.0,2.0,,,1.0,,1.0,,,2.0,,,,1.0,0.2682,,1.0,,2.0,,,2.0,1.0,,,,
