match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_goals,stat_totalClearance,stat_wasFouled,player_firstName,player_lastName,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,captain,stat_goalAssist,stat_bigChanceCreated,stat_aerialLost,stat_bigChanceMissed,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_outfielderBlock,stat_ownGoals
10665995,home,Al-Shabab,Seung-gyu Kim,seung-gyu-kim,S. Kim,G,81,187.0,324,M,235686,EUR,654652800,G,18,18,False,44.0,30.0,17.0,5.0,29.0,34.0,1.0,10.0,8.0,3.0,1.0,1.0,90.0,51.0,6.9,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665995,home,Al-Shabab,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176.0,240,M,818572,EUR,830217600,D,27,27,False,33.0,29.0,,,9.0,10.0,21.0,27.0,7.0,,,,90.0,60.0,7.2,10.0,1,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
10665995,home,Al-Shabab,Iago Santos,iago-santos,I. Santos,D,4,188.0,76,M,584430,EUR,706492800,D,4,4,False,60.0,51.0,11.0,6.0,35.0,40.0,16.0,20.0,4.0,,,,90.0,71.0,8.0,9.0,2,,,2.0,5.0,,,1.0,,2.0,2.0,,,3.0,2.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,
10665995,home,Al-Shabab,Hassan Al Tambakti,hassan-al-tambakti,H. A. Tambakti,D,87,182.0,1188,M,881837,EUR,918518400,D,5,5,False,45.0,42.0,5.0,4.0,30.0,31.0,13.0,15.0,4.0,,,,79.0,59.0,7.7,3.0,0,1.0,1.0,,7.0,,,,2.0,5.0,4.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,
10665995,home,Al-Shabab,Moteb Al-Harbi,moteb-al-harbi,M. Al-Harbi,D,24,171.0,848,M,1022679,EUR,950918400,D,24,24,False,51.0,42.0,2.0,1.0,25.0,28.0,17.0,26.0,9.0,,,,90.0,74.0,7.1,18.0,1,3.0,,4.0,1.0,2.0,2.0,,2.0,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,3.0,,,,,,,,,,
10665995,home,Al-Shabab,Grzegorz Krychowiak,grzegorz-krychowiak,G. Krychowiak,M,4,187.0,2715,M,76227,EUR,633571200,M,23,23,False,54.0,48.0,2.0,2.0,31.0,32.0,17.0,22.0,7.0,,,,90.0,63.0,6.9,8.0,1,,,3.0,4.0,2.0,,,1.0,3.0,2.0,1.0,,1.0,,1.0,,,1.0,Grzegorz,Krychowiak,,,,,,,,,,,,,
10665995,home,Al-Shabab,Éver Banega,ever-banega,É. Banega,M,11,174.0,1194,M,31981,EUR,583545600,M,10,10,False,75.0,68.0,11.0,9.0,14.0,16.0,56.0,63.0,7.0,,,,89.0,90.0,8.0,13.0,1,4.0,2.0,4.0,2.0,1.0,1.0,,1.0,,,2.0,5.0,,,1.0,,,2.0,,,,,1.0,True,1.0,1.0,,,,,,,
10665995,home,Al-Shabab,Carlos Junior,carlos-junior,C. Junior,M,13,176.0,437,M,555624,EUR,808444800,M,13,13,False,25.0,19.0,1.0,1.0,5.0,7.0,15.0,19.0,2.0,,,,86.0,45.0,6.6,10.0,5,1.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,3.0,,1.0,2.0,,,,,,,2.0,1.0,,,,1.0,1.0,1.0,,,,
10665995,home,Al-Shabab,Cristian Guanca,cristian-guanca,C. Guanca,M,10,177.0,565,M,789438,EUR,733190400,M,8,8,False,45.0,42.0,2.0,2.0,11.0,11.0,31.0,35.0,7.0,,,,90.0,61.0,7.3,11.0,5,1.0,,5.0,1.0,,5.0,,,,,1.0,4.0,,,3.0,,,,,,1.0,2.0,3.0,,1.0,1.0,,,,,,,
10665995,home,Al-Shabab,Hattan Bahebri,hattan-bahebri,H. Bahbri,M,11,168.0,92,M,803052,EUR,711244800,M,11,11,False,45.0,34.0,2.0,,9.0,10.0,25.0,35.0,6.0,,,,79.0,51.0,6.4,11.0,1,,,9.0,,,,,,,,4.0,2.0,,1.0,1.0,,,,,,,,,,,,4.0,,,,,,
10665995,home,Al-Shabab,Santi Mina,santi-mina,S. Mina,F,,182.0,384,,306498,EUR,818294400,F,77,77,False,28.0,25.0,,,8.0,8.0,17.0,21.0,4.0,,,,89.0,40.0,7.6,6.0,5,1.0,,4.0,1.0,1.0,,3.0,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,2.0,,,,,,
10665995,home,Al-Shabab,Nader Al Sharari,nader-abdullah-al-sharari,N. A. Sharari,D,4,184.0,534,M,923040,EUR,831513600,D,88,88,True,8.0,8.0,3.0,3.0,6.0,6.0,2.0,2.0,,,,,11.0,12.0,6.9,,0,,,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
10665995,home,Al-Shabab,Husain Al-Qahtani,husain-al-monassar,H. Al-Qahtani,M,52,177.0,32,M,893218,EUR,787881600,M,15,15,True,6.0,6.0,,,2.0,2.0,5.0,5.0,,,,,11.0,9.0,6.9,,1,1.0,1.0,1.0,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,
10665995,home,Al-Shabab,Turki Al-Ammar,turki-al-ammar,T. Al-Ammar,M,7,170.0,151,M,965177,EUR,938044800,M,7,7,True,3.0,3.0,,,1.0,1.0,2.0,2.0,1.0,,,,9.0,4.0,6.6,,0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10665995,home,Al-Shabab,Fahad Al-Muwallad,fahad-al-muwallad,F. Al-Muwallad,M,,167.0,183,M,160909,EUR,779500800,F,90,90,True,,,,,,,,,,,,,1.0,2.0,,1.0,0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
