match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalClearance,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,player_sofascoreId,stat_wonContest,stat_dispossessed,captain,stat_challengeLost,stat_outfielderBlock,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_punches,stat_lastManTackle
10382214,home,AZ Alkmaar,Mathew Ryan,mathew-ryan,M. Ryan,G,13,184,1521,M,134029,EUR,702691200,G,1,1,False,12.0,10.0,3.0,1.0,9.0,10.0,1.0,2.0,9.0,1.0,1.0,1.0,90.0,20.0,7.2,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382214,home,AZ Alkmaar,Yukinari Sugawara,yukinari-sugawara,Y. Sugawara,D,3,179,2828,M,905347,EUR,962150400,D,2,2,False,56.0,47.0,5.0,2.0,27.0,31.0,23.0,30.0,8.0,,,,78.0,73.0,7.2,14.0,1,,,5.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
10382214,home,AZ Alkmaar,Wouter Goes,wouter-goes,W. Goes,D,3,187,709,M,1145982,EUR,1086825600,D,46,46,False,86.0,83.0,2.0,2.0,50.0,52.0,33.0,34.0,6.0,,,,90.0,93.0,7.0,5.0,0,,,,,2.0,3.0,2.0,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,
10382214,home,AZ Alkmaar,Pantelis Hatzidiakos,hatzidiakos-pantelis,P. Hatzidiakos,D,6,185,761,M,822163,EUR,853545600,D,3,3,False,90.0,79.0,7.0,4.0,49.0,52.0,30.0,38.0,4.0,,,,90.0,97.0,7.0,12.0,2,,,,,2.0,2.0,2.0,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
10382214,home,AZ Alkmaar,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25965,M,1097425,EUR,1068163200,D,5,5,False,45.0,38.0,3.0,1.0,18.0,21.0,20.0,27.0,3.0,,,,68.0,65.0,6.7,13.0,0,Milos,Kerkez,3.0,,1.0,7.0,6.0,2.0,,,,,,4.0,1.0,1.0,5.0,,,,,miloskerkez,1.0,,,,,,,,,,,
10382214,home,AZ Alkmaar,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38542,M,893549,EUR,901670400,M,6,6,False,86.0,75.0,8.0,7.0,38.0,39.0,38.0,48.0,9.0,,,,90.0,107.0,8.2,18.0,3,,,1.0,1.0,1.0,5.0,8.0,6.0,1.0,,3.0,1.0,2.0,,,2.0,1.0,,,2.0,,tijjanireijnders,4.0,2.0,,,,,,,,,,
10382214,home,AZ Alkmaar,Jordy Clasie,jordy-clasie,J. Clasie,M,8,169,219,M,116946,EUR,677980800,M,8,8,False,88.0,79.0,8.0,5.0,39.0,41.0,40.0,47.0,6.0,,,,79.0,93.0,7.1,10.0,0,,,,,,3.0,2.0,,,,2.0,2.0,,,,2.0,,,,,,,,1.0,True,2.0,1.0,,,,,,,
10382214,home,AZ Alkmaar,Jens Odgaard,jens-odgaard,J. Odgaard,M,21,188,1839,M,826064,EUR,922838400,M,7,7,False,23.0,19.0,,,6.0,6.0,13.0,17.0,3.0,,,,79.0,45.0,7.1,12.0,4,,,,,4.0,9.0,9.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,,,1.0,,1.0,,,1.0,3.0,,2.0,,1.0,1.0,,,,,
10382214,home,AZ Alkmaar,Sven Mijnans,sven-mijnans,S. Mijnans,M,10,190,1199,M,980671,EUR,952560000,M,16,16,False,38.0,35.0,,,5.0,5.0,30.0,35.0,2.0,,,,90.0,53.0,8.8,9.0,4,,,2.0,,,8.0,1.0,1.0,3.0,,,,1.0,,3.0,1.0,2.0,,,1.0,,,1.0,2.0,,1.0,,,2.0,1.0,1.0,2.0,,
10382214,home,AZ Alkmaar,Jesper Karlsson,jesper-karlsson,J. Karlsson,F,11,179,1275,M,834597,EUR,901324800,M,11,11,False,26.0,21.0,3.0,3.0,5.0,5.0,16.0,26.0,3.0,,,,79.0,42.0,8.7,14.0,3,,,5.0,,,6.0,2.0,2.0,3.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,1.0,,3.0,,,1.0,2.0,1.0,,,
