match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,player_sofascoreId,stat_totalCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,captain,stat_bigChanceMissed,stat_goals,stat_hitWoodwork,stat_penaltyWon,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_penaltyConceded
12437543,home,Celta Vigo,Vicente Guaita,vicente-guaita,V. Guaita,G,13,190,509,M,32023,EUR,537235200,G,13,13,False,19.0,17.0,3.0,1.0,0.0,16.0,16.0,1.0,3.0,8.0,1.0,1.0,90.0,25.0,7.0,2.0,0.00016731,0,0.3123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437543,home,Celta Vigo,Yoel Lago,yoel-lago,Y. Lago,D,29,185,186,M,1145100,EUR,1080172800,D,29,29,False,61.0,60.0,3.0,3.0,0.0,31.0,31.0,29.0,30.0,1.0,,,75.0,66.0,6.9,1.0,0.0117526,0,,Yoel,Lago,1.0,6.0,4.0,1.0,1.0,2.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437543,home,Celta Vigo,Carlos Domínguez,carlos-dominguez,C. Domínguez,D,24,187,207,M,1069703,EUR,981849600,D,24,24,False,58.0,52.0,2.0,,0.0,33.0,34.0,19.0,24.0,5.0,,,90.0,66.0,7.1,6.0,0.011604,0,,,,1.0,3.0,3.0,1.0,5.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437543,home,Celta Vigo,Marcos Alonso,marcos-alonso,M. Alonso,D,20,188,7636,M,69408,EUR,662342400,D,20,20,False,91.0,87.0,11.0,10.0,0.0,35.0,36.0,52.0,56.0,5.0,,,90.0,106.0,7.7,6.0,0.0381832,3,,,,,5.0,2.0,1.0,3.0,1.0,,,2.0,1.0,marcosalonso28,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1131,0.024,,,,,,,,,,,,,,,,,
12437543,home,Celta Vigo,Hugo Álvarez,hugo-alvarez,H. Álvarez,M,23,176,698,M,1154935,EUR,1057104000,M,23,23,False,42.0,33.0,,,1.0,9.0,12.0,25.0,33.0,4.0,,,55.0,56.0,7.5,14.0,0.420552,1,,Hugo Álvarez,,,5.0,,,,,,,1.0,3.0,,3.0,,,,1.0,,1.0,0.0841,0.327,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,
12437543,home,Celta Vigo,Damián Rodríguez,damian-rodriguez,D. Rodríguez,M,23,180,272,M,1216080,EUR,1047859200,M,25,25,False,77.0,72.0,7.0,6.0,0.0,13.0,15.0,60.0,66.0,4.0,,,90.0,88.0,7.2,10.0,0.13801,1,,,,,2.0,1.0,1.0,,1.0,1.0,,,,,4.0,1.0,,,,1.0,,0.019,,1.0,,,,,1.0,,,,,,,,,,,
12437543,home,Celta Vigo,Fran Beltrán,fran-beltran,F. Beltrán,M,8,170,770,M,835484,EUR,918000000,M,8,8,False,39.0,35.0,7.0,6.0,0.0,6.0,7.0,29.0,32.0,5.0,,,45.0,47.0,8.2,4.0,0.33745,2,,,,,1.0,5.0,,,4.0,3.0,,1.0,,,,1.0,1.0,2.0,,,,0.0628,,,,1.0,,,3.0,True,,,,,,,,,,
12437543,home,Celta Vigo,Óscar Mingueza,oscar-mingueza,Ó. Mingueza,M,3,184,3812,M,859773,EUR,926553600,M,3,3,False,76.0,61.0,4.0,1.0,0.0,14.0,14.0,48.0,72.0,7.0,,,90.0,103.0,7.1,29.0,0.113506,1,,,,,6.0,3.0,2.0,,1.0,,1.0,2.0,1.0,,10.0,2.0,1.0,,,1.0,,0.0302,,1.0,,,2.0,,1.0,,,,,,,,,,,
12437543,home,Celta Vigo,Fer López,fer-lopez,F. López,M,8,186,973,M,1526628,EUR,1085356800,F,28,28,False,24.0,21.0,2.0,2.0,0.0,2.0,2.0,19.0,22.0,3.0,,,74.0,40.0,7.1,14.0,0.138912,2,,,,,7.0,2.0,,,,,1.0,,1.0,,,5.0,1.0,,1.0,1.0,,0.9456,0.9949,,2.0,,3.0,,3.0,,1.0,1.0,,,,,,,,
12437543,home,Celta Vigo,Borja Iglesias,borja-iglesias,B. Iglesias,F,7,187,4084,M,785989,EUR,727228800,F,7,7,False,6.0,4.0,,,1.0,2.0,2.0,2.0,5.0,1.0,,,66.0,17.0,8.2,6.0,0.116576,4,,,,1.0,4.0,1.0,,,,,,,2.0,,1.0,2.0,,2.0,2.0,,1.0,0.7317,0.428,,,2.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,
12437543,home,Celta Vigo,Alfon González,alfon-gonzalez,A. González,F,17,172,607,M,1468090,EUR,925776000,F,12,12,False,19.0,16.0,,,0.0,2.0,3.0,14.0,18.0,2.0,,,90.0,32.0,6.8,10.0,0.0251057,1,,,,,6.0,3.0,,,,,2.0,1.0,1.0,,2.0,5.0,1.0,,1.0,,,0.0735,0.0238,,,,1.0,,1.0,,,,,,,,,,,
