match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,player_firstName,player_lastName,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_dispossessed,stat_goals,captain,stat_hitWoodwork,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_totalOffside
12504379,home,Udinese,Răzvan Sava,razvan-sava,R. Sava,G,90,195,1061,M,1001997,EUR,1024617600,G,90,90,False,30.0,23.0,14.0,7.0,0.0,17.0,18.0,6.0,12.0,5.0,4.0,4.0,90.0,35.0,7.8,7.0,0.00387068,0,1.0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504379,home,Udinese,Kingsley Ehizibue,kingsley-ehizibue,K. Ehizibue,M,19,189,682,M,609206,EUR,801360000,D,19,19,False,35.0,31.0,3.0,1.0,0.0,16.0,17.0,15.0,19.0,3.0,,,74.0,60.0,7.7,7.0,0.0189194,0,,1.0,3.0,1.0,8.0,6.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12504379,home,Udinese,Jaka Bijol,jaka-bijol,J. Bijol,D,15,192,2511,M,886930,EUR,918172800,D,29,29,False,71.0,61.0,11.0,7.0,0.0,43.0,46.0,18.0,25.0,3.0,,,90.0,83.0,7.7,10.0,0.0521978,1,,,5.0,1.0,7.0,6.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,0.2539,0.0792,,,,,,,,,,,,,,,,,,
12504379,home,Udinese,Oumar Solet,oumar-solet,O. Solet,D,28,192,1946,M,892979,EUR,949881600,D,28,28,False,59.0,55.0,4.0,1.0,0.0,46.0,48.0,9.0,11.0,6.0,,,90.0,80.0,7.8,7.0,0.0037464,0,,,1.0,6.0,6.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,
12504379,home,Udinese,Hassane Kamara,hassane-kamara,H. Kamara,M,11,168,1023,M,351434,EUR,762825600,D,11,11,False,33.0,28.0,3.0,1.0,0.0,17.0,18.0,12.0,17.0,8.0,,,90.0,50.0,7.1,9.0,0.0241154,0,,2.0,2.0,3.0,2.0,4.0,,2.0,,,1.0,,,1.0,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,
12504379,home,Udinese,Arthur Atta,atta-arthur,A. Atta,M,14,189,2507,M,1444690,EUR,1042502400,M,14,14,False,29.0,23.0,2.0,,1.0,8.0,9.0,16.0,22.0,1.0,,,64.0,38.0,7.5,7.0,0.414397,2,,2.0,2.0,2.0,3.0,1.0,,,,,,1.0,,4.0,1.0,,,0.0466,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,
12504379,home,Udinese,Sandi Lovrić,sandi-lovric,S. Lovrić,M,4,180,807,M,575852,EUR,891043200,M,8,8,False,38.0,33.0,4.0,3.0,0.0,11.0,13.0,22.0,29.0,8.0,,,81.0,53.0,7.4,11.0,0.16253,2,,4.0,,5.0,4.0,1.0,,,2.0,,1.0,2.0,2.0,3.0,1.0,,1.0,0.2355,0.5236,1.0,,,,,,,1.0,,1.0,,,,,,,,
12504379,home,Udinese,Jesper Karlström,jesper-karlstrom,J. Karlström,M,8,179,729,M,227894,EUR,803692800,M,25,25,False,61.0,54.0,4.0,2.0,0.0,29.0,32.0,25.0,30.0,6.0,,,90.0,78.0,6.7,14.0,0.0105548,0,,1.0,2.0,7.0,6.0,3.0,,,3.0,2.0,3.0,1.0,2.0,,,,,,,2.0,1.0,,,,,,,,2.0,,,,,,,,
12504379,home,Udinese,Jürgen Ekkelenkamp,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1146,M,904887,EUR,954892800,M,32,32,False,29.0,23.0,1.0,,0.0,14.0,17.0,9.0,12.0,1.0,,,74.0,37.0,8.7,7.0,0.010522,2,,,,,2.0,1.0,,,1.0,1.0,,1.0,,2.0,,,2.0,0.5252,1.0495,,,,1.0,,,,,,,2.0,,,,,,,
12504379,home,Udinese,Florian Thauvin,florian-thauvin,F. Thauvin,F,24,179,8040,M,148824,EUR,728006400,F,10,10,False,30.0,24.0,2.0,1.0,0.0,7.0,9.0,19.0,31.0,3.0,,,90.0,67.0,7.4,25.0,0.148226,6,,10.0,,11.0,9.0,,,,,,4.0,2.0,1.0,,1.0,1.0,4.0,0.8281,1.0344,2.0,10.0,7.0,,,,2.0,,2.0,4.0,1.0,True,,,,,,
