match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_bigChanceCreated,stat_errorLeadToAShot,stat_ownGoals,stat_goalAssist,stat_blockedScoringAttempt,stat_accurateCross,stat_clearanceOffLine,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11067639,home,Corinthians,Cássio,cassio,Cássio,G,1,195,4592,M,rcassio12,27756,EUR,549936000,G,12,12,False,True,39.0,37.0,7.0,5.0,34.0,36.0,3.0,3.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,90.0,47.0,6.9,2.0,0.0,0.0,0.00033646,0,0.0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067639,home,Corinthians,Fagner,fagner,Fagner,D,23,168,3781,M,Fagner,25554,EUR,613526400,D,23,23,False,,27.0,23.0,3.0,3.0,7.0,8.0,16.0,21.0,,3.0,,3.0,,,,45.0,46.0,6.3,11.0,0.0555,0.1069,0.0203369,1,,2.0,7.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11067639,home,Corinthians,Gil,gil,Gil,D,4,191,1081,M,,106402,EUR,550454400,D,4,4,False,,75.0,66.0,6.0,1.0,53.0,58.0,13.0,17.0,2.0,5.0,2.0,4.0,,,,90.0,88.0,7.4,9.0,0.6781,0.9053,0.00429191,2,,,3.0,1.0,,,,1.0,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,
11067639,home,Corinthians,Murillo,murillo,Murillo,D,5,180,9927,M,murillosantiago40,1199282,EUR,1025740800,D,34,34,False,,81.0,70.0,12.0,6.0,51.0,56.0,19.0,25.0,4.0,11.0,3.0,11.0,,,,90.0,101.0,7.2,13.0,0.0273,0.0,0.00844209,2,,,3.0,1.0,1.0,2.0,2.0,,1.0,2.0,,1.0,Murillo,,1.0,,2.0,,1.0,1.0,3.0,2.0,,1.0,1.0,1.0,,,,,,,
11067639,home,Corinthians,Fábio Santos,fabio-santos,Fábio Santos,D,6,179,356,,,35519,EUR,495676800,D,6,6,False,,26.0,26.0,,,16.0,16.0,10.0,11.0,1.0,2.0,,,,,,45.0,32.0,6.6,1.0,0.0,0.0,0.00676209,0,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
11067639,home,Corinthians,Gabriel Moscardo,gabriel-moscardo,G. Moscardo,M,17,185,5063,M,gabrielmoscardo,1485309,EUR,1127865600,M,44,44,False,,32.0,26.0,1.0,,19.0,19.0,7.0,13.0,1.0,3.0,,2.0,,,,45.0,43.0,6.2,10.0,0.0203,0.0,0.00701767,1,,,6.0,3.0,,2.0,,,2.0,,1.0,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,
11067639,home,Corinthians,Maycon,maycon,Maycon,M,8,175,3568,M,,831778,EUR,868924800,M,7,7,False,,50.0,42.0,5.0,2.0,15.0,18.0,27.0,32.0,,1.0,,6.0,,,,90.0,63.0,6.6,11.0,0.1894,0.178,0.0462582,2,,,7.0,1.0,3.0,,,1.0,,,3.0,1.0,,,,1.0,1.0,,,5.0,1.0,1.0,,1.0,,,,,,,,,
11067639,home,Corinthians,Adson,adson,Adson,M,28,171,2153,M,,1105970,EUR,970790400,M,28,28,False,,36.0,32.0,2.0,2.0,9.0,10.0,23.0,26.0,1.0,7.0,,7.0,,,,90.0,56.0,8.0,13.0,0.0,0.0,0.493473,0,,,6.0,,2.0,3.0,2.0,,6.0,2.0,3.0,4.0,Adson,,,,,,,1.0,2.0,1.0,1.0,3.0,,,1.0,,,,,,
11067639,home,Corinthians,Renato Augusto,renato-augusto,R. Augusto,M,7,185,1895,M,,34152,EUR,571276800,M,8,8,False,,43.0,37.0,2.0,1.0,10.0,10.0,27.0,33.0,,6.0,,2.0,,,,71.0,54.0,7.0,7.0,0.1722,0.5552,0.0776789,3,,,1.0,,,2.0,1.0,2.0,,3.0,,3.0,,,,1.0,,,,,2.0,,,,,,,1.0,,,,,
11067639,home,Corinthians,Ruan Oliveira,ruan-oliveira,Ruan Oliveira,M,10,176,665,M,,1047656,EUR,953769600,M,33,33,False,,29.0,23.0,2.0,1.0,9.0,10.0,17.0,25.0,,2.0,1.0,3.0,,,,90.0,52.0,7.4,14.0,0.0451,0.1006,0.0716327,1,,6.0,6.0,,,3.0,2.0,1.0,2.0,,4.0,3.0,Ruan Oliveira,,1.0,,,,,2.0,,,,,,,,,3.0,,,,
11067639,home,Corinthians,Yuri Alberto,yuri-alberto,Y. Alberto,F,9,183,45110,M,yurialberto,905463,EUR,984873600,F,9,9,False,,15.0,12.0,,,4.0,5.0,8.0,10.0,2.0,3.0,,2.0,,,,81.0,28.0,6.4,9.0,1.1634,0.973,0.00898459,3,,,7.0,1.0,3.0,,,2.0,3.0,1.0,1.0,,,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,
11067639,home,Corinthians,Matheus Bidu,matheus-bidu,M. Bidu,D,21,172,6254,M,,981703,EUR,925776000,D,21,21,True,,24.0,20.0,1.0,1.0,14.0,17.0,7.0,9.0,2.0,3.0,3.0,4.0,,,,45.0,35.0,7.4,6.0,0.0,0.0,0.0203182,0,,2.0,2.0,,,1.0,1.0,,1.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,
11067639,home,Corinthians,Bruno Méndez,bruno-mendez,Bruno Méndez,D,4,184,752,M,,923000,EUR,936921600,D,25,25,True,,29.0,25.0,4.0,1.0,21.0,21.0,4.0,8.0,,2.0,1.0,2.0,,,,45.0,39.0,6.6,5.0,0.0,0.0,0.00116508,0,,,2.0,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,
