match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_totalCross,stat_bigChanceCreated,stat_totalOffside,stat_keyPass,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_errorLeadToAGoal
12499619,home,Holstein Kiel,Timon Weiner,timon-weiner,T. Weiner,G,1,191,134,M,1140362,EUR,916617600,G,1,1,False,True,33.0,17.0,27.0,11.0,0.0,7.0,11.0,10.0,22.0,1.0,7.0,2.0,3.0,90.0,41.0,6.7,16.0,0.00157371,0,0.2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499619,home,Holstein Kiel,Marko Ivezić,marko-ivezic,M. Ivezić,D,6,191,161,M,1105869,EUR,1007251200,D,6,6,False,,23.0,19.0,5.0,3.0,0.0,11.0,14.0,8.0,9.0,5.0,2.0,,,90.0,34.0,6.5,5.0,0.00227233,1,,,,3.0,2.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1202,,,,,,,,,,,,,,,,
12499619,home,Holstein Kiel,Max Geschwill,geschwill-max,M. Geschwill,D,28,182,46,M,963073,EUR,994464000,D,14,14,False,,33.0,24.0,5.0,2.0,0.0,19.0,23.0,5.0,11.0,3.0,4.0,,,90.0,38.0,6.7,10.0,0.0245941,0,,,,2.0,,2.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12499619,home,Holstein Kiel,Marco Komenda,marco-komenda,M. Komenda,D,3,187,42,M,579260,EUR,848966400,D,3,3,False,,30.0,24.0,4.0,1.0,0.0,15.0,16.0,9.0,14.0,2.0,,,,73.0,39.0,6.7,6.0,0.00600876,0,,,,1.0,2.0,4.0,7.0,2.0,,,1.0,4.0,2.0,,1.0,,,,,,2.0,,,,,,,,,,,
12499619,home,Holstein Kiel,Lasse Rosenboom,lasse-rosenboom,L. Rosenboom,M,23,190,90,M,980616,EUR,1011398400,M,23,23,False,,17.0,13.0,3.0,3.0,0.0,6.0,8.0,7.0,9.0,4.0,3.0,,,90.0,40.0,7.8,7.0,0.0104525,1,,,,4.0,,5.0,3.0,,,1.0,,3.0,3.0,2.0,1.0,0.2854,,,,,,1.0,1.0,0.9641,,,,,,,,
12499619,home,Holstein Kiel,Armin Gigović,armin-gigovic,A. Gigović,M,37,187,1508,M,988893,EUR,1018051200,M,37,37,False,,19.0,15.0,2.0,1.0,0.0,8.0,11.0,7.0,8.0,,3.0,,,87.0,28.0,6.9,5.0,0.122806,0,,,,,,4.0,5.0,3.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,3.0,,,,1.0,1.0,,,,,,
12499619,home,Holstein Kiel,Nicolai Remberg,nicolai-remberg,N. Remberg,M,21,187,305,M,1064305,EUR,961372800,M,22,22,False,,32.0,23.0,4.0,1.0,0.0,13.0,13.0,11.0,21.0,7.0,7.0,,,90.0,57.0,7.0,14.0,0.221474,0,,,,2.0,4.0,6.0,8.0,1.0,,2.0,,1.0,,2.0,1.0,,2.0,,,1.0,2.0,,,,2.0,1.0,1.0,1.0,,,,
12499619,home,Holstein Kiel,Finn Porath,finn-porath,F. Porath,M,27,179,117,M,789714,EUR,856656000,M,8,8,False,,30.0,23.0,8.0,5.0,0.0,9.0,9.0,14.0,24.0,2.0,4.0,,,87.0,48.0,7.1,12.0,0.0328818,0,,,,,,3.0,5.0,3.0,,,1.0,1.0,1.0,1.0,,,3.0,,,,3.0,,,,1.0,1.0,,,,,,
12499619,home,Holstein Kiel,Alexander Bernhardsson,alexander-bernhardsson,A. Bernhardsson,F,11,184,445,M,980916,EUR,905126400,F,11,11,False,,18.0,12.0,2.0,1.0,0.0,9.0,10.0,3.0,9.0,1.0,4.0,,,66.0,31.0,7.0,11.0,0.0039563,0,,,,,2.0,3.0,8.0,,,,,3.0,3.0,2.0,1.0,,1.0,,,,,,,,5.0,3.0,,,1.0,,,
12499619,home,Holstein Kiel,Phil Harres,phil-harres,P. Harres,F,19,193,415,M,1121902,EUR,1017014400,F,19,19,False,,16.0,10.0,1.0,1.0,0.0,3.0,4.0,7.0,12.0,2.0,5.0,,,87.0,32.0,8.5,10.0,0.00609167,2,,,,7.0,,10.0,,,,3.0,1.0,,,2.0,2.0,0.4709,,,,,,2.0,2.0,0.7843,,,,2.0,,,,
