match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,player_sofascoreId,stat_interceptionWon,captain,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAShot
12421255,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193.0,1240,M,10406,EUR,573609600,G,22,22,False,11.0,11.0,3.0,3.0,0.0,8.0,8.0,3.0,3.0,1.0,2.0,1.0,1.0,60.0,13.0,6.5,0.00283749,0,-0.2548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421255,home,Club Brugge KV,Kyriani Sabbe,kyriani-sabbe,K. Sabbe,D,64,176.0,1049,M,1101258,EUR,1106697600,D,64,64,False,54.0,45.0,5.0,3.0,0.0,26.0,29.0,20.0,29.0,3.0,3.0,,,90.0,75.0,7.1,0.147304,1,,,,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,13.0,0.0473,2.0,,,,,,,,,,,,,,,,,,,,
12421255,home,Club Brugge KV,Joel Ordóñez,joel-ordonez,J. Ordóñez,D,4,188.0,4924,M,1187275,EUR,1082505600,D,4,4,False,54.0,51.0,2.0,,0.0,37.0,38.0,14.0,16.0,8.0,,,,73.0,63.0,6.9,0.00830019,1,,,,,,,4.0,,,,,,,,,3.0,0.0201,,4.0,1.0,,,,,,,,,,,,,,,,,,
12421255,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188.0,823,M,248331,EUR,728179200,D,44,44,False,86.0,80.0,13.0,12.0,0.0,68.0,71.0,12.0,15.0,6.0,5.0,,,90.0,101.0,7.6,0.0581258,0,,,,,,,5.0,,,,,3.0,2.0,,,6.0,,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,
12421255,home,Club Brugge KV,Maxim De Cuyper,maxim-de-cuyper,M. De Cuyper,D,29,183.0,4477,M,997152,EUR,977443200,D,55,55,False,56.0,53.0,7.0,5.0,0.0,29.0,30.0,26.0,29.0,1.0,5.0,,,90.0,76.0,8.0,0.232543,3,,,,3.0,2.0,7.0,2.0,1.0,,1.0,,1.0,1.0,1.0,2.0,8.0,0.3669,3.0,,1.0,,1.0,2.0,2.0,2.0,1.0,1.1579,,,,,,,,,,,
12421255,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184.0,6213,M,1129862,EUR,987638400,M,15,15,False,54.0,51.0,4.0,3.0,0.0,37.0,39.0,14.0,15.0,2.0,3.0,,,90.0,63.0,6.8,0.0369062,1,,,,,,3.0,5.0,2.0,1.0,,1.0,1.0,,,,4.0,0.08,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,
12421255,home,Club Brugge KV,Ardon Jashari,ardon-jashari,A. Jashari,M,30,180.0,4830,M,1034082,EUR,1027987200,M,30,30,False,59.0,53.0,6.0,5.0,1.0,24.0,26.0,29.0,34.0,1.0,,,,88.0,72.0,8.5,0.393883,2,,,,1.0,,2.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,10.0,0.3797,1.0,1.0,,,,,,1.0,1.0,0.7364,2.0,,,,,,,,,,
12421255,home,Club Brugge KV,Christos Tzolis,tzolis-christos,C. Tzolis,M,8,180.0,9518,M,1031259,EUR,1012348800,M,8,8,False,29.0,26.0,2.0,1.0,0.0,9.0,9.0,17.0,22.0,,5.0,,,88.0,43.0,7.2,0.176831,3,,,,2.0,,4.0,3.0,1.0,1.0,,1.0,2.0,2.0,,,8.0,0.1049,3.0,,1.0,,,,2.0,1.0,,0.0198,2.0,absolute_christostzolis,1.0,,,,,,,,
12421255,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194.0,2941,M,118085,EUR,714614400,M,20,20,False,71.0,67.0,6.0,5.0,1.0,30.0,31.0,37.0,40.0,,6.0,,,90.0,90.0,7.5,0.152139,0,,,,,,5.0,7.0,3.0,1.0,1.0,,4.0,2.0,3.0,1.0,12.0,,3.0,1.0,,,1.0,,,,,,2.0,,,True,,,,,,,
12421255,home,Club Brugge KV,Ferran Jutglà,ferran-jutgla,F. Jutglà,F,9,175.0,3732,M,949962,EUR,917827200,M,9,9,False,39.0,31.0,3.0,3.0,2.0,10.0,11.0,21.0,28.0,1.0,4.0,,,90.0,60.0,10.0,0.514518,10,,,,,,4.0,7.0,3.0,2.0,2.0,1.0,,,,1.0,10.0,1.3788,4.0,1.0,5.0,,4.0,1.0,,4.0,1.0,0.5802,1.0,,,,1.0,2.0,2.0,,,,
