match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,stat_totalContest,stat_wonContest,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_totalOffside
14109746,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,12.0,7.0,5.0,1.0,0.0,7.0,8.0,4.0,3.0,2.0,3.0,90.0,18.0,7.4,5.0,4.383e-05,3.0213348043539,1.0,-0.42,-0.42,0.38,0,0.9537,0.02,-0.01,0.18,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109746,home,Alanyaspor,Fatih Aksoy,,,fatih-aksoy,F. Aksoy,D,20,189,69,M,827922,EUR,878774400,D,20,20,False,43.0,37.0,4.0,2.0,0.0,18.0,20.0,23.0,4.0,,,90.0,52.0,7.0,6.0,0.0112457,45.873412264356,8.0,17.64,6.72,,0,,0.23,0.05,0.19,,True,19.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14109746,home,Alanyaspor,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,3,3,False,57.0,51.0,5.0,1.0,0.0,33.0,33.0,24.0,3.0,,,90.0,71.0,6.9,7.0,0.00646717,76.947723086483,11.0,33.39,8.505,,3,,0.17,0.03,0.26,,,18.0,1.0,4.0,5.0,,6.0,,,,2.0,3.0,3.0,1.0,3.0,1.0,1.0,0.2649,-0.34,,,,,,,,,,,,,,,,,
14109746,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,48.0,40.0,4.0,1.0,0.0,15.0,19.0,29.0,1.0,,,90.0,63.0,7.5,10.0,0.257204,6.8099684768058,2.0,0.63,3.57,,0,,0.4,0.0,-0.01,,,25.0,1.0,5.0,9.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
14109746,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,M,94,94,False,28.0,20.0,4.0,1.0,0.0,4.0,5.0,23.0,1.0,,,89.0,52.0,6.8,19.0,0.281453,43.177466035753,7.0,31.71,13.335,,0,,0.39,-0.05,-0.05,,,16.0,1.0,2.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,13.0,3.0,2.0,3.0,,,,,,,,,,,,,
14109746,home,Alanyaspor,Gaius Makouta,,,makouta-gaius,G. Makouta,M,42,180,298,M,847013,EUR,869788800,M,42,42,False,52.0,46.0,6.0,4.0,0.0,15.0,17.0,35.0,5.0,,,90.0,62.0,6.9,11.0,0.0645596,107.59829969436,11.0,71.505,19.53,,1,,0.34,0.22,0.0,,,31.0,1.0,5.0,2.0,,,,1.0,,,1.0,,,1.0,,1.0,0.0168,-0.16,1.0,,,,2.0,2.0,1.0,,,,,,,,,,
14109746,home,Alanyaspor,Maestro,,,maestro,Maestro,M,58,173,1198,M,1002146,EUR,1059955200,M,58,58,False,27.0,27.0,,,0.0,13.0,13.0,14.0,2.0,,,65.0,30.0,6.8,1.0,0.0121366,30.059993364874,3.0,6.615,8.4,,0,,0.13,0.01,0.13,,,14.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14109746,home,Alanyaspor,Ruan,,,ruan,Ruan,M,11,172,179,M,1400494,EUR,1115078400,M,11,11,False,28.0,24.0,1.0,1.0,0.0,15.0,16.0,12.0,4.0,,,88.0,67.0,6.8,18.0,0.0150044,123.38271136679,11.0,65.835,24.99,,0,,-0.08,-0.29,-0.03,,,9.0,,8.0,6.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,,,,,4.0,,,1.0,,,,1.0,6.0,1.0,,,,,,,,,,
14109746,home,Alanyaspor,Ianis Hagi,,,ianis-hagi,I. Hagi,M,14,180,7108,M,756344,EUR,909014400,F,14,14,False,36.0,32.0,1.0,1.0,0.0,8.0,10.0,26.0,5.0,,,90.0,70.0,7.4,15.0,0.35117,185.6153540484,17.0,120.96,24.99,,2,,0.5,0.28,0.16,,,24.0,1.0,4.0,5.0,,2.0,1.0,,,4.0,,,,1.0,,,0.0782,-0.23,13.0,6.0,,2.0,,4.0,1.0,ianishagi,1.0,0.041,,,,,,,
14109746,home,Alanyaspor,Ui-Jo Hwang,,,ui-jo-hwang,U. Hwang,F,16,186,1040,M,791314,EUR,714960000,F,16,16,False,26.0,20.0,2.0,,0.0,7.0,8.0,18.0,3.0,,,79.0,36.0,6.5,9.0,0.0102507,59.411422580973,9.0,10.92,13.65,,1,,-0.32,0.02,0.0,,,13.0,1.0,4.0,6.0,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,0.1468,-0.51,1.0,,,1.0,,3.0,1.0,,,,,,,,,,
