match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalOffside,captain,stat_totalCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_punches
10407389,home,KRC Genk,Maarten Vandevoordt,maarten-vandevoordt,M. Vandevoordt,G,26,192,1417,M,934385,EUR,1014681600,G,26,26,False,22.0,14.0,15.0,7.0,11.0,12.0,3.0,10.0,6.0,1.0,4.0,4.0,90.0,30.0,6.7,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407389,home,KRC Genk,Ángelo Preciado,angelo-preciado,Á. Preciado,M,23,178,3022,M,881844,EUR,887760000,D,77,77,False,48.0,43.0,4.0,2.0,26.0,26.0,17.0,22.0,9.0,,,,84.0,66.0,6.7,5.0,1,,,1.0,5.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,
10407389,home,KRC Genk,Mujaid Sadick,mujaid-sadick,M. Sadick,D,3,185,237,M,935309,EUR,952992000,D,3,3,False,42.0,38.0,5.0,2.0,32.0,33.0,6.0,9.0,6.0,,,,90.0,57.0,6.8,5.0,1,,,2.0,6.0,3.0,,,,,,3.0,1.0,1.0,,2.0,,5.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,
10407389,home,KRC Genk,Mark McKenzie,mark-mckenzie,M. McKenzie,D,3,183,655,M,922759,EUR,919900800,D,2,2,False,53.0,49.0,10.0,6.0,35.0,36.0,14.0,17.0,6.0,,,,90.0,63.0,6.8,4.0,1,,,1.0,2.0,3.0,,2.0,2.0,,1.0,1.0,,,,1.0,,1.0,,6.0,,,,True,,,,,,,,,
10407389,home,KRC Genk,Gerardo Arteaga,gerardo-arteaga,G. Arteaga,D,3,173,772,M,856129,EUR,905126400,D,5,5,False,50.0,43.0,5.0,4.0,21.0,23.0,22.0,28.0,7.0,,,,90.0,68.0,6.4,11.0,0,,,2.0,4.0,5.0,1.0,3.0,2.0,,,,,,1.0,,,1.0,,4.0,,,,,1.0,1.0,,,,,,,
10407389,home,KRC Genk,Aziz Ouattara Mohammed,aziz-ouattara-mohammed,A. O. Mohammed,M,32,189,170,M,989070,EUR,978566400,M,4,4,False,35.0,28.0,1.0,1.0,14.0,17.0,14.0,19.0,6.0,,,,90.0,54.0,7.6,12.0,1,,,1.0,6.0,7.0,,4.0,4.0,,,1.0,1.0,,1.0,3.0,1.0,1.0,,4.0,1.0,2.0,,,1.0,2.0,1.0,1.0,,,,,
10407389,home,KRC Genk,Patrik Hrošovský,patrik-hrosovsky,P. Hrošovský,M,17,172,366,M,198282,EUR,703900800,M,17,17,False,41.0,37.0,4.0,4.0,22.0,23.0,16.0,20.0,11.0,,,,90.0,55.0,7.4,10.0,0,,,,2.0,4.0,,1.0,,,,,2.0,1.0,2.0,,1.0,,,2.0,,1.0,,,2.0,1.0,,,1.0,1.0,1.0,,
10407389,home,KRC Genk,Joseph Paintsil,joseph-paintsil,J. Paintsil,F,28,167,2698,M,901285,EUR,886291200,M,28,28,False,16.0,14.0,,,4.0,5.0,10.0,12.0,5.0,,,,89.0,42.0,8.0,12.0,6,,,,10.0,5.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,,4.0,1.0,,1.0,2.0,4.0,2.0,1.0,,,,
10407389,home,KRC Genk,Bilal El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25244,M,1126569,EUR,1084147200,M,34,34,False,32.0,24.0,4.0,3.0,8.0,12.0,16.0,20.0,3.0,,,,75.0,50.0,7.9,11.0,2,Bilal,El Khannouss,,4.0,6.0,2.0,4.0,2.0,,,,2.0,1.0,2.0,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,bilalekns_34,
10407389,home,KRC Genk,Mike Trésor,mike-tresor,M. Trésor,M,31,175,1089,M,826183,EUR,927849600,M,11,11,False,34.0,28.0,2.0,,8.0,8.0,22.0,35.0,3.0,,,,89.0,56.0,7.1,20.0,0,,,,10.0,3.0,1.0,6.0,1.0,,,1.0,1.0,,1.0,2.0,4.0,1.0,,,,1.0,,,9.0,1.0,,,2.0,2.0,1.0,,
