match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,isHome,incidentClass,player_id,player_name,injury,confirmed
12501535,FT,2.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,
12501535,,,,,90,0.0,,1,,,injuryTime,4.0,,,,,,,
12501535,,2.0,3.0,,89,,,2,,,goal,,315811639.0,False,regular,914501.0,Mateo Retegui,,
12501535,,,,,81,,,10,,,substitution,,124019996.0,False,regular,,,False,
12501535,,,,,77,,,14,,,substitution,,124019938.0,True,injury,,,True,
12501535,,,,,77,,,14,,,substitution,,124019904.0,True,regular,,,False,
12501535,,,,,74,,,17,,,substitution,,124019881.0,False,regular,,,False,
12501535,,,,,74,,,17,,,substitution,,124019880.0,False,regular,,,False,
12501535,,,,,74,,,17,,,substitution,,124019865.0,False,regular,,,False,
12501535,,,,,67,,,24,,,substitution,,124019783.0,True,regular,,,False,
12501535,,,,,66,,,25,,,substitution,,124019772.0,True,regular,,,False,
12501535,,2.0,2.0,,63,,,28,,,goal,,315810663.0,False,regular,970928.0,Daniel Maldini,,
12501535,,2.0,1.0,,58,,,33,,,goal,,315810512.0,True,regular,826198.0,Andrea Pinamonti,,
12501535,,,,,56,,,35,,,substitution,,124019691.0,False,regular,,,False,
12501535,,1.0,1.0,,47,,,44,,,goal,,315810052.0,False,regular,105905.0,Ibrahim Sulemana,,
12501535,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,
12501535,,,,,45,1.0,,1,,,varDecision,,33888.0,True,goalAwarded,250547.0,Mattia Bani,,False
12501535,,,,,45,0.0,,1,,,injuryTime,2.0,,,,,,,
12501535,,1.0,0.0,,37,,,9,,,goal,,315799870.0,True,regular,826198.0,Andrea Pinamonti,,
12501535,,,,,35,,,11,,,substitution,,124019306.0,True,injury,,,True,
