match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_outfielderBlock,stat_keyPass,stat_bigChanceCreated,stat_fouls,stat_accurateCross,stat_totalContest,stat_shotOffTarget,stat_errorLeadToAShot,stat_wasFouled,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotValueNormalized,player_firstName,stat_dispossessed,stat_wonContest,stat_hitWoodwork,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_lastName,player_sofascoreId,stat_bigChanceMissed,stat_blockedScoringAttempt
14773697,home,Al-Fayha,Orlando Mosquera,orlando-mosquera,O. Mosquera,G,52,191.0,495,M,886041,EUR,788313600.0,G,52,52,False,26.0,18.0,11.0,4.0,0.0,17.0,19.0,1.0,7.0,1.0,1.0,3.0,6.0,3.0,5.0,1.0,90.0,39.0,8.2,9.0,0.00023993,30.424657952254,5.0,-0.105,6.195,0.7391,0,0.6522,0.04,-0.03,0.23,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773697,home,Al-Fayha,Mohammed Al Baqawi,mohammed-al-baqawi,M. A. Baqawi,D,22,170.0,21,M,893199,EUR,805507200.0,D,22,22,False,39.0,32.0,3.0,2.0,0.0,23.0,25.0,9.0,14.0,,2.0,2.0,,,,,90.0,64.0,7.1,11.0,0.00981007,139.8779160053,15.0,64.365,18.165,,0,,-0.05,0.1,0.2,,True,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14773697,home,Al-Fayha,Chris Smalling,chris-smalling,C. Smalling,D,5,192.0,1654,M,47741,EUR,627696000.0,D,5,5,False,33.0,32.0,2.0,2.0,0.0,25.0,26.0,7.0,7.0,,,2.0,2.0,,,,90.0,36.0,7.0,1.0,0.0522939,69.714878116748,9.0,-2.31,7.035,,0,,0.09,0.01,0.33,,,,2.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14773697,home,Al-Fayha,Mikel Villanueva,mikel-villanueva,M. Villanueva,D,17,192.0,345,M,836279,EUR,734745600.0,D,17,17,False,27.0,24.0,5.0,2.0,0.0,17.0,17.0,7.0,10.0,,3.0,6.0,2.0,,,,89.0,39.0,7.0,4.0,0.117417,40.116332101866,8.0,-20.16,6.93,,0,,0.27,-0.07,0.28,,,,4.0,,1.0,3.0,3.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
14773697,home,Al-Fayha,Ahmed Bamasud,ahmed-bamasud,A. Bamasud,D,18,175.0,114,M,893197,EUR,816998400.0,D,18,18,False,39.0,32.0,4.0,2.0,0.0,13.0,16.0,19.0,23.0,,7.0,3.0,1.0,,,,89.0,73.0,7.3,18.0,0.0578861,192.19769648192,19.0,137.55,25.83,,1,,0.13,0.33,0.0,,,6.0,4.0,,,5.0,3.0,3.0,,,1.0,,2.0,1.0,2.0,1.0,1.0,2.0,0.0735,97.128595628855,5.0,-0.34,,,,,,,,,,,,
14773697,home,Al-Fayha,Rakan Kaabi,rakan-kaabi,R. Kaabi,M,6,170.0,25,M,1171233,EUR,1038787200.0,M,6,6,False,37.0,32.0,5.0,4.0,0.0,17.0,17.0,15.0,20.0,1.0,5.0,1.0,6.0,,,,89.0,48.0,7.1,7.0,0.0141863,51.889499862954,8.0,-15.855,4.2,,0,,0.15,0.01,0.23,,,,2.0,,1.0,2.0,2.0,1.0,,,1.0,,1.0,,1.0,,,2.0,,,,,Rakan Kaabi,,,,,,,,,,,
14773697,home,Al-Fayha,Alfa Semedo,alfa-semedo,A. Semedo,M,30,190.0,367,M,887343,EUR,872899200.0,M,30,30,False,55.0,44.0,4.0,2.0,0.0,15.0,17.0,29.0,38.0,1.0,4.0,,8.0,,,,90.0,67.0,6.6,16.0,0.0217007,192.24460469425,21.0,98.175,25.305,,1,,0.04,0.24,-0.07,,,2.0,6.0,2.0,,1.0,,2.0,1.0,,2.0,,2.0,,2.0,1.0,,,0.0977,47.314694472942,2.0,-0.22,,1.0,2.0,1.0,1.0,,,,,,,
14773697,home,Al-Fayha,Sabri Abdu Dahal,sabri-abdu-dahal,S. A. Dahal,F,72,172.0,88,M,1935210,EUR,1204243200.0,M,72,72,False,21.0,18.0,,,0.0,6.0,6.0,12.0,15.0,1.0,11.0,2.0,2.0,,,,89.0,48.0,8.6,17.0,0.0154369,136.47073717496,13.0,110.355,50.715,,1,,0.11,0.34,0.3,,,6.0,6.0,1.0,,5.0,5.0,3.0,,,1.0,,,,9.0,,,1.0,0.1336,68.169255581793,2.0,0.51,Sabri Abdu Dahal,,4.0,,,1.0,1.0,0.4784,,,,
14773697,home,Al-Fayha,Yassine Benzia,yassine-benzia,Y. Benzia,M,8,181.0,9531,M,155718,EUR,778982400.0,M,8,8,False,62.0,54.0,2.0,1.0,1.0,21.0,23.0,33.0,39.0,,4.0,,7.0,,,,90.0,77.0,7.2,12.0,0.0399769,230.83457539937,25.0,45.465,28.035,,1,,0.01,0.21,-0.02,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,,,3.0,0.1366,39.482019109549,2.0,0.09,,2.0,,,1.0,1.0,,0.219,,benzia9,1.0,
14773697,home,Al-Fayha,Fashion Sakala,fashion-sakala,F. Sakala,F,10,178.0,8842,M,876626,EUR,858297600.0,M,10,10,False,35.0,30.0,1.0,1.0,0.0,7.0,8.0,23.0,27.0,,5.0,,3.0,,,,89.0,60.0,8.4,18.0,0.378961,300.87357619383,26.0,149.415,31.08,,4,,0.31,0.64,-0.01,,,4.0,7.0,,,,,4.0,1.0,,3.0,,,1.0,8.0,2.0,,1.0,0.1332,188.47274841781,10.0,0.49,,2.0,4.0,,1.0,2.0,1.0,0.4655,,fashionjr10,,
