match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalContest,stat_wonContest,stat_challengeLost,stat_shotOffTarget,stat_fouls,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11352564,home,Tottenham Hotspur,Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7123,M,guglielmovicario,553606,EUR,844646400,G,13,13,False,34.0,31.0,3.0,1.0,30.0,33.0,1.0,1.0,1.0,1.0,5.0,1.0,90.0,38.0,6.3,3.0,0.00024708,0,-0.3674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352564,home,Tottenham Hotspur,Emerson Royal,emerson-royal,E. Royal,D,22,183,10057,M,emerson_royal,856123,EUR,916272000,D,12,12,False,59.0,52.0,2.0,,24.0,26.0,29.0,38.0,2.0,7.0,8.0,,90.0,88.0,7.3,12.0,0.0339479,0,,5.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11352564,home,Tottenham Hotspur,Cristian Romero,cristian-romero,C. Romero,D,17,185,37910,M,cutiromero2,829932,EUR,893635200,D,17,17,False,126.0,117.0,4.0,3.0,59.0,63.0,58.0,64.0,6.0,6.0,3.0,,90.0,132.0,8.1,11.0,0.0281712,2,,1.0,,2.0,2.0,,,1.0,,,1.0,,,,2.0,1.0,0.2131,0.857,,,,,,,,,,,,,,,,,,,
11352564,home,Tottenham Hotspur,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12526,M,mickyvdven,998247,EUR,987638400,D,37,37,False,101.0,95.0,3.0,2.0,55.0,57.0,40.0,44.0,1.0,9.0,6.0,,90.0,113.0,7.2,7.0,0.0291516,0,,,,2.0,3.0,1.0,,,3.0,2.0,,3.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,
11352564,home,Tottenham Hotspur,Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5941,M,udogiethree,983572,EUR,1038441600,D,38,38,False,78.0,70.0,1.0,,29.0,32.0,41.0,47.0,2.0,4.0,2.0,,90.0,92.0,6.7,12.0,0.0418783,1,,1.0,,1.0,6.0,2.0,,,1.0,,1.0,1.0,,,,,0.0677,,,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,
11352564,home,Tottenham Hotspur,Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,19170,M,YB8,844842,EUR,841363200,M,8,8,False,115.0,109.0,5.0,4.0,40.0,41.0,69.0,75.0,2.0,6.0,8.0,,89.0,129.0,7.4,8.0,0.066999,0,,1.0,,1.0,4.0,2.0,,1.0,2.0,2.0,,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,
11352564,home,Tottenham Hotspur,Rodrigo Bentancur,bentancur-rodrigo,R. Bentancur,M,30,187,8306,M,rodrigo_bentancur,791190,EUR,867196800,M,30,30,False,59.0,52.0,2.0,2.0,11.0,11.0,41.0,48.0,1.0,3.0,4.0,,63.0,72.0,6.8,12.0,0.0261741,1,,,,1.0,6.0,1.0,,,1.0,1.0,3.0,1.0,,,,,0.0238,,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,,
11352564,home,Tottenham Hotspur,Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,11735,M,dejan_k10,928124,EUR,956620800,M,21,21,False,56.0,43.0,,,6.0,7.0,38.0,53.0,1.0,4.0,5.0,,90.0,70.0,7.2,21.0,0.266004,0,,4.0,1.0,2.0,4.0,,,,3.0,3.0,3.0,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,
11352564,home,Tottenham Hotspur,James Maddison,james-maddison,J. Maddison,M,10,175,15672,M,Madders,356398,EUR,848707200,M,10,10,False,60.0,53.0,6.0,4.0,11.0,11.0,42.0,61.0,,10.0,4.0,,82.0,88.0,8.3,24.0,0.503822,0,,12.0,,,3.0,,,,3.0,1.0,1.0,5.0,,,,,,,1.0,3.0,2.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,
11352564,home,Tottenham Hotspur,Timo Werner,timo-werner,T. Werner,F,36,180,19084,M,timowerner,232306,EUR,826070400,M,16,16,False,36.0,33.0,,,7.0,7.0,27.0,33.0,,2.0,3.0,,82.0,49.0,8.0,8.0,0.138381,4,,4.0,1.0,,2.0,,,,,,1.0,,,,3.0,1.0,0.8564,0.9766,1.0,2.0,2.0,1.0,,,2.0,,,1.0,1.0,2.0,,,,,,,
11352564,home,Tottenham Hotspur,Heung-min Son,heung-min-son,H. M. Son,F,7,184,117494,M,HMSon,111505,EUR,710553600,F,7,7,False,23.0,17.0,1.0,,6.0,6.0,11.0,17.0,,1.0,1.0,,89.0,35.0,7.9,10.0,0.283768,5,,,,1.0,2.0,,,,,,2.0,1.0,,,1.0,1.0,0.5409,0.7407,,1.0,,,3.0,,3.0,,2.0,,1.0,,True,1.0,,,,,
11352564,home,Tottenham Hotspur,Brennan Johnson,brennan-johnson,B. Johnson,F,11,186,10704,M,brenjohnson_,1085180,EUR,990576000,F,22,22,True,19.0,12.0,1.0,1.0,5.0,6.0,7.0,13.0,,1.0,1.0,,27.0,28.0,7.7,11.0,0.18018,1,,,,1.0,5.0,,,,1.0,1.0,1.0,,,,,,0.2104,,,3.0,,1.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,
11352564,home,Tottenham Hotspur,Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,32679,M,pape,1002711,EUR,1031961600,M,29,29,True,14.0,13.0,,,7.0,8.0,6.0,6.0,,1.0,1.0,,8.0,17.0,6.5,2.0,0.00249955,0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
