match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalContest,stat_wonContest,stat_accurateCross,stat_goals,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_errorLeadToAShot
11409135,home,Benfica,Anatoliy Trubin,anatoliy-trubin,A. Trubin,G,1,200,9533,M,anatoliytrubin81,966616,EUR,996624000,G,1,1,False,20.0,16.0,8.0,4.0,15.0,15.0,1.0,5.0,2.0,3.0,2.0,2.0,1.0,90.0,26.0,6.9,4.0,0.00017643,0,0.2671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409135,home,Benfica,Fredrik Aursnes,fredrik-aursnes,F. Aursnes,M,8,179,3950,M,,228364,EUR,818553600,D,8,8,False,43.0,35.0,8.0,4.0,11.0,15.0,24.0,31.0,4.0,3.0,,,,90.0,64.0,7.9,12.0,0.76453,0,,1.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
11409135,home,Benfica,António Silva,antonio-silva,A. Silva,D,4,187,8155,M,antoniosilva.66,1006069,EUR,1067472000,D,4,4,False,45.0,39.0,5.0,3.0,27.0,30.0,12.0,15.0,3.0,9.0,,,,90.0,58.0,7.1,8.0,0.355091,0,,,,4.0,7.0,,2.0,2.0,1.0,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11409135,home,Benfica,Nicolás Otamendi,nicolas-otamendi,N. Otamendi,D,30,183,17844,M,Notamendi30,74915,EUR,571622400,D,30,30,False,45.0,40.0,7.0,4.0,27.0,29.0,13.0,16.0,3.0,2.0,,,,90.0,57.0,7.2,7.0,0.00484085,3,,,,2.0,5.0,,2.0,2.0,2.0,,,,,1.0,1.0,,1.0,1.0,,True,1.0,1.0,1.0,0.1984,0.1469,,,,,,,,,,
11409135,home,Benfica,Morato,morato,F. Morato,D,4,190,2248,M,,985086,EUR,993859200,D,5,5,False,54.0,39.0,5.0,3.0,20.0,24.0,19.0,33.0,1.0,15.0,,,,90.0,80.0,7.9,23.0,0.101712,0,,1.0,3.0,1.0,12.0,,10.0,6.0,,1.0,,,1.0,4.0,1.0,,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,,
11409135,home,Benfica,Florentino Luís,florentino-luis,F. Luís,M,16,184,3615,M,,855845,EUR,935020800,M,61,61,False,34.0,31.0,1.0,1.0,15.0,16.0,16.0,18.0,2.0,6.0,,,,64.0,46.0,7.4,5.0,0.0441029,0,,,,,6.0,,6.0,4.0,2.0,1.0,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,
11409135,home,Benfica,João Neves,joao-neves,J. Neves,M,87,174,37142,M,joao_neves,1190933,EUR,1096243200,M,87,87,False,50.0,45.0,6.0,3.0,20.0,21.0,27.0,36.0,1.0,6.0,,,,90.0,87.0,8.5,17.0,0.081419,1,,,7.0,1.0,13.0,,6.0,4.0,2.0,,,,1.0,8.0,,,4.0,2.0,3.0,,,1.0,,0.1204,0.1258,2.0,6.0,4.0,2.0,1.0,,,,,
11409135,home,Benfica,Ángel Di María,angel-di-maria,Á. Di María,F,11,180,84815,M,ÁDiMaría,30027,EUR,571795200,M,11,11,False,31.0,24.0,4.0,4.0,2.0,2.0,26.0,39.0,,1.0,,,,90.0,57.0,7.5,21.0,0.348387,1,,,10.0,1.0,4.0,,,,,3.0,,,,8.0,1.0,,,,,,,1.0,,0.0241,0.1706,4.0,6.0,3.0,4.0,,1.0,1.0,,,
11409135,home,Benfica,Rafa Silva,rafa-silva,R. Silva,M,27,170,16782,M,Rafa_Silva,252577,EUR,737596800,M,27,27,False,29.0,23.0,2.0,1.0,4.0,4.0,19.0,25.0,,5.0,,,,90.0,47.0,6.4,16.0,0.263892,3,,,,2.0,6.0,,,,3.0,1.0,,,,8.0,1.0,,,3.0,1.0,,2.0,,1.0,0.208,,5.0,3.0,1.0,,,1.0,1.0,1.0,,
11409135,home,Benfica,João Mário,joao-mario,J. Mário,M,10,179,3804,M,JoaoMario,97001,EUR,727401600,M,20,20,False,48.0,40.0,5.0,2.0,9.0,12.0,31.0,42.0,,9.0,,,,87.0,77.0,7.1,23.0,0.0415183,1,,,6.0,,5.0,,3.0,1.0,6.0,1.0,,,1.0,5.0,,,1.0,1.0,1.0,,1.0,,,0.034,,2.0,2.0,1.0,,,,,,,
