match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_wasFouled,captain,stat_dispossessed,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_hitWoodwork,stat_bigChanceMissed,stat_bigChanceCreated,stat_goodHighClaim,stat_punches,stat_blockedScoringAttempt,stat_totalOffside
10390101,home,Angers,Paul Bernardoni,,,paul-bernardoni,P. Bernardoni,G,40,190,166,M,361314,EUR,861321600,G,1,1,False,14.0,11.0,5.0,2.0,11.0,12.0,2.0,5.0,2.0,4.0,90.0,23.0,6.6,4.0,0.0,0.0,5.611e-05,0,0.3468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390101,home,Angers,Abdoulaye Bamba,,,abdoulaye-bamba,A. Bamba,D,25,182,172,M,121180,EUR,641001600,D,25,25,False,58.0,51.0,4.0,2.0,31.0,32.0,31.0,9.0,,,90.0,75.0,6.9,13.0,0.0,0.0,0.157427,0,,20.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10390101,home,Angers,Cédric Hountondji,,,cedric-hountondji,C. Hountondji,D,4,195,551,M,342911,EUR,758937600,D,22,22,False,55.0,49.0,6.0,3.0,38.0,40.0,15.0,5.0,,,90.0,66.0,6.5,7.0,0.0,0.0,0.00372644,0,,11.0,,4.0,,,3.0,1.0,,3.0,3.0,9.0,1.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,
10390101,home,Angers,Miha Blažič,,,miha-blazic,M. Blažič,D,16,185,178,M,96552,EUR,736819200,D,5,5,False,66.0,57.0,5.0,3.0,39.0,46.0,20.0,4.0,,,90.0,74.0,6.7,9.0,0.0,0.0,0.00525298,0,,18.0,,4.0,,,4.0,,,,3.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,
10390101,home,Angers,Pierrick Capelle,,,pierrick-capelle,P. Capelle,M,15,181,58,M,209768,EUR,545443200,D,15,15,False,56.0,49.0,2.0,1.0,25.0,27.0,30.0,8.0,,,69.0,78.0,6.1,12.0,0.0,0.0,0.0108716,0,,24.0,1.0,4.0,,,,4.0,1.0,1.0,,7.0,4.0,,4.0,2.0,1.0,,True,1.0,,,,,,,,,,,,,,
10390101,home,Angers,Batista Mendy,,,batista-mendy,B. Mendy,M,19,191,1300,M,859021,EUR,947635200,M,2,2,False,38.0,36.0,1.0,1.0,14.0,14.0,25.0,4.0,,,59.0,44.0,6.3,5.0,0.0,0.0,0.0219096,0,,22.0,1.0,1.0,1.0,1.0,,,,,,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
10390101,home,Angers,Nabil Bentaleb,,,nabil-bentaleb,N. Bentaleb,M,6,187,8306,M,368120,EUR,785635200,M,6,6,False,99.0,90.0,7.0,5.0,43.0,47.0,56.0,12.0,,,90.0,118.0,7.4,14.0,0.0621,0.0,0.192619,2,,48.0,4.0,7.0,2.0,1.0,1.0,3.0,1.0,,1.0,7.0,3.0,,2.0,1.0,3.0,2.0,,,nabilbentaleb,1.0,1.0,2.0,1.0,,,,,,,,,
10390101,home,Angers,Farid El Melali,,,farid-el-melali,F. El Melali,M,28,173,1171,M,930584,EUR,862790400,M,28,28,False,7.0,7.0,1.0,1.0,2.0,2.0,5.0,2.0,,,23.0,11.0,6.5,2.0,0.0,0.0,0.00560734,0,,5.0,,1.0,1.0,,,1.0,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10390101,home,Angers,Adrien Hunou,,,adrien-hunou,A. Hunou,M,23,176,98,M,283083,EUR,758937600,M,23,23,False,23.0,22.0,,,6.0,7.0,17.0,,,,60.0,30.0,6.3,6.0,0.0,0.0,0.0157619,0,,16.0,1.0,1.0,,,,1.0,1.0,,,3.0,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,
10390101,home,Angers,Sofiane Boufal,,,sofiane-boufal,S. Boufal,F,17,175,14009,M,257205,EUR,748224000,M,7,7,False,69.0,58.0,3.0,1.0,11.0,12.0,63.0,4.0,,,90.0,109.0,7.6,28.0,0.0456,0.2503,0.0417927,1,,47.0,6.0,16.0,13.0,8.0,,3.0,3.0,1.0,,10.0,1.0,,2.0,2.0,1.0,5.0,,2.0,Sofianeboufal_19,,,,,1.0,1.0,,,,,,,
