match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_errorLeadToAShot,stat_shotOffTarget,stat_dispossessed,stat_challengeLost,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_clearanceOffLine,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_penaltyFaced,stat_penaltyConceded
12514068,home,CD Nacional,Lucas França,lucas-franca,L. França,G,37,194,104,M,832672,EUR,822009600,G,37,37,False,31.0,13.0,21.0,3.0,0.0,11.0,11.0,2.0,20.0,1.0,1.0,11.0,1.0,5.0,5.0,5.0,90.0,47.0,8.3,18.0,0.00072129,0,1.5552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514068,home,CD Nacional,Gustavo García,gustavo-garcia,G. García,D,2,175,678,M,1002443,EUR,1010102400,D,22,22,False,26.0,15.0,5.0,2.0,1.0,9.0,16.0,7.0,12.0,4.0,3.0,9.0,1.0,,,,90.0,49.0,7.2,17.0,0.0307916,1,,,,2.0,1.0,6.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0129,1.0,,,,,,,,,,,,,,,,,,
12514068,home,CD Nacional,Ulisses,ulisses,Ulisses,D,4,183,102,M,926869,EUR,938476800,D,4,4,False,33.0,24.0,8.0,2.0,0.0,21.0,24.0,3.0,9.0,5.0,6.0,5.0,,,,,90.0,50.0,7.4,11.0,0.00125548,0,,,,,,2.0,4.0,,3.0,2.0,2.0,2.0,2.0,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12514068,home,CD Nacional,Ze Vitor,ze-vitor,Zé Vitor,D,38,189,125,M,1112474,EUR,981676800,D,38,38,False,34.0,28.0,13.0,7.0,0.0,21.0,22.0,7.0,12.0,,5.0,,,,,,90.0,45.0,7.1,7.0,0.00281025,0,,,,,,1.0,2.0,,,,,1.0,2.0,,,,,,3.0,1.0,,,,,,,,,,,,,
12514068,home,CD Nacional,José Gomes,jose-gomes,J. Gomes,D,5,185,33,M,344181,EUR,837820800,D,5,5,False,24.0,17.0,4.0,2.0,0.0,12.0,15.0,5.0,11.0,3.0,1.0,4.0,2.0,,,,90.0,41.0,7.2,13.0,0.00180646,1,,,,2.0,,3.0,3.0,,1.0,,,1.0,,0.0187,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,
12514068,home,CD Nacional,Daniel Penha,daniel-penha,D. Penha,M,14,170,229,M,862256,EUR,908582400,M,17,17,False,10.0,7.0,,,0.0,4.0,5.0,3.0,9.0,2.0,1.0,,1.0,,,,76.0,21.0,6.6,8.0,0.00803479,0,,,,4.0,,3.0,6.0,,,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,
12514068,home,CD Nacional,Matheus Dias,dias-matheus,Matheus Dias,M,6,187,228,M,1020610,EUR,1020902400,M,88,88,False,29.0,22.0,4.0,2.0,0.0,17.0,20.0,5.0,9.0,10.0,4.0,6.0,1.0,,,,90.0,45.0,7.0,9.0,0.0046435,0,,,,,,,5.0,,1.0,3.0,1.0,1.0,3.0,,1.0,4.0,3.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,
12514068,home,CD Nacional,Luís Esteves,luis-esteves,L. Esteves,M,10,171,237,M,1097527,EUR,892080000,M,10,10,False,21.0,15.0,5.0,1.0,0.0,4.0,5.0,11.0,17.0,1.0,1.0,5.0,1.0,,,,90.0,29.0,7.0,7.0,0.0301226,1,,Luís,Esteves,1.0,,1.0,1.0,,,,,,,0.0295,2.0,,,,1.0,,,,,True,1.0,0.0509,,,,,,,
12514068,home,CD Nacional,Nigel Thomas,nigel-thomas,N. Thomas,F,27,177,76,M,916952,EUR,980985600,F,11,11,False,11.0,7.0,2.0,,0.0,4.0,5.0,3.0,9.0,1.0,1.0,3.0,,,,,65.0,29.0,6.9,15.0,0.00143894,0,,,,3.0,,1.0,4.0,,1.0,1.0,,5.0,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,
12514068,home,CD Nacional,Isaac,isaac,Isaac,F,41,181,546,M,1471239,EUR,1080259200,F,23,23,False,12.0,10.0,,,0.0,5.0,6.0,5.0,6.0,3.0,1.0,3.0,2.0,,,,76.0,25.0,7.0,7.0,0.00857922,2,,Isaac,,,,4.0,9.0,,,1.0,1.0,3.0,3.0,0.6543,1.0,,,,,,,2.0,,,2.0,0.9864,,1.0,1.0,1.0,,,
