match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_wonContest,stat_errorLeadToAGoal,captain,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_ownGoals
13981492,home,Torino,Alberto Paleari,alberto-paleari,A. Paleari,G,1,192,344,M,259281,EUR,715046400,G,1,1,False,28.0,20.0,14.0,6.0,0.0,16.0,17.0,4.0,11.0,5.0,2.0,2.0,90.0,33.0,6.8,8.0,0.00155256,0.2835,0,-0.1909,0.02,0.01,-0.08,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981492,home,Torino,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,D,61,61,False,54.0,44.0,6.0,3.0,0.0,20.0,24.0,24.0,30.0,4.0,,,90.0,66.0,6.7,14.0,0.0317798,,0,,0.12,-0.02,-0.1,,1.0,1.0,3.0,4.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13981492,home,Torino,Guillermo Maripán,guillermo-maripan,G. Maripán,D,13,193,2139,M,339909,EUR,768182400,D,13,13,False,66.0,58.0,4.0,3.0,0.0,29.0,33.0,29.0,33.0,4.0,,,90.0,83.0,7.9,8.0,0.0194037,,3,,0.25,0.04,-0.11,,,5.0,1.0,8.0,4.0,1.0,,5.0,,3.0,2.0,,,2.0,1.0,3.0,1.0,1.0,0.324,1.0096,0.6,,,,,,,,,,,,,,,,,
13981492,home,Torino,Saúl Coco,saul-coco,S. Coco,D,23,188,1248,M,1089453,EUR,918518400,D,23,23,False,60.0,51.0,3.0,,0.0,35.0,36.0,16.0,24.0,2.0,,,90.0,72.0,7.3,9.0,0.0833715,,2,,0.1,0.07,0.39,,,2.0,5.0,2.0,8.0,,,2.0,2.0,1.0,1.0,,2.0,,,,,,0.0671,,-0.16,1.0,1.0,2.0,,,,,,,,,,,,,,
13981492,home,Torino,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178,644,M,934409,EUR,963705600,M,16,16,False,41.0,32.0,5.0,,0.0,11.0,13.0,21.0,28.0,1.0,,,90.0,66.0,6.5,25.0,0.392131,,0,,0.44,0.23,-0.13,,13.0,1.0,,7.0,,1.0,1.0,,,,,2.0,,2.0,,,,,,,,,,,2.0,2.0,1.0,2.0,,,,,,,,,,
13981492,home,Torino,Cesare Casadei,cesare-casadei,C. Casadei,M,22,192,6575,M,1016788,EUR,1042156800,M,22,22,False,41.0,36.0,2.0,1.0,0.0,12.0,13.0,24.0,28.0,5.0,,,90.0,54.0,6.4,9.0,0.0124034,,2,,0.07,0.26,-0.08,,,,6.0,5.0,7.0,1.0,1.0,3.0,,,,3.0,,4.0,,1.0,,,0.3005,0.084,-0.6,1.0,,,,1.0,,,,,cesarecasadei,1.0,,,,,,
13981492,home,Torino,Kristjan Asllani,kristjan-asllani,K. Asllani,M,23,179,5914,M,996820,EUR,1015632000,M,32,32,False,49.0,42.0,11.0,7.0,0.0,19.0,20.0,23.0,29.0,3.0,,,60.0,58.0,6.5,10.0,0.0586902,,1,,0.18,0.03,-0.49,,3.0,,,1.0,3.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,,0.1102,,0.02,,1.0,,1.0,,,1.0,,,KristjanAsllani,,1.0,,,,,
13981492,home,Torino,Cristiano Biraghi,cristiano-biraghi,C. Biraghi,D,34,184,1338,M,122848,EUR,715305600,M,34,34,False,26.0,18.0,3.0,,0.0,9.0,10.0,9.0,16.0,2.0,,,60.0,57.0,7.0,17.0,0.116272,,0,,0.08,0.0,0.17,,6.0,,,,3.0,,,3.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
13981492,home,Torino,Nikola Vlašić,nikola-vlasic,N. Vlašić,M,10,178,5477,M,357596,EUR,875923200,F,10,10,False,34.0,28.0,1.0,1.0,0.0,7.0,7.0,21.0,27.0,3.0,,,60.0,45.0,6.9,9.0,0.0188831,,0,,0.02,-0.35,0.17,,,,2.0,2.0,6.0,,3.0,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,,niksivlasic_,3.0,,True,1.0,,,
13981492,home,Torino,Che Adams,che-adams,C. Adams,F,19,175,2940,M,773409,EUR,837216000,F,19,19,False,22.0,18.0,2.0,2.0,0.0,4.0,4.0,14.0,18.0,1.0,,,73.0,29.0,6.8,7.0,0.0531082,,0,,0.24,-0.52,-0.01,,1.0,,1.0,2.0,3.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,
