match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_totalCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_keyPass,stat_dispossessed,stat_bigChanceMissed,stat_errorLeadToAShot,stat_accurateCross,stat_challengeLost,stat_goals,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle
12514232,home,Casa Pia,Patrick Sequeira,patrick-sequeira,P. Sequeira,G,1,190,969,M,821628,EUR,920246400,G,1,1,False,30.0,14.0,20.0,5.0,0.0,11.0,15.0,3.0,15.0,1.0,13.0,1.0,3.0,90.0,37.0,7.0,16.0,0.00071114,0,0.0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514232,home,Casa Pia,João Goulart,joao-goulart,J. Goulart,D,4,191,68,M,1151667,EUR,948931200,D,4,4,False,48.0,39.0,6.0,1.0,0.0,31.0,35.0,8.0,13.0,6.0,4.0,,,90.0,64.0,7.3,9.0,0.00239033,1,,,,4.0,3.0,1.0,8.0,1.0,2.0,2.0,3.0,0.0362,,,,,,,,,,,,,,,,,,,,,,,
12514232,home,Casa Pia,José Fonte,jose-fonte,J. Fonte,D,6,191,691,M,27622,EUR,440899200,D,6,6,False,39.0,35.0,5.0,2.0,0.0,28.0,30.0,7.0,9.0,1.0,10.0,,,90.0,53.0,7.3,5.0,0.00160174,1,,,,,3.0,,8.0,1.0,1.0,1.0,2.0,0.0321,True,1.0,1.0,1.0,1.0,0.3797,,,,,,,,,,,,,,,,,
12514232,home,Casa Pia,Ruben Kluivert,ruben-kluivert,R. Kluivert,D,21,187,1724,M,1014540,EUR,990403200,D,3,3,False,48.0,38.0,6.0,1.0,0.0,30.0,34.0,8.0,14.0,4.0,2.0,,,90.0,63.0,7.1,13.0,0.00706993,0,,,,4.0,4.0,,5.0,,,,2.0,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,
12514232,home,Casa Pia,Gaizka Larrazabal,gaizka-larrazabal,G. Larrazabal,M,72,179,117,M,849719,EUR,882316800,M,72,72,False,32.0,26.0,2.0,1.0,1.0,14.0,16.0,12.0,17.0,5.0,2.0,2.0,,78.0,52.0,7.4,9.0,0.553577,1,,,,1.0,4.0,,,5.0,1.0,1.0,2.0,0.0146,,2.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
12514232,home,Casa Pia,Miguel Sousa,miguel-sousa,M. Sousa,M,20,176,28,M,936367,EUR,906163200,M,14,14,False,53.0,42.0,3.0,1.0,0.0,21.0,24.0,21.0,29.0,9.0,2.0,3.0,,72.0,69.0,7.6,14.0,0.0633419,0,,,,2.0,2.0,,2.0,,2.0,1.0,,,,2.0,,,3.0,,,2.0,2.0,,,,2.0,,,,,,,,,,
12514232,home,Casa Pia,Rafael Brito,rafael-brito,R. Brito,M,8,183,129,M,983537,EUR,1011398400,M,17,17,False,43.0,35.0,5.0,2.0,0.0,19.0,22.0,16.0,22.0,7.0,5.0,2.0,,89.0,63.0,7.0,12.0,0.0160577,3,,,,2.0,7.0,3.0,4.0,1.0,3.0,,1.0,0.1215,,5.0,,,2.0,,1.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,
12514232,home,Casa Pia,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,1006865,EUR,954374400,M,5,5,False,30.0,21.0,8.0,3.0,0.0,12.0,15.0,10.0,19.0,3.0,6.0,,,90.0,51.0,6.7,18.0,0.450048,0,,,,,9.0,,1.0,,3.0,,,,,4.0,,,4.0,,4.0,1.0,,1.0,,,1.0,,,,1.0,4.0,,,,,
12514232,home,Casa Pia,Jérémy Livolant,jeremy-livolant,J. Livolant,F,29,175,282,M,826054,EUR,884304000,F,29,29,False,23.0,16.0,,,0.0,5.0,8.0,13.0,19.0,11.0,3.0,6.0,,90.0,52.0,7.5,14.0,0.0610871,3,,,,3.0,6.0,,3.0,,1.0,1.0,1.0,0.0502,,5.0,1.0,,5.0,0.0899,4.0,1.0,1.0,,2.0,,2.0,,,,2.0,,,,,,
12514232,home,Casa Pia,Cassiano,cassiano,Cassiano,F,90,184,251,M,157023,EUR,613958400,F,90,90,False,17.0,12.0,1.0,,0.0,4.0,5.0,9.0,13.0,4.0,1.0,,,72.0,30.0,7.9,8.0,0.0712259,2,,,,2.0,7.0,1.0,1.0,,1.0,1.0,2.0,1.0242,,4.0,1.0,,1.0,0.9951,1.0,1.0,1.0,,,,3.0,1.0,,,1.0,,1.0,,,,
