match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialWon,stat_interceptionWon,stat_wasFouled,stat_unsuccessfulTouch,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_shotOffTarget,player_sofascoreId,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_goalAssist
10438005,home,Chaves,Sandro Cruz,,,cruz-sandro,S. Cruz,D,57,182,281,M,982146,EUR,989625600,D,12,12,True,6.0,2.0,1.0,,1.0,3.0,1.0,4.0,5.0,2.0,2.0,,1.0,,,,,,,11.0,14.0,7.0,7.0,0,1.0,,2.0,2.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,
10438005,home,Chaves,Jô Batista,,,jo-batista,Batista,F,90,192,162,M,947921,EUR,799286400,F,95,95,True,3.0,1.0,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,13.0,5.0,6.5,2.0,0,,,2.0,3.0,,,,,,1.0,,1.0,,,,,,,,,,,,,
10438005,home,Chaves,Rodrigo Nascimento,Rodrigo Nascimento,,rodrigo-nascimento,R. Nascimento,G,31,198,55,M,1128775,EUR,822614400,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
10438005,home,Chaves,Gui Silva,Guilherme,,guilherme,G. Silva,D,4,191,12,M,1401182,EUR,972086400,D,47,47,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
10438005,home,Chaves,Habib Sylla,Habib Sylla,,habib-sylla,H. Sylla,D,52,178,24,M,1386615,EUR,918777600,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
10438005,home,Chaves,João Queirós,,,joao-queiros,J. Queirós,D,4,190,59,M,869032,EUR,893203200,D,44,44,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
10438005,away,Sporting Braga,Matheus,,,matheus,Matheus,G,1,190,1473,M,603946,EUR,711504000,G,1,1,False,34.0,23.0,16.0,5.0,21.0,21.0,2.0,13.0,1.0,,,1.0,13.0,3.0,4.0,7.0,,1.0,1.0,90.0,52.0,8.1,12.0,0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
10438005,away,Sporting Braga,Victor Gómez,,,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,40.0,36.0,5.0,4.0,19.0,20.0,20.0,27.0,4.0,,,4.0,3.0,,,,,,,90.0,69.0,7.6,11.0,0,7.0,3.0,,3.0,,1.0,,,,2.0,3.0,3.0,3.0,1.0,2.0,,1.0,,,,,,,,1.0
10438005,away,Sporting Braga,Vítor Tormena,,,vitor-tormena,V. Tormena,D,3,192,192,M,892426,EUR,820713600,D,3,3,False,60.0,53.0,3.0,1.0,39.0,43.0,14.0,17.0,6.0,,,9.0,7.0,,,,,,,90.0,78.0,7.2,7.0,0,,,,,,,1.0,3.0,2.0,,,3.0,,,,,,,,,,,,,
10438005,away,Sporting Braga,Sikou Niakaté,,,sikou-niakate,S. Niakaté,D,4,186,1565,M,868235,EUR,931564800,D,4,4,False,56.0,48.0,3.0,,44.0,47.0,4.0,9.0,4.0,,,3.0,4.0,,,,,,,90.0,66.0,6.7,9.0,0,,,1.0,3.0,,1.0,,,,1.0,,4.0,4.0,,,,,,,,,,,,
