match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_wasFouled,stat_goals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_errorLeadToAShot,stat_bigChanceMissed,stat_clearanceOffLine,stat_blockedScoringAttempt,stat_hitWoodwork
14288906,home,FC Arouca,Nico Mantl,,,nico-mantl,N. Mantl,G,58,193,162,M,888592,EUR,949795200,G,58,58,False,33.0,22.0,26.0,15.0,0.0,8.0,11.0,14.0,22.0,1.0,11.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,90.0,42.0,6.8,12.0,0.00473239,29.754290882721,5.0,7.245,4.62,0.0986,0,-0.1859,0.1,0.0,-0.4,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288906,home,FC Arouca,Tiago Esgaio,,,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,37.0,14.0,5.0,,0.0,6.0,12.0,8.0,25.0,8.0,4.0,1.0,2.0,,,,,,,90.0,73.0,7.0,30.0,0.0813507,40.448839109435,4.0,36.645,16.17,,1,,0.28,0.06,0.21,,True,3.0,1.0,3.0,8.0,7.0,10.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,0.0912,1.0,-0.05,,,,,,,,,,,,,,
14288906,home,FC Arouca,Omar Fayed,Omar Fayed,,omar-fayed,O. Fayed,D,66,189,1607,M,1393731,EUR,1057276800,D,66,66,False,24.0,16.0,9.0,3.0,0.0,14.0,17.0,2.0,7.0,1.0,2.0,,2.0,,,,,,,64.0,33.0,6.2,8.0,0.00256708,64.408689594179,10.0,9.87,5.355,,0,,0.02,0.05,-0.36,,,,,1.0,2.0,3.0,6.0,,,,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,
14288906,home,FC Arouca,Matías Rocha,,,matias-rocha,M. Rocha,D,4,183,65,M,1083250,EUR,982022400,D,4,4,False,32.0,28.0,6.0,3.0,0.0,25.0,26.0,3.0,6.0,7.0,2.0,,1.0,,,,,,,90.0,42.0,6.6,4.0,0.00257598,30.183622609432,4.0,5.67,8.61,,0,,0.06,0.02,-0.18,,,,,,4.0,2.0,5.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14288906,home,FC Arouca,Jose Fontán,,,jose-fontan,J. Fontán,D,3,182,67,M,964609,EUR,950227200,D,3,3,False,19.0,9.0,5.0,1.0,0.0,5.0,7.0,4.0,12.0,5.0,3.0,,,,,,,,,90.0,34.0,6.4,12.0,0.00165667,30.428724909598,5.0,-0.31500000000001,6.51,,1,,0.01,0.02,-0.29,,,1.0,,,3.0,,3.0,,,,,2.0,,,,0.0268,,0.09,1.0,0.0132,,,,,,,,,,,,
14288906,home,FC Arouca,Espen Van Ee,,,van-ee-espen,E. v. Ee,M,22,179,72,M,1126965,EUR,1057363200,M,22,22,False,33.0,25.0,3.0,1.0,0.0,14.0,16.0,11.0,17.0,1.0,7.0,,1.0,,,,,,,90.0,49.0,6.4,9.0,0.0295198,97.489352047513,13.0,40.53,14.385,,0,,0.04,0.15,-0.13,,,,,1.0,1.0,4.0,4.0,1.0,2.0,,,4.0,1.0,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,
14288906,home,FC Arouca,Pedro Santos,,,santos-pedro,P. S. Carvalho,M,89,183,49,M,1014259,EUR,971308800,M,89,89,False,33.0,30.0,4.0,3.0,0.0,16.0,16.0,14.0,17.0,4.0,3.0,2.0,3.0,,,,,,,83.0,47.0,6.3,8.0,0.00636434,61.015936614982,10.0,-9.765,4.095,,0,,0.18,-0.01,-0.04,,,,,1.0,,6.0,1.0,,1.0,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,
14288906,home,FC Arouca,Alfonso Trezza,,,alfonso-trezza,A. Trezza,M,19,166,267,M,973517,EUR,930009600,M,19,19,False,10.0,7.0,,,1.0,1.0,2.0,6.0,8.0,1.0,1.0,2.0,1.0,,,,,,,90.0,24.0,7.6,8.0,0.0828685,65.177437103053,7.0,32.655,30.135,,2,,0.11,-0.18,-0.06,,,3.0,,1.0,1.0,3.0,5.0,1.0,1.0,1.0,,1.0,3.0,3.0,1.0,0.7581,1.0,0.29,1.0,0.9179,,1.0,1.0,,1.0,30.304003712381,1.0,,,,,
14288906,home,FC Arouca,Hyun-ju Lee,,,hyun-ju-lee,H. Lee,M,14,172,709,M,1191120,EUR,1044576000,M,14,14,False,22.0,20.0,1.0,,0.0,6.0,6.0,14.0,16.0,,3.0,3.0,1.0,,,,,,,64.0,29.0,7.2,5.0,0.0211937,64.832220041237,7.0,26.46,21.525,,1,,-0.15,0.23,-0.27,,,,,1.0,1.0,3.0,3.0,1.0,,,,1.0,,,,0.1601,1.0,0.51,1.0,0.6971,,,,2.0,1.0,23.117617718961,1.0,1.0,,,,
14288906,home,FC Arouca,Naïs Djouahra,,,nais-djouahra,N. Djouahra,M,7,172,601,M,955133,EUR,943315200,M,7,7,False,18.0,16.0,1.0,1.0,0.0,7.0,8.0,9.0,10.0,,1.0,2.0,,,,,,,,83.0,29.0,7.7,8.0,0.0104545,74.490912535821,7.0,36.225,17.43,,1,,0.0,-0.23,0.48,,,2.0,,1.0,,3.0,2.0,,2.0,,1.0,,,,,0.2361,,0.11,1.0,0.28,2.0,2.0,,,,33.170951474706,2.0,,1.0,1.0,,
