match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_fouls,stat_shotOffTarget,stat_penaltyConceded,stat_accurateCross,stat_hitWoodwork,stat_keyPass,captain,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_goalAssist,stat_penaltyWon,stat_clearanceOffLine,stat_penaltyMiss,player_sofascoreId
10407340,home,KV Oostende,Guillaume Hubert,,,guillaume-hubert,G. Hubert,G,28,198,51,M,149794,EUR,758246400,G,28,28,False,19.0,10.0,17.0,8.0,2.0,4.0,8.0,15.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,90.0,26.0,6.0,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407340,home,KV Oostende,Osaze Urhoghide,,,osaze-urhoghide,O. Urhoghide,D,3,188,130,M,915129,EUR,962668800,D,2,2,False,23.0,17.0,1.0,,4.0,4.0,13.0,21.0,2.0,12.0,4.0,6.0,,,,90.0,59.0,7.3,15.0,0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
10407340,home,KV Oostende,Fanos Katelaris,,,fanos-katelaris,F. Katelaris,D,23,186,72,M,282129,EUR,841017600,D,5,5,False,37.0,25.0,12.0,6.0,15.0,19.0,10.0,18.0,2.0,5.0,5.0,5.0,,,,90.0,53.0,6.7,14.0,1,,6.0,,1.0,1.0,1.0,,5.0,2.0,1.0,1.0,,5.0,1.0,,,,,,,,,,,,,,,,,
10407340,home,KV Oostende,Matej Rodin,,,matej-rodin,M. Rodin,D,80,193,120,M,834079,EUR,824169600,D,88,88,False,34.0,22.0,12.0,6.0,12.0,14.0,10.0,20.0,7.0,8.0,3.0,10.0,,,,90.0,46.0,6.6,13.0,2,,4.0,,,,,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
10407340,home,KV Oostende,Zech Medley,,,zech-medley,Z. Medley,D,3,195,93,M,960257,EUR,963100800,D,3,3,False,18.0,13.0,3.0,2.0,4.0,4.0,9.0,16.0,3.0,5.0,2.0,6.0,,,,77.0,44.0,6.5,13.0,2,2.0,6.0,2.0,,1.0,,,3.0,2.0,1.0,2.0,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10407340,home,KV Oostende,Tatsuhiro Sakamoto,,,sakamoto-tatsuhiro,T. Sakamoto,M,7,170,1000,M,978927,EUR,845942400,M,18,18,False,28.0,17.0,4.0,,1.0,3.0,18.0,36.0,3.0,9.0,,3.0,,,,90.0,50.0,7.3,20.0,0,11.0,4.0,1.0,,2.0,2.0,,1.0,4.0,3.0,,,2.0,,,,1.0,,,2.0,1.0,3.0,,,,,,,,,
10407340,home,KV Oostende,Sieben Dewaele,,,dewaele-sieben,S. Dewaele,M,18,180,73,M,901895,EUR,917913600,M,16,16,False,36.0,27.0,,,5.0,6.0,22.0,31.0,,4.0,2.0,8.0,,,,90.0,53.0,7.1,12.0,1,1.0,4.0,1.0,,,,1.0,2.0,4.0,3.0,2.0,,,1.0,,,3.0,,,,,2.0,,,,,,,,,
10407340,home,KV Oostende,Cameron McGeehan,,,cameron-mcgeehan,C. McGeehan,M,8,180,56,M,149817,EUR,797126400,M,8,8,False,36.0,24.0,5.0,3.0,6.0,6.0,18.0,32.0,1.0,8.0,,11.0,,,,90.0,61.0,8.5,19.0,7,2.0,5.0,1.0,2.0,1.0,1.0,,1.0,5.0,2.0,,1.0,2.0,1.0,,6.0,1.0,,,,,,True,1.0,,,,,,,
10407340,home,KV Oostende,David Atanga,,,david-atanga,D. Atanga,F,17,176,145,M,786187,EUR,851472000,F,77,77,False,21.0,18.0,,,1.0,1.0,17.0,21.0,2.0,9.0,,7.0,,,,66.0,39.0,7.1,7.0,2,1.0,4.0,,,2.0,2.0,,1.0,4.0,3.0,3.0,1.0,4.0,,1.0,1.0,,1.0,,,,2.0,,,,,,,,,
10407340,home,KV Oostende,Thierry Ambrose,,,thierry-ambrose,T. Ambrose,F,68,178,423,M,356024,EUR,859507200,F,68,68,False,38.0,18.0,2.0,1.0,2.0,3.0,16.0,37.0,11.0,15.0,,4.0,,,,90.0,53.0,7.0,27.0,2,2.0,9.0,1.0,2.0,2.0,2.0,,,1.0,,3.0,1.0,6.0,2.0,,,,,,,,2.0,,,1.0,,,,,,
