match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_totalOffside,stat_totalCross,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,captain,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_ownGoals
11368744,home,Real Betis,Rui Silva,Rui,Silva,rui-silva,R. Silva,G,1,191,3299,M,253809,EUR,760579200,G,13,13,False,36.0,29.0,8.0,2.0,27.0,32.0,2.0,4.0,1.0,5.0,2.0,2.0,90.0,39.0,6.3,7.0,0.00035641,0,-0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368744,home,Real Betis,Aitor Ruibal,,,aitor-ruibal,A. Ruibal,D,24,176,879,M,893062,EUR,827452800,D,24,24,False,29.0,18.0,7.0,2.0,11.0,15.0,7.0,14.0,1.0,5.0,,,72.0,48.0,7.0,13.0,0.0139606,0,,1.0,1.0,3.0,8.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11368744,home,Real Betis,Germán Pezzella,,,german-pezzella,G. Pezzella,D,6,187,3493,M,158241,EUR,677980800,D,6,6,False,63.0,58.0,3.0,1.0,50.0,53.0,8.0,10.0,4.0,5.0,,,90.0,70.0,6.7,5.0,0.0048413,0,,1.0,2.0,2.0,4.0,1.0,,,,2.0,1.0,,,,,germanpezzella,1.0,,,,,,,,,,,,,,,,
11368744,home,Real Betis,Chadi Riad,,,chadi-riad,C. Riad,D,34,186,10944,M,1064218,EUR,1047859200,D,28,28,False,83.0,72.0,6.0,3.0,64.0,73.0,8.0,10.0,2.0,6.0,,,90.0,92.0,6.9,11.0,0.00207201,0,,3.0,4.0,3.0,7.0,,,,,3.0,2.0,,,,,chadiriad17,,,,,,,,,,,,,,,,,
11368744,home,Real Betis,Youssouf Sabaly,,,youssouf-sabaly,Y. Sabaly,D,17,174,5678,M,111803,EUR,731289600,D,23,23,False,56.0,45.0,6.0,3.0,27.0,33.0,18.0,26.0,3.0,6.0,,,90.0,88.0,7.3,16.0,0.119833,0,,1.0,4.0,2.0,10.0,,4.0,3.0,4.0,1.0,1.0,1.0,2.0,,,youssouf_sabaly23,,3.0,,,,,,,,,,,,,,,
11368744,home,Real Betis,Johnny Cardoso,,,johnny,J. Cardoso,M,5,186,5097,M,990169,EUR,1000944000,M,4,4,False,45.0,37.0,5.0,3.0,18.0,24.0,19.0,21.0,1.0,6.0,,,90.0,58.0,7.6,9.0,0.022933,1,,2.0,1.0,3.0,5.0,,2.0,1.0,2.0,1.0,1.0,,2.0,,,,,,1.0,1.0,1.0,0.0299,0.3553,,,,,,,,,,
11368744,home,Real Betis,Sergi Altimira,,,sergi-altimira,S. Altimira,M,6,188,1049,M,1137814,EUR,998697600,M,27,27,False,23.0,19.0,2.0,1.0,14.0,17.0,5.0,6.0,1.0,6.0,,,45.0,29.0,6.7,6.0,0.00826143,0,,,,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,
11368744,home,Real Betis,Pablo Fornals,,,pablo-fornals,P. Fornals,M,8,178,2735,M,816763,EUR,824947200,M,18,18,False,59.0,46.0,3.0,3.0,18.0,23.0,28.0,38.0,,8.0,,,90.0,69.0,6.8,18.0,0.0858444,0,,,3.0,6.0,4.0,,1.0,,1.0,,,1.0,1.0,4.0,1.0,,1.0,2.0,,,,,,1.0,,,,,,,,,
11368744,home,Real Betis,Nabil Fekir,,,nabil-fekir,N. Fekir,M,20,173,3513,M,337671,EUR,742953600,M,8,8,False,45.0,44.0,1.0,1.0,17.0,17.0,28.0,32.0,,2.0,,,85.0,67.0,7.9,9.0,0.3478,3,,,1.0,4.0,8.0,1.0,2.0,2.0,,2.0,2.0,4.0,3.0,3.0,3.0,NabilFekir,,4.0,,,,0.1041,,,True,1.0,1.0,2.0,1.0,,,,
11368744,home,Real Betis,Chimy Ávila,,,chimy-avila,C. Ávila,F,9,171,2160,M,789381,EUR,760492800,M,9,9,False,14.0,10.0,1.0,,3.0,4.0,7.0,11.0,1.0,,,,51.0,27.0,7.4,6.0,0.00910561,3,,,,2.0,4.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,0.503,0.4559,,,,,2.0,,,,,
