match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,confirmed,player_id,player_name,playerName,reason,rescinded
12499471,FT,2.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12499471,,,,,90,0.0,,1,,,injuryTime,7.0,,,,,,,,,,
12499471,,,,,89,,,2,,,substitution,,122996304.0,False,False,regular,,,,,,
12499471,,,,,89,,,2,,,substitution,,122996303.0,False,False,regular,,,,,,
12499471,,,,,89,,,2,,,substitution,,122996302.0,False,False,regular,,,,,,
12499471,,,,,86,,,5,,,substitution,,122996271.0,False,True,regular,,,,,,
12499471,,,,,86,,,5,,,varDecision,,27590.0,,True,penaltyNotAwarded,True,280609.0,Patrik Schick,,,
12499471,,,,,82,,,9,,,card,,121518929.0,,True,yellow,,883262.0,Edmond Tapsoba,Edmond Tapsoba,Argument,False
12499471,,2.0,3.0,,80,,,11,,,goal,,186536184.0,,False,regular,,835480.0,Loïs Openda,,,
12499471,,,,,77,,,14,,,substitution,,122996173.0,True,True,injury,,,,,,
12499471,,,,,77,,,14,,,substitution,,122996172.0,False,True,regular,,,,,,
12499471,,,,,71,,,20,,,substitution,,122996136.0,False,True,regular,,,,,,
12499471,,,,,67,,,24,,,substitution,,122996124.0,False,False,regular,,,,,,
12499471,,,,,61,,,30,,,card,,121518846.0,,False,yellow,,319853.0,Lukas Klostermann,Lukas Klostermann,Foul,False
12499471,,2.0,2.0,,57,,,34,,,goal,,186535904.0,,False,regular,,835480.0,Loïs Openda,,,
12499471,HT,2.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12499471,,2.0,1.0,,45,7.0,,1,,,goal,,186535474.0,,False,regular,,84251.0,Kevin Kampl,,,
12499471,,2.0,0.0,,45,,,1,,,goal,,186535364.0,,True,regular,,177177.0,Alejandro Grimaldo,,,
12499471,,,,,45,0.0,,1,,,injuryTime,7.0,,,,,,,,,,
12499471,,1.0,0.0,,38,,,8,,,goal,,186535275.0,,True,regular,,970361.0,Jeremie Frimpong,,,
12499471,,,,,18,,,28,,,card,,121518457.0,,True,yellow,,970361.0,Jeremie Frimpong,Jeremie Frimpong,Foul,False
12499471,,,,,15,,,31,,,substitution,,122995406.0,True,False,injury,,,,,,
12499471,,,,,12,,,34,,,card,,121518398.0,,True,yellow,,978521.0,Victor Okoh Boniface,Victor Okoh Boniface,Foul,False
12499471,,,,,-5,,,6,,,card,,121518498.0,,False,yellowRed,,,,Marco Rose,Argument,False
12499471,,,,,-5,,,6,,,card,,121518497.0,,False,yellow,,,,Marco Rose,Argument,False
