match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_keyPass,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_challengeLost,stat_onTargetScoringAttempt,stat_wonTackle,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceCreated,stat_wasFouled,player_firstName,player_lastName,stat_hitWoodwork,stat_goals,stat_penaltyWon,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_errorLeadToAShot,stat_penaltyConceded,stat_totalOffside
12499593,home,Bayer 04 Leverkusen,Lukáš Hrádecký,lukas-hradecky,L. Hrádecký,G,1,190,2547,M,15219,EUR,627868800,G,1,1,False,True,37.0,30.0,12.0,5.0,0.0,29.0,34.0,1.0,3.0,9.0,1.0,1.0,90.0,43.0,6.4,7.0,0.0003007,0,0.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499593,home,Bayer 04 Leverkusen,Edmond Tapsoba,edmond-tapsoba,E. Tapsoba,D,12,193,33838,M,883262,EUR,917913600,D,12,12,False,,50.0,47.0,2.0,1.0,0.0,26.0,26.0,21.0,24.0,7.0,,,90.0,61.0,7.0,3.0,0.0216663,1,,edmondtapsoba,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.3694,,,,,,,,,,,,,,,,,,,,,,,,,
12499593,home,Bayer 04 Leverkusen,Jonathan Tah,jonathan-tah,J. Tah,D,4,194,9454,M,227672,EUR,823996800,D,4,4,False,,69.0,64.0,6.0,4.0,0.0,43.0,44.0,21.0,25.0,3.0,,,90.0,76.0,7.0,5.0,0.0152999,0,,jonatah,4.0,3.0,4.0,3.0,,,,,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499593,home,Bayer 04 Leverkusen,Piero Hincapié,piero-hincapie,P. Hincapié,D,5,184,31047,M,1002837,EUR,1010534400,D,3,3,False,,102.0,92.0,7.0,3.0,0.0,52.0,57.0,41.0,47.0,2.0,,,83.0,113.0,7.0,12.0,0.0293055,1,,pierohincapie,2.0,3.0,2.0,3.0,,,,,5.0,1.0,,,0.0317,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12499593,home,Bayer 04 Leverkusen,Jeremie Frimpong,jeremie-frimpong,J. Frimpong,M,30,171,32709,M,970361,EUR,976406400,M,30,30,False,,16.0,15.0,,,0.0,3.0,4.0,13.0,15.0,2.0,,,80.0,34.0,7.4,6.0,0.304328,3,,jeremie_frimpong,2.0,1.0,4.0,5.0,1.0,,,1.0,,1.0,4.0,,0.1094,,2.0,3.0,1.0,,2.0,1.0,2.0,2.0,0.3407,,,,,,,,,,,,,,,
12499593,home,Bayer 04 Leverkusen,Exequiel Palacios,exequiel-palacios,E. Palacios,M,25,177,12684,M,822600,EUR,907545600,M,25,25,False,,100.0,91.0,3.0,1.0,1.0,36.0,39.0,55.0,61.0,7.0,,,90.0,124.0,8.3,12.0,0.201919,0,,exepalaciosok,1.0,,2.0,7.0,,,,,3.0,1.0,6.0,,,1.0,2.0,,,,2.0,,,5.0,,1.0,1.0,1.0,,,,,,,,,,,,
12499593,home,Bayer 04 Leverkusen,Granit Xhaka,granit-xhaka,G. Xhaka,M,34,185,15706,M,117777,EUR,717552000,M,34,34,False,,84.0,79.0,7.0,6.0,0.0,26.0,27.0,53.0,57.0,5.0,,,90.0,92.0,7.3,7.0,0.518405,0,,Granit_Xhaka,3.0,3.0,7.0,8.0,,,,,1.0,,1.0,3.0,,,1.0,,,,2.0,1.0,,,,,1.0,4.0,,,,,,,,,,,,
12499593,home,Bayer 04 Leverkusen,Alejandro Grimaldo,alejandro-grimaldo,A. Grimaldo,M,20,171,13099,M,177177,EUR,811555200,M,20,20,False,,69.0,58.0,2.0,,1.0,32.0,36.0,29.0,39.0,8.0,,,80.0,88.0,7.3,18.0,0.325872,1,,grimaldo35,1.0,,4.0,1.0,,,,,2.0,1.0,1.0,1.0,0.0307,,4.0,6.0,3.0,1.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,
12499593,home,Bayer 04 Leverkusen,Nathan Tella,nathan-tella,N. Tella,M,23,173,3098,M,920379,EUR,931132800,F,19,19,False,,25.0,18.0,,,0.0,7.0,8.0,11.0,17.0,3.0,,,69.0,43.0,7.3,15.0,0.147205,3,,,,2.0,4.0,6.0,2.0,1.0,,2.0,,,1.0,1.0,0.2355,,3.0,,,,5.0,1.0,1.0,1.0,0.3348,1.0,,2.0,,,,,,,,,,,,
12499593,home,Bayer 04 Leverkusen,Florian Wirtz,florian-wirtz,F. Wirtz,F,7,175,148971,M,1019322,EUR,1051920000,F,10,10,False,,71.0,61.0,2.0,2.0,3.0,13.0,14.0,49.0,60.0,7.0,,,90.0,91.0,10.0,15.0,0.522335,3,,FWirtz,3.0,,4.0,10.0,7.0,6.0,1.0,,,,2.0,,0.9892,,4.0,3.0,1.0,1.0,2.0,,2.0,1.0,1.0935,,3.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,
