match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,player_sofascoreId,stat_punches,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork
11409062,home,CF Estrela Amadora,Bruno Brígido,bruno-brigido,B. Brígido,G,1,187,51,M,329079,EUR,668476800,G,30,30,False,24.0,15.0,13.0,5.0,13.0,16.0,2.0,8.0,2.0,14.0,1.0,2.0,4.0,1.0,1.0,90.0,42.0,6.8,9.0,0.00028402,0,-0.5903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409062,home,CF Estrela Amadora,Johnstone Omurwa,omurwa-johnstone,J. Omurwa,D,55,183,132,M,1006303,EUR,902534400,D,2,2,False,44.0,33.0,10.0,2.0,27.0,31.0,6.0,13.0,4.0,4.0,,,,,,90.0,58.0,6.6,11.0,0.00484447,1,,1.0,1.0,5.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0256,,,,,,,,,,,,,,,,,,,,,,,,
11409062,home,CF Estrela Amadora,Pedro Mendes,pedro-mendes,P. Mendes,D,5,187,77,M,44563,EUR,654739200,D,5,5,False,8.0,7.0,2.0,1.0,6.0,6.0,1.0,2.0,5.0,1.0,,,,,,58.0,28.0,6.5,6.0,0.00016827,0,,,2.0,2.0,,1.0,3.0,,,1.0,,,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
11409062,home,CF Estrela Amadora,Mansur,mansur,Mansur,D,70,181,47,M,328871,EUR,735004800,D,70,70,False,41.0,34.0,4.0,1.0,28.0,33.0,6.0,8.0,1.0,4.0,,,,,,81.0,49.0,6.5,8.0,0.00454423,0,,1.0,2.0,5.0,,1.0,1.0,3.0,3.0,,1.0,,,2.0,1.0,,,,True,,,,,,,,,,,,,,,,,
11409062,home,CF Estrela Amadora,Jean Felipe,jean-felipe,J. Felipe,D,12,180,36,M,386094,EUR,769219200,M,12,12,False,44.0,30.0,9.0,3.0,15.0,20.0,18.0,31.0,2.0,5.0,,,,,,90.0,80.0,7.1,24.0,0.215425,0,,,4.0,6.0,,,1.0,3.0,3.0,,1.0,,1.0,5.0,3.0,,,,,7.0,3.0,1.0,2.0,,,,,,,,,,,,,
11409062,home,CF Estrela Amadora,Léo Cordeiro,leo-cordeiro,L. Cordeiro,M,22,174,96,M,869461,EUR,812160000,M,22,22,False,53.0,49.0,2.0,2.0,28.0,29.0,21.0,24.0,1.0,11.0,,,,,,90.0,70.0,7.1,10.0,0.0295202,0,,,2.0,6.0,,,,5.0,3.0,,,,,2.0,1.0,4.0,,,,,,1.0,2.0,,,,,,,,,,,,,
11409062,home,CF Estrela Amadora,Aloisio,aloisio,Aloisio,M,20,180,45,M,962371,EUR,831081600,M,6,6,False,23.0,20.0,3.0,3.0,12.0,13.0,8.0,10.0,,4.0,,,,,,66.0,33.0,6.7,8.0,0.0351521,1,,,4.0,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,0.0185,2.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,,
11409062,home,CF Estrela Amadora,João Reis,joao-reis,J. Reis,D,17,174,24,M,343487,EUR,709344000,M,17,17,False,35.0,31.0,3.0,1.0,19.0,19.0,13.0,18.0,2.0,3.0,,,,,,90.0,52.0,6.7,5.0,0.0370753,0,,1.0,4.0,5.0,,1.0,2.0,1.0,1.0,2.0,,,2.0,1.0,1.0,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,
11409062,home,CF Estrela Amadora,Regis Ndo,regis-ndo,R. Ndo,F,77,181,274,M,1084705,EUR,990489600,F,7,7,False,15.0,13.0,1.0,1.0,4.0,4.0,9.0,13.0,,4.0,,,,,,71.0,34.0,6.1,12.0,0.0270301,1,,,7.0,7.0,1.0,,,2.0,2.0,1.0,2.0,0.2309,1.0,7.0,4.0,5.0,,,,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,
11409062,home,CF Estrela Amadora,Ronaldo Tavares,ronaldo-tavares,R. Tavares,F,9,192,337,M,828707,EUR,869529600,F,9,9,False,16.0,12.0,1.0,1.0,6.0,6.0,7.0,12.0,,2.0,,,,,,58.0,32.0,6.5,12.0,0.004361,1,,5.0,11.0,5.0,,,,,,1.0,2.0,0.0492,,3.0,,2.0,,,,2.0,1.0,2.0,,4.0,,,1.0,0.2162,,,,,,,,
11409062,home,CF Estrela Amadora,Léo Jabá,leo-jaba,L. Jabá,F,,178,256,M,852518,EUR,902016000,F,8,8,False,15.0,12.0,1.0,,2.0,3.0,10.0,12.0,1.0,2.0,,,,,,58.0,27.0,7.6,6.0,0.0170371,4,,,2.0,1.0,2.0,,1.0,,,,,0.1666,,2.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,2.0,0.2347,1.0,,,,,,,
