match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine,stat_bigChanceCreated,player_sofascoreId,stat_errorLeadToAShot,stat_hitWoodwork
11996503,home,1. FSV Mainz 05,Karim Onisiwo,karim-onisiwo,K. Onisiwo,F,9,188,465,M,165413,EUR,700790400,F,9,9,False,,13.0,7.0,,,,1.0,8.0,15.0,,3.0,,,,,,80.0,29.0,6.6,14.0,0.0449888,2,,3.0,3.0,6.0,,2.0,,,3.0,7.0,,,,2.0,,4.0,,1.0,2.0,0.3773,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,
11996503,home,1. FSV Mainz 05,Silvan Widmer,silvan-widmer,S. Widmer,M,30,182,532,M,157377,EUR,731289600,D,30,30,True,,11.0,7.0,2.0,1.0,4.0,7.0,3.0,4.0,,1.0,,,,,,45.0,24.0,6.7,8.0,0.00306175,1,,,2.0,4.0,,1.0,,,1.0,2.0,,,,1.0,1.0,,1.0,,,0.0102,0.2772,1.0,,,,,,,,,,,,,,
11996503,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,M,31,31,True,,7.0,4.0,1.0,,3.0,4.0,1.0,4.0,,1.0,,,,,,20.0,10.0,6.4,5.0,0.00038887,0,,1.0,1.0,2.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11996503,home,1. FSV Mainz 05,Jessic Ngankam,ngankam-jessic,J. Ngankam,F,24,180,394,M,906276,EUR,964051200,F,11,11,True,,2.0,,,,,,,2.0,,,,,,,,10.0,5.0,6.6,2.0,,1,,,,,,,,,1.0,2.0,,,,,,,,1.0,1.0,0.0371,,,,,,,,,,,,,,,,
11996503,home,1. FSV Mainz 05,Andreas Hanche-Olsen,andreas-hanche-olsen,A. Hanche-Olsen,D,25,185,370,M,794294,EUR,853459200,D,25,25,True,,1.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.882e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996503,home,1. FSV Mainz 05,Brajan Gruda,gruda-brajan,B. Gruda,M,10,178,2919,M,1198075,EUR,1085961600,M,43,43,True,,1.0,,,,,,,1.0,,,,,,,,1.0,2.0,,2.0,,0,,,,,,,Brajan Gruda,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11996503,home,1. FSV Mainz 05,Lasse Riess,lasse-riess,L. Riess,G,1,191,83,M,1069252,EUR,996192000,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996503,home,1. FSV Mainz 05,Josuha Guilavogui,josuha-guilavogui,J. Guilavogui,D,,188,210,M,45686,EUR,653702400,M,23,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996503,home,1. FSV Mainz 05,Phillipp Mwene,phillipp-mwene,P. Mwene,M,2,170,470,M,138126,EUR,759801600,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996503,home,1. FSV Mainz 05,Marco Richter,marco-richter,M. Richter,M,23,176,248,M,796027,EUR,880329600,F,10,10,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,,30.0,15.0,21.0,6.0,11.0,13.0,4.0,17.0,1.0,6.0,,5.0,,1.0,1.0,90.0,40.0,7.5,16.0,0.00377237,0,0.4067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
11996503,away,1. FC Union Berlin,Robin Knoche,robin-knoche,R. Knoche,D,31,190,148,M,130433,EUR,706492800,D,31,31,False,,50.0,22.0,18.0,2.0,14.0,22.0,8.0,29.0,1.0,8.0,,,,,,90.0,59.0,7.6,29.0,0.00930582,0,,1.0,5.0,5.0,,,,,4.0,5.0,,,3.0,,,,,,1.0,,,,,,,,,,,,,2.0,,,,
11996503,away,1. FC Union Berlin,Kevin Vogt,kevin-vogt,K. Vogt,D,7,194,163,M,48660,EUR,685584000,D,2,2,False,,31.0,26.0,11.0,7.0,24.0,26.0,2.0,5.0,5.0,5.0,,,,,,64.0,38.0,6.5,5.0,0.00078235,0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,,36.0,30.0,9.0,5.0,22.0,27.0,8.0,9.0,13.0,4.0,,,,,,90.0,55.0,7.3,6.0,0.00503948,0,,,,,,,,,3.0,6.0,,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Janik Haberer,janik-haberer,J. Haberer,M,19,187,178,M,168985,EUR,765244800,M,19,19,False,,38.0,17.0,12.0,3.0,9.0,13.0,10.0,30.0,6.0,10.0,,,,,,90.0,86.0,7.5,29.0,0.6176,2,,5.0,1.0,5.0,2.0,3.0,,,2.0,6.0,1.0,,1.0,3.0,1.0,4.0,1.0,,1.0,0.0591,0.1045,,,4.0,1.0,2.0,1.0,,,,,,1.0,,,
11996503,away,1. FC Union Berlin,András Schäfer,andras-schafer,A. Schäfer,M,13,179,2407,M,877302,EUR,923961600,M,13,13,False,,26.0,18.0,1.0,1.0,7.0,10.0,11.0,17.0,2.0,3.0,,,,,,76.0,46.0,6.9,15.0,0.0568769,1,,1.0,2.0,5.0,,1.0,,,2.0,6.0,,1.0,,1.0,,3.0,,,2.0,0.125,,2.0,1.0,2.0,,,1.0,,,,,,,,,
11996503,away,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,True,26.0,16.0,3.0,,12.0,15.0,4.0,11.0,5.0,9.0,,,,,,90.0,43.0,6.8,11.0,0.00430412,0,,,5.0,9.0,4.0,3.0,,,3.0,6.0,,,,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Aissa Laïdouni,aissa-laidouni,A. Laïdouni,M,93,182,3217,M,828077,EUR,850435200,M,20,20,False,,27.0,24.0,,,10.0,10.0,14.0,20.0,2.0,6.0,,,,,,90.0,52.0,6.7,14.0,0.0577719,0,,3.0,2.0,8.0,,1.0,,,2.0,8.0,,2.0,,1.0,1.0,3.0,,,4.0,,,4.0,1.0,,,,,,,,,,,laids_93,1.0,
