match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,player_firstName,player_lastName,stat_dispossessed,player_sofascoreId,stat_onTargetScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_clearanceOffLine,stat_outfielderBlock,stat_goalAssist,stat_goals
11452947,home,Al-Nassr,Waleed Abdullah,waleed-abdullah,W. Abdullah,G,33,196,188,M,118139,EUR,514252800,G,33,33,False,26.0,25.0,8.0,7.0,24.0,24.0,1.0,2.0,1.0,2.0,1.0,1.0,7.0,2.0,3.0,4.0,1.0,90.0,37.0,7.2,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452947,home,Al-Nassr,Sultan Al-Ghannam,sultan-al-ghannam,S. Al-Ghannam,D,2,173,1607,M,830126,EUR,768182400,D,2,2,False,69.0,61.0,5.0,3.0,16.0,19.0,45.0,57.0,2.0,,1.0,,7.0,,,,,90.0,97.0,7.3,18.0,2,7.0,2.0,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
11452947,home,Al-Nassr,Ali Lajami,ali-lajami,A. Lajami,D,78,175,1281,M,818667,EUR,830390400,D,78,78,False,27.0,26.0,3.0,2.0,21.0,21.0,5.0,6.0,1.0,4.0,1.0,1.0,2.0,2.0,,,,45.0,34.0,6.7,1.0,0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11452947,home,Al-Nassr,Abdulelah Al-Amri,abdulelah-al-amri,A. Al-Amri,D,5,185,1135,M,881831,EUR,853286400,D,5,5,False,53.0,48.0,11.0,9.0,35.0,39.0,13.0,14.0,3.0,4.0,,,6.0,1.0,,,,90.0,58.0,6.9,5.0,1,,,2.0,,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,,,,,,,
11452947,home,Al-Nassr,Ghislain Konan,ghislain-konan,G. Konan,D,3,176,2811,M,831781,EUR,820022400,D,13,13,False,67.0,62.0,5.0,4.0,24.0,27.0,38.0,42.0,4.0,3.0,1.0,1.0,8.0,1.0,,,,90.0,91.0,6.7,11.0,1,2.0,1.0,1.0,,,,2.0,,1.0,1.0,,1.0,,Ghislain,Konan,1.0,,,,,,,,,,,,
11452947,home,Al-Nassr,Abdullah Al-Khaibari,abdullah-alkhaibari,A. Al-Khaibari,M,17,178,1250,M,867179,EUR,840153600,M,17,17,False,30.0,27.0,5.0,4.0,16.0,16.0,11.0,14.0,2.0,1.0,,,2.0,1.0,,,,34.0,32.0,6.5,4.0,0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
11452947,home,Al-Nassr,Seko Fofana,seko-fofana,S. Fofana,M,42,184,12170,M,191188,EUR,799804800,M,6,6,False,39.0,39.0,2.0,2.0,11.0,11.0,28.0,29.0,1.0,4.0,,,3.0,2.0,,,,76.0,48.0,7.3,2.0,3,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,2.0,,,,sekofofana,1.0,,,,,,,,,,
11452947,home,Al-Nassr,Anderson Talisca,anderson-talisca,A. Talisca,M,94,191,20484,M,329245,EUR,760060800,M,94,94,False,22.0,20.0,4.0,4.0,4.0,4.0,16.0,19.0,2.0,5.0,,1.0,5.0,2.0,,,,90.0,40.0,7.2,6.0,7,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,3.0,,,1.0,AndersonTalisca,1.0,,,,,,,,,,
11452947,home,Al-Nassr,Marcelo Brozović,marcelo-brozovic,M. Brozović,M,11,181,13081,M,108800,EUR,721872000,M,77,77,False,91.0,81.0,16.0,14.0,21.0,24.0,67.0,81.0,5.0,2.0,2.0,,10.0,,,,,90.0,112.0,8.5,19.0,2,14.0,,,1.0,1.0,5.0,,,2.0,1.0,1.0,,1.0,,,1.0,marcelo_brozovic,1.0,7.0,1.0,,,,,,,,
11452947,home,Al-Nassr,Sadio Mané,sadio-mane,S. Mané,M,10,175,169227,M,217704,EUR,702864000,M,10,10,False,46.0,32.0,1.0,1.0,4.0,4.0,31.0,51.0,11.0,10.0,,,1.0,1.0,,,,90.0,85.0,7.5,35.0,3,9.0,2.0,,4.0,2.0,3.0,13.0,8.0,,,1.0,1.0,,,,3.0,SadioMané,1.0,3.0,,3.0,,,,,,,
