match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_shotOffTarget,stat_outfielderBlock,stat_errorLeadToAShot,stat_expectedGoals,captain,stat_fouls,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_totalOffside,stat_hitWoodwork
12450184,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,46.0,32.0,26.0,12.0,0.0,25.0,28.0,7.0,18.0,1.0,3.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,90.0,58.0,7.6,14.0,0.0017061,0,0.5907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450184,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,604,M,141080,EUR,686448000,D,7,7,False,30.0,24.0,7.0,3.0,0.0,11.0,12.0,14.0,20.0,4.0,3.0,4.0,1.0,,,,,,90.0,51.0,7.2,13.0,0.100939,0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12450184,home,Stade Brestois,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,348,M,330099,EUR,829526400,D,6,6,False,36.0,26.0,9.0,5.0,0.0,22.0,26.0,4.0,11.0,4.0,8.0,5.0,,,,,,,90.0,52.0,7.5,13.0,0.169764,0,,1.0,,2.0,4.0,1.0,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
12450184,home,Stade Brestois,Abdoulaye Ndiaye,abdoulaye-ndiaye,A. Ndiaye,D,3,195,1264,M,984527,EUR,1018396800,D,3,3,False,39.0,31.0,5.0,1.0,0.0,26.0,29.0,5.0,10.0,7.0,7.0,4.0,1.0,,,,,,90.0,65.0,7.7,10.0,0.00081222,1,,,,1.0,1.0,,4.0,2.0,2.0,,,,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,0.0372,,,,,,,,,,,,
12450184,home,Stade Brestois,Massadio Haïdara,massadio-haidara,M. Haïdara,D,21,179,600,M,143344,EUR,723254400,D,22,22,False,26.0,18.0,3.0,2.0,0.0,10.0,13.0,8.0,14.0,7.0,3.0,2.0,1.0,,,,,,72.0,51.0,7.1,14.0,0.0138832,0,,1.0,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,
12450184,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,964,M,916041,EUR,899164800,M,45,45,False,28.0,23.0,1.0,1.0,0.0,12.0,12.0,11.0,17.0,1.0,1.0,3.0,,,,,,,90.0,37.0,6.9,7.0,0.0128974,1,,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,0.0858,,,,,,,,,,,,
12450184,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,194,M,861324,EUR,896486400,M,8,8,False,47.0,43.0,7.0,5.0,0.0,33.0,33.0,10.0,14.0,3.0,3.0,5.0,,,,,,,90.0,64.0,6.9,7.0,0.00409841,1,,,,,6.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,,,0.0071,True,3.0,,,,,,,,,,
12450184,home,Stade Brestois,Kamory Doumbia,kamory-doumbia,K. Doumbia,M,23,170,5674,M,1156353,EUR,1045526400,M,9,9,False,31.0,28.0,5.0,4.0,0.0,13.0,14.0,15.0,17.0,7.0,,8.0,2.0,,,,,,82.0,49.0,7.9,8.0,0.0227001,2,,,,1.0,3.0,1.0,2.0,2.0,3.0,1.0,Kamory Doumbia,,,1.0,3.0,2.0,1.0,1.0,,,0.2537,,,kamory_doumbia03,1.0,1.0,0.1866,,,,,,
12450184,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,F,10,10,False,20.0,11.0,3.0,1.0,1.0,4.0,8.0,9.0,16.0,1.0,1.0,1.0,1.0,,,,,,72.0,32.0,7.1,14.0,0.350339,1,,4.0,2.0,,5.0,,,,1.0,3.0,,,2.0,,2.0,,,1.0,,,0.019,,1.0,,,,,1.0,,,,,
12450184,home,Stade Brestois,Ludovic Ajorque,ludovic-ajorque,L. Ajorque,F,19,196,1367,M,343971,EUR,762134400,F,19,19,False,31.0,21.0,1.0,1.0,0.0,9.0,11.0,12.0,21.0,11.0,3.0,2.0,2.0,,,,,,88.0,47.0,8.0,14.0,0.032851,3,,1.0,,8.0,5.0,,,,3.0,1.0,,,3.0,,1.0,1.0,,2.0,,,0.5383,,2.0,,1.0,1.0,0.9065,,,,,,
