match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_totalCross,stat_dispossessed,stat_shotOffTarget,stat_accurateCross,stat_challengeLost,stat_keyPass,stat_bigChanceCreated,stat_goals,captain,stat_errorLeadToAGoal,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
12450974,home,Toulouse,Guillaume Restes,Guillaume,Restes,guillaume-restes,G. Restes,G,1,188,2069,M,1154630,EUR,1110499200,G,50,50,False,16.0,13.0,3.0,0.0,13.0,14.0,2.0,1.0,4.0,1.0,2.0,90.0,21.0,6.3,3.0,5.875e-05,0,0.2588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450974,home,Toulouse,Jaydee Canvot,Jaydee Canvot,,jaydee-canvot,J. Canvot,D,23,188,804,M,1471671,EUR,1154131200,D,29,29,False,75.0,66.0,5.0,0.0,34.0,38.0,37.0,2.0,6.0,,,85.0,84.0,6.6,9.0,0.0213551,0,,1.0,32.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450974,home,Toulouse,Charlie Cresswell,,,charlie-cresswell,C. Cresswell,D,4,190,1084,M,1020744,EUR,1029456000,D,4,4,False,76.0,61.0,8.0,0.0,51.0,56.0,20.0,8.0,10.0,,,90.0,94.0,7.4,16.0,0.00501618,2,,3.0,10.0,1.0,3.0,1.0,8.0,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0684,0.0941,,,,,,,,,,,,,,,,,,,
12450974,home,Toulouse,Mark McKenzie,,,mark-mckenzie,M. McKenzie,D,3,183,647,M,922759,EUR,919900800,D,3,3,False,46.0,39.0,4.0,0.0,23.0,25.0,21.0,8.0,4.0,,,90.0,60.0,6.6,7.0,0.00554776,0,,,16.0,1.0,1.0,2.0,6.0,1.0,5.0,1.0,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,
12450974,home,Toulouse,Aron Dønnum,,,aron-donnum,A. Dønnum,M,15,179,643,M,863133,EUR,893030400,M,15,15,False,44.0,30.0,2.0,0.0,11.0,16.0,32.0,,8.0,,,85.0,74.0,6.8,24.0,0.0489968,2,,1.0,19.0,1.0,,8.0,6.0,2.0,2.0,1.0,6.0,3.0,1.0,,,1.0,,1.0,0.0751,,,4.0,3.0,1.0,,,,,,,,,,,,,,,
12450974,home,Toulouse,Denis Genreau,,,denis-genreau,D. Genreau,M,10,170,131,M,862773,EUR,927244800,M,5,5,False,42.0,37.0,1.0,0.0,15.0,17.0,26.0,,3.0,,,76.0,60.0,6.9,10.0,0.282907,1,,1.0,23.0,2.0,2.0,11.0,6.0,,3.0,4.0,1.0,1.0,,,,3.0,1.0,2.0,0.1029,,,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
12450974,home,Toulouse,Cristian Cásseres Jr.,,,cristian-casseres-jr,C. Cásseres Jr.,M,23,174,1378,M,878938,EUR,948326400,M,23,23,False,85.0,68.0,9.0,0.0,29.0,30.0,59.0,1.0,6.0,,,90.0,103.0,8.2,22.0,0.568056,2,,6.0,40.0,1.0,,2.0,5.0,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,0.0461,0.2926,,4.0,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,
12450974,home,Toulouse,Gabriel Suazo,,,gabriel-suazo,G. Suazo,M,12,178,3981,M,818986,EUR,871084800,M,17,17,False,60.0,53.0,2.0,0.0,19.0,20.0,45.0,2.0,8.0,,,90.0,91.0,7.0,16.0,0.184547,0,,1.0,35.0,,2.0,1.0,5.0,,1.0,1.0,2.0,2.0,,,,1.0,1.0,,,,,5.0,1.0,,1.0,,4.0,,,True,1.0,,,,,,,,
12450974,home,Toulouse,Zakaria Aboukhlal,,,zakaria-aboukhlal,Z. Aboukhlal,F,7,179,8018,M,856737,EUR,950832000,F,7,7,False,10.0,6.0,,0.0,,,12.0,1.0,,,,90.0,28.0,6.5,13.0,0.137377,3,,,7.0,3.0,1.0,6.0,3.0,,,,1.0,,1.0,1.0,,,3.0,2.0,0.3736,0.2553,,2.0,2.0,1.0,1.0,,1.0,,,,,zakariaaboukhlal,1.0,1.0,,,,,
12450974,home,Toulouse,Yann Gboho,,,yann-gboho,Y. Gboho,F,10,173,957,M,911851,EUR,979430400,F,10,10,False,38.0,33.0,1.0,0.0,4.0,5.0,35.0,,2.0,,,90.0,62.0,6.9,18.0,0.199797,2,,1.0,29.0,1.0,,8.0,4.0,,,,4.0,1.0,,2.0,,,4.0,3.0,0.1145,,,2.0,3.0,,,1.0,4.0,,,,,,,,,,,,
