match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_possessionLostCtrl,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_aerialLost,stat_interceptionWon,stat_fouls,stat_accurateCross,stat_dispossessed,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock
10385554,home,Manchester City,Ederson,ederson,Ederson,G,31,188,48699,M,Ederson93,254491,EUR,745545600,G,31,31,False,21.0,21.0,3.0,3.0,20.0,20.0,1.0,1.0,1.0,7.0,1.0,1.0,90.0,27.0,6.1,0.0,0.0,0.00010553,0,-1.6759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385554,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26779,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,113.0,106.0,11.0,9.0,25.0,25.0,81.0,89.0,3.0,6.0,1.0,,90.0,120.0,6.8,0.0,0.0,0.055031,0,,,,1.0,1.0,2.0,2.0,1.0,1.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10385554,home,Manchester City,John Stones,john-stones,J. Stones,D,5,188,22354,M,johnstones5,152077,EUR,770083200,D,5,5,False,100.0,99.0,,,41.0,41.0,58.0,59.0,4.0,7.0,1.0,,90.0,108.0,7.2,0.231,0.0,0.0358561,1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,
10385554,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40519,M,RúbenD,318941,EUR,863568000,D,3,3,False,112.0,105.0,1.0,1.0,35.0,39.0,70.0,73.0,6.0,5.0,,,90.0,117.0,6.7,0.0,0.0,0.0437154,0,,,,,5.0,3.0,,,,7.0,,,,,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,
10385554,home,Manchester City,João Cancelo,joao-cancelo,J. Cancelo,D,2,182,90478,M,JCancelo,138892,EUR,769996800,D,7,7,False,47.0,38.0,5.0,3.0,11.0,13.0,29.0,37.0,3.0,2.0,,,61.0,65.0,6.7,0.0,0.0,0.0795617,0,,,,3.0,1.0,3.0,,,,12.0,1.0,,,,,2.0,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,
10385554,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62967,M,BSilva,331209,EUR,776476800,M,20,20,False,56.0,50.0,4.0,3.0,8.0,8.0,43.0,50.0,6.0,3.0,2.0,,90.0,76.0,8.1,0.1581,0.0663,0.419231,3,,,,2.0,,1.0,,4.0,4.0,11.0,5.0,,1.0,1.0,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,
10385554,home,Manchester City,Rodri,rodri,Rodri,M,16,191,88553,M,Rodri,827606,EUR,835401600,M,16,16,False,97.0,88.0,11.0,11.0,27.0,29.0,61.0,68.0,7.0,7.0,,,90.0,104.0,7.5,0.0,0.0,0.0785273,0,,,,,4.0,5.0,,2.0,1.0,10.0,1.0,1.0,,,,2.0,1.0,,1.0,1.0,3.0,,,,,,,1.0,,,,,,
10385554,home,Manchester City,Riyad Mahrez,riyad-mahrez,R. Mahrez,M,7,179,70808,M,RMahrez,158213,EUR,667094400,M,26,26,False,45.0,43.0,2.0,2.0,5.0,5.0,40.0,44.0,2.0,1.0,,,61.0,55.0,7.0,0.0,0.0,0.141621,0,,,,4.0,,2.0,1.0,2.0,1.0,7.0,1.0,,,,,1.0,1.0,,,,,2.0,,2.0,,,,,,,,,,
10385554,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,317675,M,KDB,70996,EUR,678067200,M,17,17,False,63.0,44.0,4.0,2.0,5.0,5.0,43.0,71.0,2.0,4.0,,,89.0,90.0,7.0,0.1264,0.0,0.248927,3,,,,13.0,,4.0,,1.0,1.0,31.0,2.0,,,,1.0,1.0,1.0,,1.0,,2.0,4.0,1.0,1.0,,3.0,,,True,,,,,
10385554,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,175652,M,Foden,859765,EUR,959472000,M,47,47,False,52.0,47.0,,,10.0,10.0,40.0,47.0,3.0,6.0,1.0,,90.0,72.0,7.4,0.293,0.0,0.547534,2,,,,5.0,,6.0,,2.0,,11.0,3.0,1.0,1.0,2.0,,2.0,1.0,,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,1.0,,,,
