match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_wonTackle,stat_aerialLost,stat_aerialWon,stat_bigChanceCreated,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_errorLeadToAShot,stat_totalOffside,stat_goals,stat_bigChanceMissed,stat_goodHighClaim,stat_outfielderBlock,stat_errorLeadToAGoal,player_sofascoreId
14573120,home,BK Häcken,Etrit Berisha,etrit-berisha,E. Berisha,G,99,194.0,464,M,35656,EUR,605491200,G,99,99,False,34.0,28.0,18.0,13.0,0.0,21.0,21.0,7.0,13.0,1.0,1.0,11.0,3.0,4.0,1.0,1.0,1.0,90.0,45.0,7.4,6.0,0.00211371,0.3682,0,0.1818,0.08,0.02,-0.16,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573120,home,BK Häcken,Julius Lindberg,lindberg-julius,J. Lindberg,D,11,182.0,45,M,1021083,EUR,915408000,D,11,11,False,33.0,29.0,1.0,1.0,0.0,16.0,17.0,9.0,16.0,,5.0,5.0,,,,,,86.0,63.0,5.9,15.0,0.024311,,0,,0.0,0.17,-0.46,,4.0,8.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
14573120,home,BK Häcken,Olle Samuelsson,olle-samuelsson,O. Samuelsson,D,23,190.0,32,M,1187130,EUR,1084665600,D,23,23,False,64.0,59.0,2.0,,0.0,43.0,44.0,16.0,20.0,5.0,2.0,5.0,,,,,,85.0,76.0,6.1,7.0,0.00712975,,0,,0.01,0.0,-0.36,,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14573120,home,BK Häcken,Filip Helander,filip-helander,F. Helander,D,22,192.0,179,M,168749,EUR,735436800,D,22,22,False,63.0,55.0,9.0,4.0,1.0,35.0,37.0,20.0,26.0,3.0,,6.0,,,,,,90.0,66.0,6.3,8.0,0.0578383,,0,,0.31,0.04,-0.35,,,4.0,2.0,,,,,,,1.0,2.0,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
14573120,home,BK Häcken,Adam Lundqvist,adam-lundqvist,A. Lundqvist,D,21,174.0,35,M,283219,EUR,764121600,D,21,21,False,36.0,31.0,5.0,3.0,0.0,13.0,16.0,17.0,20.0,,,4.0,,,,,,90.0,50.0,6.3,7.0,0.0578479,,2,,0.34,0.04,-0.49,,2.0,6.0,3.0,3.0,,1.0,,2.0,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0361,-0.07,,,,,,,,,,,
14573120,home,BK Häcken,Mikkel Rygaard,mikkel-rygaard,M. Rygaard,M,10,176.0,87,M,801073,EUR,662083200,M,10,10,False,37.0,29.0,5.0,4.0,0.0,8.0,8.0,16.0,29.0,,2.0,5.0,,,,,,90.0,64.0,6.8,19.0,0.20409,,3,,0.39,0.01,-0.11,,6.0,5.0,4.0,,1.0,4.0,1.0,3.0,2.0,1.0,2.0,,,2.0,,,1.0,1.0,2.0,,,0.0987,-0.12,1.0,0.0309,,,,,,,,,
14573120,home,BK Häcken,Silas Andersen,silas-andersen,S. Andersen,M,8,185.0,528,M,1083407,EUR,1087084800,M,8,8,False,48.0,41.0,1.0,1.0,0.0,15.0,15.0,26.0,33.0,,3.0,6.0,,,,,,90.0,68.0,6.8,14.0,0.0386679,,1,,0.08,0.19,-0.13,,,6.0,8.0,,4.0,1.0,,4.0,1.0,1.0,2.0,Silas Andersen,,1.0,,2.0,,,1.0,,2.0,0.0206,-0.13,,,,,,,,,,,
14573120,home,BK Häcken,Simon Gustafson,simon-gustafson,S. Gustafson,M,14,185.0,171,M,319307,EUR,789782400,M,14,14,False,41.0,32.0,3.0,3.0,0.0,9.0,11.0,22.0,30.0,,3.0,6.0,,,,,,90.0,55.0,6.3,12.0,0.0254535,,1,,-0.07,0.07,-0.28,,1.0,3.0,5.0,1.0,,,,4.0,2.0,1.0,,,,,1.0,1.0,,,1.0,,,0.3222,-0.39,,,True,1.0,1.0,,,,,,
14573120,home,BK Häcken,Adrian Svanback,svanback-adrian,A. Svanbäck,F,20,179.0,262,M,1382909,EUR,1086652800,F,20,20,False,3.0,2.0,,,0.0,,,2.0,3.0,,,,,,,,,24.0,5.0,6.3,2.0,0.00174862,,1,,-0.01,0.03,0.0,,,1.0,,,,,,,1.0,1.0,,Adrian Svanbäck,,,,,,,,,,0.0733,-0.11,1.0,0.0217,,,,,,,,,
14573120,home,BK Häcken,John Paul Dembe,dembe-john-paul,J. P. Dembe,F,19,191.0,303,M,1471391,EUR,1120348800,F,19,19,False,8.0,7.0,1.0,1.0,0.0,2.0,2.0,5.0,6.0,,,1.0,,,,,,73.0,13.0,7.8,2.0,0.00542516,,2,,-0.04,0.22,0.13,,,,4.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,2.0,,,1.0,,,0.6351,0.5,1.0,0.6561,,,,1.0,,,,,
