match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_errorLeadToAShot,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId
12117064,home,Internacional,Fabricio,,,fabricio,Fabricio,G,12,193,150,M,883917,EUR,505440000,G,12,12,False,22.0,10.0,17.0,5.0,0.0,6.0,8.0,4.0,14.0,2.0,6.0,2.0,3.0,2.0,90.0,28.0,7.2,12.0,0.00157555,0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117064,home,Internacional,Fabricio Bustos,,,fabricio-bustos,F. Bustos,D,16,167,800,M,850023,EUR,830649600,D,16,16,False,37.0,31.0,6.0,1.0,0.0,19.0,20.0,12.0,18.0,6.0,10.0,,,,90.0,75.0,7.4,13.0,0.0203887,0,,1.0,1.0,8.0,11.0,3.0,1.0,3.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12117064,home,Internacional,Igor Gomes,,,igor-gomes,I. Gomes,D,25,186,325,M,997023,EUR,983836800,D,3,3,False,46.0,39.0,5.0,2.0,1.0,28.0,32.0,11.0,15.0,10.0,1.0,,,,90.0,66.0,8.2,8.0,0.00399121,0,,1.0,2.0,2.0,7.0,,,,,3.0,2.0,,1.0,,1.0,4.0,3.0,2.0,,,,,,,,,,,,,
12117064,home,Internacional,Fernando,,,fernando-reges,Fernando,M,,183,1104,M,41837,EUR,554169600,D,5,5,False,52.0,48.0,6.0,4.0,0.0,33.0,35.0,15.0,17.0,4.0,6.0,,,,90.0,62.0,7.1,6.0,0.00812586,0,,,,3.0,3.0,1.0,,2.0,1.0,,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,
12117064,home,Internacional,Robert Renan,Robert Renan,,robert-renan,R. Renan,D,30,186,3212,M,1191278,EUR,1065830400,D,4,4,False,42.0,34.0,5.0,1.0,0.0,18.0,21.0,16.0,24.0,5.0,5.0,,,,90.0,73.0,7.5,17.0,0.0118046,2,,3.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,3.0,3.0,,,1.0,1.0,,,2.0,1.0,1.0,0.0362,,,,,,,,,,
12117064,home,Internacional,Bruno Henrique,,,bruno-henrique,B. Henrique,M,8,180,899,M,345113,EUR,624931200,M,8,8,False,36.0,26.0,3.0,,0.0,13.0,15.0,13.0,25.0,1.0,4.0,,,,85.0,58.0,6.6,18.0,0.00714189,1,,4.0,1.0,9.0,5.0,2.0,1.0,2.0,,5.0,2.0,1.0,,3.0,,,1.0,2.0,1.0,,0.0724,True,,,,,,,,,
12117064,home,Internacional,Rômulo Zwarg,,,romulo,R. Zwarg,M,23,182,491,M,989384,EUR,951868800,M,40,40,False,30.0,26.0,2.0,1.0,0.0,14.0,15.0,12.0,15.0,,6.0,,,,84.0,44.0,7.4,6.0,0.0064497,1,,,1.0,5.0,11.0,2.0,,,,7.0,4.0,2.0,3.0,2.0,,1.0,1.0,,,,0.0144,,1.0,0.0386,,,,,,,
12117064,home,Internacional,Wesley Ribeiro,,,wesley,W. Ribeiro,M,21,175,1823,M,985766,EUR,922752000,M,21,21,False,24.0,16.0,,,0.0,7.0,8.0,9.0,17.0,1.0,3.0,,,,78.0,43.0,7.4,12.0,0.0314165,4,,1.0,1.0,8.0,8.0,3.0,,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,,1.0,,1.0,0.3268,,3.0,0.8911,1.0,1.0,2.0,,,,
12117064,home,Internacional,Hyoran,,,hyoran,Hyoran,M,19,174,485,M,551348,EUR,738288000,M,7,7,False,13.0,7.0,2.0,,0.0,3.0,4.0,4.0,10.0,1.0,2.0,,,,69.0,24.0,6.5,9.0,0.00448233,1,,1.0,,2.0,5.0,1.0,,1.0,,3.0,3.0,,2.0,,,,,,,1.0,0.0299,,,,,,,1.0,,,
12117064,home,Internacional,Wanderson,,,wanderson,Wanderson,M,94,175,1923,M,247483,EUR,781401600,M,11,11,False,26.0,24.0,1.0,1.0,0.0,10.0,11.0,15.0,18.0,,6.0,,,,90.0,42.0,7.4,8.0,0.0512289,1,,3.0,1.0,6.0,6.0,,2.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,0.0262,,1.0,0.0637,,,,,1.0,1.0,
12117064,home,Internacional,Lucas Alario,,,lucas-alario,L. Alario,F,27,184,1109,M,249893,EUR,718502400,F,31,31,False,13.0,10.0,,,0.0,5.0,5.0,5.0,8.0,2.0,2.0,,,,78.0,23.0,6.6,8.0,0.00323898,0,,,1.0,4.0,4.0,,1.0,,,1.0,,3.0,1.0,2.0,,2.0,,,,,,,,,,,2.0,,,,
12117064,home,Internacional,Charles Aránguiz,,,charles-aranguiz,C. Aránguiz,M,20,171,3505,M,18304,EUR,608774400,M,20,20,True,7.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,6.0,1.0,1.0,,,,21.0,11.0,6.6,3.0,0.00343384,0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
12117064,home,Internacional,Hugo Mallo,,,hugo-mallo,H. Mallo,D,,174,274,M,83506,EUR,677548800,D,2,2,True,6.0,4.0,,,0.0,4.0,5.0,,1.0,2.0,1.0,,,,12.0,8.0,6.6,2.0,4.586e-05,0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
12117064,home,Internacional,Lucca Drummond,Lucca Drummond,,lucca-drummond,Lucca,F,,191,256,M,1878437,EUR,1073865600,F,48,48,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,,,12.0,6.0,6.4,1.0,0.00051747,0,,,1.0,3.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
